% time spent exploring,episodes,mean 100 episode reward,steps
99,5,250.0,592
99,10,388.9,1322
98,15,478.6,2196
98,20,494.7,2839
98,25,508.3,3523
97,30,569.0,4421
97,35,523.5,4900
97,40,500.0,5449
97,45,506.8,6019
96,50,489.8,6614
96,55,505.6,7387
96,60,503.4,7912
95,65,487.5,8256
95,70,492.8,9154
95,75,500.0,9744
95,80,497.5,10092
94,85,507.1,10782
94,90,512.4,11525
93,95,519.1,12342
93,100,512.1,13125
93,105,522.0,13656
92,110,533.0,14508
92,115,535.0,15336
92,120,532.0,15670
91,125,539.0,16440
91,130,533.0,17307
91,135,550.0,18014
90,140,556.0,18666
90,145,551.0,19303
90,150,562.0,19948
89,155,568.0,20665
89,160,574.0,21340
89,165,601.0,21982
88,170,602.0,22627
88,175,598.0,23265
88,180,610.0,23736
87,185,619.0,24608
87,190,627.0,25235
87,195,631.0,25821
87,200,623.0,26065
86,205,618.0,26594
86,210,619.0,27251
86,215,623.0,27802
86,220,628.0,28492
85,225,624.0,29109
85,230,626.0,29764
85,235,632.0,30441
84,240,635.0,30926
84,245,652.0,31556
84,250,667.0,32212
83,255,667.0,32820
83,260,680.0,33408
83,265,664.0,34001
83,270,665.0,34522
82,275,676.0,35136
82,280,661.0,35562
82,285,663.0,36296
81,290,653.0,36755
81,295,665.0,37472
81,300,697.0,38092
80,305,719.0,38856
80,310,721.0,39486
80,315,724.0,40067
80,320,745.0,40697
79,325,744.0,41261
79,330,746.0,42008
79,335,753.0,42755
78,340,756.0,43186
78,345,775.0,44149
78,350,761.0,44740
77,355,762.0,45343
77,360,751.0,45888
77,365,766.0,46315
77,370,772.0,46785
76,375,784.0,47600
76,380,804.0,48172
76,385,808.0,48770
75,390,823.0,49362
75,395,810.0,49939
75,400,810.0,50507
74,405,822.0,51254
74,410,841.0,52086
74,415,853.0,52870
73,420,851.0,53561
73,425,862.0,54191
73,430,871.0,54986
72,435,886.0,55962
72,440,879.0,56447
72,445,871.0,57091
71,450,883.0,57749
71,455,893.0,58252
71,460,915.0,58749
70,465,933.0,59589
70,470,942.0,60200
70,475,958.0,60957
69,480,962.0,61362
69,485,980.0,62318
69,490,986.0,62905
68,495,995.0,63525
68,500,993.0,64115
68,505,1004.0,64900
67,510,998.0,65644
67,515,989.0,66148
67,520,991.0,66965
66,525,997.0,67528
66,530,1013.0,68523
66,535,1002.0,69200
65,540,1041.0,70190
65,545,1047.0,70806
65,550,1040.0,71070
64,555,1051.0,71829
64,560,1055.0,72639
63,565,1063.0,73481
63,570,1081.0,74387
63,575,1074.0,75110
62,580,1064.0,75615
62,585,1063.0,76469
62,590,1061.0,77095
61,595,1065.0,77784
61,600,1068.0,78606
61,605,1040.0,79098
60,610,1045.0,79660
60,615,1065.0,80373
60,620,1080.0,81085
60,625,1073.0,81574
59,630,1079.0,82420
59,635,1088.0,83157
58,640,1103.0,84029
58,645,1093.0,84462
58,650,1111.0,84974
58,655,1108.0,85536
57,660,1096.0,86191
57,665,1107.0,87111
57,670,1086.0,87752
56,675,1089.0,88509
56,680,1129.0,89207
55,685,1114.0,89988
55,690,1122.0,90465
55,695,1136.0,91307
55,700,1145.0,91778
54,705,1151.0,92510
54,710,1169.0,93380
53,715,1153.0,93938
53,720,1166.0,94928
53,725,1164.0,95295
52,730,1150.0,95978
52,735,1156.0,96800
52,740,1140.0,97225
51,745,1167.0,98006
51,750,1179.0,98669
51,755,1201.0,99664
50,760,1223.0,100486
50,765,1215.0,101084
50,770,1234.0,101830
49,775,1241.0,102664
49,780,1228.0,103168
49,785,1235.0,103812
48,790,1229.0,104545
48,795,1224.0,105053
48,800,1236.0,105698
47,805,1285.0,106626
47,810,1249.0,107279
47,815,1253.0,107753
46,820,1253.0,108565
46,825,1297.0,109336
46,830,1283.0,109761
45,835,1306.0,110756
45,840,1322.0,111616
44,845,1336.0,112355
44,850,1348.0,113006
44,855,1346.0,113797
43,860,1337.0,114586
43,865,1342.0,115147
43,870,1347.0,115806
42,875,1337.0,116443
42,880,1371.0,117438
42,885,1379.0,118010
41,890,1401.0,118662
41,895,1422.0,119474
41,900,1456.0,120359
40,905,1444.0,121081
40,910,1494.0,121957
39,915,1532.0,122859
39,920,1510.0,123266
39,925,1512.0,123972
38,930,1556.0,124701
38,935,1536.0,125629
38,940,1550.0,126458
37,945,1527.0,126999
37,950,1523.0,127583
37,955,1487.0,128103
36,960,1517.0,128878
36,965,1518.0,129574
36,970,1554.0,130569
35,975,1612.0,131564
35,980,1593.0,132440
34,985,1628.0,133435
34,990,1616.0,134152
33,995,1602.0,134726
33,1000,1596.0,135633
33,1005,1601.0,136493
32,1010,1606.0,137411
32,1015,1624.0,138361
31,1020,1617.0,139177
31,1025,1636.0,140043
31,1030,1613.0,140518
30,1035,1648.0,141494
30,1040,1656.0,142489
29,1045,1688.0,143301
29,1050,1698.0,144012
28,1055,1759.0,145007
28,1060,1766.0,145744
28,1065,1785.0,146465
27,1070,1765.0,147291
27,1075,1741.0,148286
26,1080,1777.0,149281
26,1085,1762.0,149907
26,1090,1754.0,150256
25,1095,1778.0,151251
25,1100,1786.0,152067
25,1105,1789.0,152810
24,1110,1764.0,153316
24,1115,1738.0,154081
24,1120,1755.0,154706
23,1125,1718.0,155196
23,1130,1736.0,156006
23,1135,1752.0,157001
22,1140,1774.0,157996
22,1145,1791.0,158991
21,1150,1830.0,159986
21,1155,1836.0,160849
20,1160,1875.0,161844
20,1165,1886.0,162654
19,1170,1905.0,163476
19,1175,1910.0,164352
19,1180,1894.0,165204
18,1185,1923.0,166064
18,1190,1977.0,167059
17,1195,2012.0,168054
17,1200,2008.0,168697
16,1205,2033.0,169692
16,1210,2077.0,170556
16,1215,2102.0,171261
15,1220,2136.0,172077
15,1225,2207.0,173072
14,1230,2229.0,173945
14,1235,2209.0,174682
14,1240,2190.0,175449
13,1245,2189.0,176293
13,1250,2177.0,177064
12,1255,2189.0,177924
12,1260,2173.0,178919
11,1265,2162.0,179771
11,1270,2196.0,180766
11,1275,2185.0,181292
10,1280,2213.0,182287
10,1285,2228.0,183282
9,1290,2232.0,184277
9,1295,2255.0,185272
8,1300,2278.0,186267
8,1305,2280.0,187163
7,1310,2275.0,187856
7,1315,2280.0,188752
7,1320,2277.0,189624
6,1325,2269.0,190476
6,1330,2297.0,191336
5,1335,2329.0,192200
5,1340,2350.0,193060
4,1345,2375.0,194055
4,1350,2402.0,195050
4,1355,2390.0,195866
3,1360,2416.0,196861
3,1365,2440.0,197717
2,1370,2437.0,198712
2,1375,2475.0,199540
2,1380,2474.0,200392
2,1385,2478.0,201348
2,1390,2482.0,202178
2,1395,2468.0,203038
2,1400,2481.0,204033
2,1405,2504.0,205028
2,1410,2532.0,206023
2,1415,2514.0,206720
2,1420,2552.0,207715
2,1425,2549.0,208710
2,1430,2548.0,209570
2,1435,2561.0,210565
2,1440,2570.0,211425
2,1445,2554.0,212273
2,1450,2515.0,212907
2,1455,2522.0,213755
2,1460,2504.0,214583
2,1465,2526.0,215578
2,1470,2540.0,216573
2,1475,2543.0,217413
2,1480,2542.0,218265
2,1485,2533.0,219097
2,1490,2565.0,220092
2,1495,2557.0,220948
2,1500,2566.0,221943
2,1505,2568.0,222938
2,1510,2575.0,223933
2,1515,2622.0,224928
2,1520,2631.0,225923
2,1525,2641.0,226918
2,1530,2650.0,227913
2,1535,2640.0,228773
2,1540,2646.0,229768
2,1545,2632.0,230463
2,1550,2670.0,231458
2,1555,2679.0,232286
2,1560,2687.0,233126
2,1565,2684.0,234121
2,1570,2679.0,235099
2,1575,2665.0,235796
2,1580,2666.0,236624
2,1585,2680.0,237619
2,1590,2646.0,238280
2,1595,2662.0,239275
2,1600,2660.0,240270
2,1605,2665.0,241265
