% time spent exploring,episodes,mean 100 episode reward,steps
98,5,225.0,395
96,10,366.7,882
95,15,357.1,1254
93,20,373.7,1736
91,25,379.2,2185
89,30,362.1,2616
88,35,391.2,3007
86,40,387.2,3469
84,45,418.2,3919
83,50,406.1,4168
81,55,427.8,4602
80,60,422.0,4987
78,65,439.1,5449
77,70,449.3,5785
76,75,441.9,6020
74,80,457.0,6442
73,85,467.9,6838
71,90,478.7,7230
69,95,505.3,7725
68,100,520.2,8065
67,105,528.0,8244
66,110,531.0,8651
64,115,565.0,9081
62,120,583.0,9491
61,125,607.0,9921
59,130,634.0,10350
58,135,645.0,10695
56,140,668.0,11128
54,145,668.0,11489
53,150,698.0,11838
51,155,710.0,12333
49,160,750.0,12765
48,165,767.0,13178
46,170,786.0,13658
45,175,806.0,13914
43,180,825.0,14409
41,185,826.0,14823
40,190,850.0,15176
39,195,851.0,15533
37,200,858.0,16028
35,205,888.0,16448
33,210,914.0,16892
31,215,922.0,17387
29,220,942.0,17882
27,225,958.0,18377
26,230,962.0,18872
24,235,972.0,19367
22,240,977.0,19862
20,245,1000.0,20348
18,250,1006.0,20843
16,255,1009.0,21338
14,260,1002.0,21833
12,265,1013.0,22301
10,270,1018.0,22796
8,275,1034.0,23291
6,280,1029.0,23786
4,285,1047.0,24281
2,290,1049.0,24776
2,295,1054.0,25271
2,300,1062.0,25766
2,305,1066.0,26261
2,310,1069.0,26756
2,315,1064.0,27166
2,320,1059.0,27626
2,325,1051.0,28121
2,330,1064.0,28616
2,335,1070.0,29111
2,340,1078.0,29606
2,345,1075.0,30101
2,350,1075.0,30596
2,355,1082.0,31091
2,360,1087.0,31586
2,365,1084.0,32081
2,370,1090.0,32576
2,375,1095.0,33071
2,380,1104.0,33566
2,385,1104.0,34061
2,390,1098.0,34556
2,395,1096.0,35051
2,400,1098.0,35546
2,405,1097.0,36041
2,410,1096.0,36536
2,415,1099.0,37031
2,420,1097.0,37526
2,425,1100.0,38021
2,430,1096.0,38516
2,435,1093.0,39011
2,440,1102.0,39506
2,445,1101.0,40001
2,450,1110.0,40496
2,455,1113.0,40991
2,460,1107.0,41417
2,465,1104.0,41912
2,470,1101.0,42407
2,475,1100.0,42902
2,480,1098.0,43397
2,485,1103.0,43892
2,490,1104.0,44387
2,495,1107.0,44882
2,500,1112.0,45377
2,505,1112.0,45872
2,510,1118.0,46367
2,515,1116.0,46862
2,520,1121.0,47357
2,525,1131.0,47852
2,530,1135.0,48347
2,535,1144.0,48842
2,540,1140.0,49337
2,545,1147.0,49832
