% time spent exploring,episodes,mean 100 episode reward,steps
99,5,250.0,592
99,10,366.7,1332
99,15,435.7,2193
99,20,468.4,2708
99,25,495.8,3572
99,30,458.6,4161
99,35,452.9,4903
99,40,459.0,5494
99,45,440.9,5994
99,50,432.7,6551
99,55,440.7,7180
99,60,452.5,7839
99,65,445.3,8243
99,70,433.3,9091
99,75,440.5,9709
98,80,444.3,10371
98,85,452.4,11026
98,90,458.4,11895
98,95,457.4,12732
98,100,455.6,13405
98,105,466.0,14148
98,110,461.0,14808
98,115,451.0,15528
98,120,445.0,16207
98,125,433.0,16689
98,130,453.0,17506
98,135,463.0,18321
98,140,463.0,19099
98,145,474.0,20032
97,150,490.0,20756
97,155,497.0,21539
97,160,499.0,22182
97,165,509.0,22897
97,170,524.0,23722
97,175,536.0,24607
97,180,525.0,25146
97,185,523.0,25729
97,190,538.0,26585
97,195,541.0,27354
97,200,550.0,28037
97,205,544.0,28824
97,210,559.0,29621
97,215,573.0,30355
96,220,578.0,31126
96,225,600.0,31770
96,230,585.0,32267
96,235,595.0,32938
96,240,598.0,33900
96,245,594.0,34531
96,250,593.0,35398
96,255,591.0,36184
96,260,602.0,36884
96,265,606.0,37845
96,270,606.0,38761
96,275,591.0,39587
96,280,611.0,40388
95,285,608.0,41091
95,290,594.0,41738
95,295,598.0,42672
95,300,597.0,43292
95,305,612.0,44250
95,310,602.0,44857
95,315,610.0,45590
95,320,612.0,46176
95,325,604.0,47106
95,330,602.0,47756
95,335,583.0,48386
95,340,597.0,49228
95,345,601.0,49938
95,350,604.0,50785
94,355,598.0,51580
94,360,581.0,52286
94,365,583.0,53126
94,370,570.0,53732
94,375,580.0,54370
94,380,574.0,55053
94,385,592.0,55597
94,390,579.0,56367
94,395,581.0,57073
94,400,588.0,57818
94,405,580.0,58312
94,410,595.0,58957
94,415,589.0,59756
94,420,592.0,60441
93,425,591.0,61257
93,430,602.0,61951
93,435,614.0,62571
93,440,610.0,63280
93,445,609.0,63934
93,450,616.0,64638
93,455,624.0,65103
93,460,629.0,65840
93,465,628.0,66370
93,470,638.0,66974
93,475,645.0,67862
93,480,646.0,68605
93,485,630.0,69340
93,490,643.0,70154
93,495,646.0,70710
92,500,646.0,71592
92,505,659.0,72406
92,510,651.0,73025
92,515,649.0,73607
92,520,659.0,74442
92,525,651.0,75048
92,530,658.0,75587
92,535,653.0,76131
92,540,648.0,76854
92,545,669.0,77826
92,550,662.0,78436
92,555,663.0,79201
92,560,670.0,80125
92,565,667.0,80876
92,570,675.0,81335
91,575,669.0,81977
91,580,670.0,82728
91,585,682.0,83572
91,590,686.0,84403
91,595,674.0,85097
91,600,674.0,85898
91,605,669.0,86435
91,610,661.0,87065
91,615,673.0,87858
91,620,664.0,88479
91,625,692.0,89249
91,630,691.0,89878
91,635,687.0,90397
91,640,680.0,90847
91,645,667.0,91557
90,650,663.0,92016
90,655,649.0,92400
90,660,640.0,92989
90,665,648.0,93618
90,670,651.0,94154
90,675,672.0,95118
90,680,661.0,95722
90,685,651.0,96323
90,690,649.0,96941
90,695,647.0,97439
90,700,659.0,98314
90,705,651.0,98797
90,710,678.0,99761
90,715,662.0,100387
90,720,657.0,100959
90,725,648.0,101696
89,730,642.0,102382
89,735,655.0,102975
89,740,667.0,103706
89,745,671.0,104327
89,750,667.0,105070
89,755,679.0,105447
89,760,691.0,106168
89,765,695.0,106817
89,770,694.0,107428
89,775,676.0,108054
89,780,689.0,108721
89,785,716.0,109554
89,790,728.0,110152
89,795,748.0,111012
89,800,732.0,111829
88,805,740.0,112348
88,810,717.0,112917
88,815,733.0,113402
88,820,734.0,113947
88,825,715.0,114564
88,830,718.0,115050
88,835,725.0,115698
88,840,720.0,116278
88,845,722.0,117040
88,850,735.0,117697
88,855,742.0,118498
88,860,730.0,119177
88,865,745.0,120070
88,870,753.0,120751
88,875,752.0,121603
88,880,755.0,122175
87,885,745.0,122784
87,890,734.0,123512
87,895,737.0,124333
87,900,748.0,124978
87,905,758.0,125546
87,910,765.0,126235
87,915,760.0,127032
87,920,780.0,127639
87,925,777.0,128121
87,930,774.0,128624
87,935,769.0,129254
87,940,763.0,129853
87,945,759.0,130475
87,950,761.0,131217
87,955,755.0,131681
87,960,760.0,132152
86,965,725.0,132705
86,970,722.0,133338
86,975,725.0,134088
86,980,732.0,134842
86,985,723.0,135491
86,990,725.0,136037
86,995,731.0,136653
86,1000,715.0,137029
86,1005,722.0,137732
86,1010,728.0,138193
86,1015,718.0,138646
86,1020,723.0,139376
86,1025,734.0,139861
86,1030,748.0,140596
86,1035,746.0,141308
86,1040,749.0,141877
86,1045,756.0,142502
85,1050,756.0,142960
85,1055,766.0,143783
85,1060,771.0,144324
85,1065,792.0,145135
85,1070,789.0,145714
85,1075,785.0,146434
85,1080,794.0,147257
85,1085,798.0,147790
85,1090,813.0,148424
85,1095,809.0,149090
85,1100,815.0,149586
85,1105,787.0,149942
85,1110,781.0,150272
85,1115,798.0,151051
85,1120,778.0,151620
85,1125,774.0,152079
85,1130,779.0,152788
84,1135,784.0,153530
84,1140,791.0,153911
84,1145,782.0,154569
84,1150,784.0,155316
84,1155,784.0,156043
