% time spent exploring,episodes,mean 100 episode reward,steps
99,5,250.0,592
99,10,366.7,1332
99,15,435.7,2193
99,20,436.8,2708
99,25,470.8,3572
99,30,437.9,4161
99,35,426.5,4832
99,40,435.9,5468
99,45,427.3,6095
99,50,432.7,6930
99,55,444.4,7578
99,60,457.6,8434
99,65,454.7,9145
99,70,476.8,9849
99,75,467.6,10169
98,80,463.3,10941
98,85,475.0,11720
98,90,473.0,12533
98,95,466.0,13281
98,100,471.7,13965
98,105,485.0,14802
98,110,485.0,15521
98,115,493.0,16382
98,120,488.0,17054
98,125,487.0,17669
98,130,498.0,18542
98,135,511.0,19496
98,140,505.0,20234
97,145,511.0,20805
97,150,518.0,21476
97,155,507.0,21922
97,160,487.0,22443
97,165,496.0,23208
97,170,484.0,23896
97,175,510.0,24647
97,180,501.0,25250
97,185,510.0,26069
97,190,506.0,26770
97,195,510.0,27353
97,200,509.0,28004
97,205,494.0,28659
97,210,499.0,29426
97,215,503.0,30209
96,220,512.0,31132
96,225,518.0,31722
96,230,531.0,32470
96,235,532.0,33222
96,240,532.0,34018
96,245,527.0,34740
96,250,529.0,35658
96,255,537.0,36137
96,260,564.0,36846
96,265,558.0,37464
96,270,566.0,38326
96,275,553.0,39114
96,280,569.0,39809
96,285,553.0,40414
95,290,566.0,41244
95,295,559.0,41723
95,300,557.0,42442
95,305,578.0,43070
95,310,580.0,43958
95,315,556.0,44533
95,320,544.0,45101
95,325,533.0,45625
95,330,517.0,46232
95,335,521.0,46968
95,340,534.0,47717
95,345,554.0,48571
95,350,546.0,49180
95,355,550.0,50013
95,360,552.0,50766
94,365,560.0,51607
94,370,549.0,52198
94,375,541.0,52703
94,380,535.0,53383
94,385,524.0,53939
94,390,541.0,54755
94,395,551.0,55430
94,400,565.0,56207
94,405,561.0,57032
94,410,562.0,57595
94,415,569.0,58013
94,420,587.0,58549
94,425,576.0,58813
94,430,585.0,59508
94,435,588.0,60215
94,440,582.0,60961
93,445,560.0,61470
93,450,564.0,62158
93,455,573.0,62776
93,460,561.0,63167
93,465,565.0,63934
93,470,566.0,64497
93,475,573.0,65014
93,480,581.0,65672
93,485,591.0,66179
93,490,580.0,66943
93,495,597.0,67659
93,500,579.0,68487
93,505,570.0,69086
93,510,553.0,69501
93,515,552.0,70055
93,520,548.0,70618
93,525,562.0,71359
92,530,554.0,71821
92,535,554.0,72455
92,540,558.0,73135
92,545,574.0,73793
92,550,572.0,74477
92,555,564.0,75078
92,560,561.0,75689
92,565,583.0,76566
92,570,592.0,77386
92,575,597.0,78020
92,580,609.0,78697
92,585,609.0,79478
92,590,607.0,80324
92,595,610.0,81097
91,600,623.0,81801
91,605,640.0,82474
91,610,655.0,82999
91,615,666.0,83722
91,620,680.0,84476
91,625,675.0,85327
91,630,686.0,85983
91,635,676.0,86429
91,640,676.0,87065
91,645,686.0,87811
91,650,693.0,88585
91,655,702.0,89104
91,660,707.0,89708
91,665,699.0,90561
91,670,695.0,91092
90,675,699.0,92021
90,680,690.0,92608
90,685,701.0,93168
90,690,717.0,94000
90,695,711.0,94681
90,700,698.0,95277
90,705,685.0,95992
90,710,693.0,96721
90,715,700.0,97371
90,720,688.0,97951
90,725,704.0,98639
90,730,703.0,99192
90,735,721.0,99833
90,740,721.0,100410
90,745,709.0,100972
90,750,711.0,101817
89,755,700.0,102548
89,760,706.0,103206
89,765,700.0,103907
89,770,697.0,104545
89,775,694.0,105195
89,780,710.0,105955
89,785,701.0,106533
89,790,690.0,107351
89,795,683.0,107747
89,800,699.0,108503
89,805,712.0,109222
89,810,724.0,109936
89,815,708.0,110358
89,820,720.0,111353
89,825,720.0,112060
88,830,735.0,112797
88,835,735.0,113541
88,840,736.0,114313
88,845,749.0,115054
88,850,731.0,115496
88,855,751.0,116125
88,860,761.0,116995
88,865,754.0,117605
88,870,748.0,118182
88,875,747.0,118814
88,880,730.0,119415
88,885,743.0,119928
88,890,727.0,120327
88,895,734.0,120949
88,900,734.0,121611
88,905,738.0,122274
87,910,718.0,123016
87,915,718.0,123551
87,920,705.0,124167
87,925,699.0,124643
87,930,684.0,125243
87,935,665.0,125663
87,940,673.0,126658
87,945,675.0,127469
87,950,684.0,127992
87,955,676.0,128743
87,960,671.0,129507
87,965,681.0,130294
87,970,707.0,131139
87,975,715.0,131805
87,980,725.0,132324
86,985,704.0,132831
86,990,730.0,133590
86,995,741.0,134275
86,1000,748.0,135042
86,1005,749.0,135625
86,1010,761.0,136365
86,1015,792.0,137260
86,1020,802.0,137990
86,1025,816.0,138932
86,1030,830.0,139571
86,1035,836.0,140242
86,1040,830.0,140824
86,1045,820.0,141560
86,1050,830.0,142228
85,1055,827.0,142868
85,1060,832.0,143353
85,1065,834.0,144092
85,1070,836.0,144922
85,1075,835.0,145533
85,1080,829.0,146148
85,1085,845.0,146801
85,1090,837.0,147342
85,1095,823.0,147997
85,1100,825.0,148546
85,1105,830.0,149187
85,1110,817.0,149730
85,1115,811.0,150463
85,1120,817.0,151316
85,1125,825.0,152129
85,1130,803.0,152552
84,1135,806.0,153246
84,1140,810.0,153765
84,1145,810.0,154310
84,1150,803.0,154815
84,1155,805.0,155473
