% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,795
99,10,-11.1,1754
99,15,-7.1,2749
99,20,-15.8,3685
99,25,-16.7,4590
99,30,-20.7,5447
99,35,-20.6,6395
99,40,-20.5,7277
99,45,-20.5,8203
99,50,-20.4,9063
99,55,-18.5,10058
98,60,-16.9,11053
98,65,-15.6,12048
98,70,-15.9,13002
98,75,-16.2,13953
98,80,-15.2,14948
98,85,-15.5,15938
98,90,-15.7,16906
98,95,-14.9,17901
98,100,-15.2,18862
98,105,-17.0,19801
97,110,-16.0,20682
97,115,-18.0,21405
97,120,-16.0,22400
97,125,-14.0,23395
97,130,-11.0,24390
97,135,-10.0,25385
97,140,-10.0,26373
97,145,-9.0,27368
97,150,-9.0,28089
97,155,-11.0,28971
97,160,-12.0,29827
96,165,-12.0,30753
96,170,-12.0,31591
96,175,-11.0,32586
96,180,-14.0,33352
96,185,-13.0,34347
96,190,-12.0,35342
96,195,-14.0,36275
96,200,-14.0,37191
96,205,-12.0,38012
96,210,-13.0,38965
96,215,-11.0,39960
95,220,-12.0,40873
95,225,-13.0,41868
95,230,-15.0,42782
95,235,-15.0,43726
95,240,-14.0,44721
95,245,-16.0,45542
95,250,-16.0,46360
95,255,-14.0,47355
95,260,-13.0,48340
95,265,-12.0,49335
95,270,-12.0,50276
94,275,-12.0,51271
94,280,-11.0,52171
94,285,-12.0,53106
94,290,-12.0,54101
94,295,-10.0,55096
94,300,-9.0,56062
94,305,-8.0,57057
94,310,-9.0,57791
94,315,-8.0,58786
94,320,-7.0,59781
94,325,-6.0,60776
93,330,-5.0,61763
93,335,-6.0,62696
93,340,-7.0,63664
93,345,-6.0,64621
93,350,-5.0,65616
93,355,-7.0,66546
93,360,-7.0,67541
93,365,-8.0,68536
93,370,-8.0,69462
93,375,-9.0,70388
93,380,-9.0,71274
92,385,-8.0,72269
92,390,-6.0,73264
92,395,-6.0,74207
92,400,-7.0,75167
92,405,-8.0,76038
92,410,-7.0,77005
92,415,-8.0,78000
92,420,-9.0,78886
92,425,-11.0,79797
92,430,-11.0,80684
92,435,-12.0,81516
91,440,-12.0,82368
91,445,-11.0,83269
91,450,-12.0,84212
91,455,-10.0,85207
91,460,-10.0,86107
91,465,-12.0,86959
91,470,-10.0,87954
91,475,-9.0,88894
91,480,-8.0,89807
91,485,-8.0,90802
91,490,-10.0,91734
90,495,-10.0,92729
90,500,-8.0,93724
90,505,-9.0,94699
90,510,-9.0,95526
90,515,-9.0,96521
90,520,-9.0,97507
90,525,-8.0,98444
90,530,-9.0,99382
90,535,-7.0,100377
90,540,-7.0,101300
89,545,-7.0,102205
89,550,-7.0,103173
89,555,-8.0,104166
89,560,-8.0,105156
89,565,-6.0,106151
89,570,-8.0,107123
89,575,-10.0,108058
89,580,-10.0,108956
89,585,-13.0,109685
89,590,-12.0,110664
89,595,-14.0,111487
88,600,-18.0,112403
88,605,-18.0,113337
88,610,-15.0,114332
88,615,-17.0,115111
88,620,-16.0,116106
88,625,-19.0,116811
88,630,-18.0,117806
88,635,-18.0,118801
88,640,-19.0,119682
88,645,-20.0,120542
88,650,-19.0,121537
87,655,-18.0,122532
87,660,-17.0,123527
87,665,-18.0,124419
87,670,-17.0,125414
87,675,-15.0,126409
87,680,-15.0,127338
87,685,-12.0,128333
87,690,-13.0,129328
87,695,-10.0,130311
87,700,-9.0,131105
87,705,-8.0,131977
86,710,-10.0,132972
86,715,-7.0,133967
86,720,-7.0,134962
86,725,-4.0,135957
86,730,-5.0,136751
86,735,-6.0,137559
86,740,-6.0,138381
86,745,-8.0,139119
86,750,-9.0,140092
86,755,-9.0,141087
86,760,-9.0,142082
85,765,-7.0,143077
85,770,-8.0,143942
85,775,-7.0,144937
85,780,-6.0,145852
85,785,-6.0,146847
85,790,-7.0,147831
85,795,-9.0,148663
85,800,-6.0,149658
85,805,-7.0,150417
85,810,-9.0,151311
85,815,-11.0,152153
84,820,-11.0,153148
84,825,-12.0,154080
84,830,-11.0,155073
84,835,-10.0,156023
84,840,-6.0,157015
84,845,-4.0,157957
84,850,-1.0,158952
84,855,-2.0,159863
84,860,-3.0,160858
84,865,-4.0,161853
84,870,-3.0,162848
83,875,-4.0,163843
83,880,-3.0,164838
83,885,-6.0,165638
83,890,-5.0,166633
83,895,-5.0,167526
83,900,-7.0,168495
83,905,-6.0,169490
83,910,-4.0,170340
83,915,-4.0,171265
83,920,-5.0,172141
83,925,-4.0,173136
82,930,-4.0,174131
82,935,-3.0,175126
82,940,-5.0,176121
82,945,-4.0,177076
82,950,-6.0,178071
82,955,-5.0,179040
82,960,-3.0,180035
82,965,-5.0,180926
82,970,-4.0,181921
82,975,-5.0,182906
81,980,-6.0,183899
81,985,-5.0,184698
81,990,-5.0,185693
81,995,-4.0,186688
81,1000,-3.0,187683
81,1005,-6.0,188503
81,1010,-6.0,189482
81,1015,-6.0,190339
81,1020,-5.0,191251
81,1025,-3.0,192246
81,1030,-4.0,193100
80,1035,-5.0,194077
80,1040,-4.0,195072
80,1045,-2.0,196067
80,1050,-2.0,197062
80,1055,-3.0,197925
80,1060,-6.0,198819
80,1065,-4.0,199781
80,1070,-5.0,200729
80,1075,-3.0,201724
80,1080,-3.0,202711
80,1085,-1.0,203706
79,1090,-2.0,204680
79,1095,-1.0,205651
79,1100,-1.0,206582
79,1105,3.0,207577
79,1110,2.0,208562
79,1115,4.0,209557
79,1120,1.0,210326
79,1125,-1.0,211187
79,1130,-1.0,212038
79,1135,-1.0,213003
79,1140,-2.0,213926
78,1145,-4.0,214921
78,1150,-4.0,215819
78,1155,-4.0,216688
78,1160,-1.0,217683
78,1165,-1.0,218678
78,1170,-3.0,219499
78,1175,-4.0,220494
78,1180,-6.0,221370
78,1185,-7.0,222293
78,1190,-8.0,223129
78,1195,-8.0,224094
77,1200,-8.0,225089
77,1205,-9.0,226036
77,1210,-8.0,227008
77,1215,-10.0,227905
77,1220,-8.0,228686
77,1225,-9.0,229624
77,1230,-8.0,230590
77,1235,-9.0,231567
77,1240,-10.0,232480
77,1245,-10.0,233475
77,1250,-10.0,234470
76,1255,-7.0,235465
76,1260,-9.0,236460
76,1265,-9.0,237316
76,1270,-7.0,238207
76,1275,-9.0,239139
76,1280,-7.0,240027
76,1285,-6.0,241022
76,1290,-4.0,242017
76,1295,-5.0,243012
76,1300,-6.0,243964
75,1305,-6.0,244959
75,1310,-7.0,245855
75,1315,-5.0,246850
75,1320,-3.0,247845
75,1325,-1.0,248840
75,1330,0.0,249835
75,1335,1.0,250810
75,1340,3.0,251805
75,1345,3.0,252711
75,1350,2.0,253584
75,1355,0.0,254528
74,1360,0.0,255523
74,1365,-1.0,256399
74,1370,-2.0,257345
74,1375,2.0,258340
74,1380,2.0,259335
74,1385,2.0,260330
74,1390,3.0,261325
74,1395,3.0,262320
74,1400,3.0,263310
74,1405,4.0,264250
74,1410,6.0,265185
73,1415,6.0,266180
73,1420,7.0,267175
73,1425,6.0,268170
73,1430,4.0,269026
73,1435,5.0,269963
73,1440,5.0,270914
73,1445,4.0,271820
73,1450,6.0,272787
73,1455,6.0,273782
73,1460,7.0,274777
72,1465,9.0,275772
72,1470,10.0,276627
