% time spent exploring,episodes,mean 100 episode reward,steps
99,5,250.0,592
99,10,366.7,1332
99,15,435.7,2193
99,20,468.4,2708
99,25,495.8,3572
99,30,458.6,4161
99,35,452.9,4903
99,40,459.0,5494
99,45,440.9,5994
99,50,432.7,6551
99,55,433.3,7161
99,60,449.2,7948
99,65,448.4,8416
99,70,433.3,9068
99,75,452.7,9733
99,80,446.8,10143
98,85,446.4,10799
98,90,453.9,11521
98,95,453.2,12334
98,100,454.5,13201
98,105,463.0,13802
98,110,465.0,14453
98,115,459.0,15134
98,120,454.0,15685
98,125,442.0,16284
98,130,439.0,16824
98,135,455.0,17506
98,140,462.0,18321
98,145,473.0,19138
98,150,484.0,20034
97,155,493.0,20873
97,160,491.0,21742
97,165,492.0,22170
97,170,513.0,22871
97,175,505.0,23698
97,180,527.0,24590
97,185,526.0,25214
97,190,536.0,26070
97,195,537.0,26725
97,200,533.0,27392
97,205,531.0,27837
97,210,530.0,28693
97,215,534.0,29415
97,220,554.0,30170
96,225,557.0,31010
96,230,587.0,31742
96,235,584.0,32363
96,240,579.0,32992
96,245,573.0,33618
96,250,571.0,34358
96,255,568.0,35157
96,260,566.0,35939
96,265,567.0,36571
96,270,576.0,37313
96,275,576.0,38055
96,280,569.0,38846
96,285,574.0,39388
96,290,564.0,40132
96,295,565.0,40480
95,300,575.0,41227
95,305,577.0,41824
95,310,585.0,42569
95,315,588.0,43269
95,320,581.0,44138
95,325,595.0,44906
95,330,594.0,45471
95,335,585.0,46087
95,340,582.0,46754
95,345,582.0,47390
95,350,588.0,48115
95,355,598.0,48837
95,360,598.0,49457
95,365,596.0,49931
95,370,585.0,50629
94,375,582.0,51168
94,380,566.0,51824
94,385,565.0,52513
94,390,584.0,53444
94,395,591.0,54124
94,400,596.0,54727
94,405,609.0,55350
94,410,606.0,55789
94,415,613.0,56605
94,420,596.0,57099
94,425,580.0,57565
94,430,568.0,58082
94,435,590.0,58737
94,440,592.0,59059
94,445,590.0,59730
94,450,596.0,60542
94,455,585.0,61174
93,460,583.0,61791
93,465,600.0,62602
93,470,603.0,63253
93,475,618.0,64036
93,480,626.0,64601
93,485,641.0,65174
93,490,631.0,65813
93,495,629.0,66382
93,500,621.0,66997
93,505,623.0,67653
93,510,613.0,68148
93,515,597.0,68837
93,520,596.0,69461
93,525,606.0,69922
93,530,611.0,70464
93,535,594.0,70856
93,540,604.0,71375
92,545,614.0,71988
92,550,601.0,72421
92,555,603.0,72946
92,560,615.0,73444
92,565,600.0,73841
92,570,600.0,74790
92,575,588.0,75316
92,580,621.0,76110
92,585,630.0,76713
92,590,617.0,77393
92,595,620.0,77912
92,600,633.0,78521
92,605,623.0,79133
92,610,643.0,79833
92,615,665.0,80646
92,620,681.0,81185
91,625,693.0,81843
91,630,696.0,82543
91,635,700.0,83228
91,640,701.0,83976
91,645,700.0,84667
91,650,693.0,85372
91,655,702.0,86084
91,660,695.0,86667
91,665,696.0,87264
91,670,712.0,88004
91,675,728.0,88590
91,680,697.0,89025
91,685,697.0,89894
91,690,697.0,90397
91,695,694.0,90828
91,700,691.0,91630
90,705,703.0,92245
90,710,693.0,92861
90,715,697.0,93569
90,720,706.0,94138
90,725,701.0,94727
90,730,682.0,94969
90,735,678.0,95717
90,740,672.0,96251
90,745,694.0,96925
90,750,718.0,97636
90,755,711.0,98189
90,760,723.0,99018
90,765,732.0,99636
90,770,725.0,100265
90,775,703.0,100587
90,780,701.0,101179
90,785,689.0,101863
89,790,719.0,102682
89,795,740.0,103482
89,800,732.0,104012
89,805,715.0,104382
89,810,716.0,105107
89,815,713.0,105723
89,820,715.0,106442
89,825,708.0,107025
89,830,715.0,107449
89,835,719.0,107948
89,840,735.0,108768
89,845,714.0,109295
89,850,696.0,109615
89,855,694.0,109917
89,860,699.0,110578
89,865,704.0,111137
89,870,696.0,111679
89,875,702.0,112102
88,880,708.0,112609
88,885,709.0,113141
88,890,684.0,113585
88,895,678.0,114398
88,900,717.0,115390
88,905,729.0,115939
88,910,740.0,116609
88,915,726.0,117168
88,920,723.0,117880
88,925,730.0,118460
88,930,737.0,119115
88,935,741.0,119644
88,940,736.0,120178
88,945,750.0,120946
88,950,776.0,121719
88,955,784.0,122189
87,960,783.0,122827
87,965,771.0,123428
87,970,778.0,124186
87,975,779.0,124630
87,980,786.0,125102
87,985,770.0,125376
87,990,765.0,125936
87,995,740.0,126531
87,1000,721.0,127128
87,1005,724.0,127721
87,1010,720.0,128424
87,1015,728.0,129052
87,1020,712.0,129643
87,1025,714.0,130388
87,1030,721.0,130945
87,1035,731.0,131461
87,1040,732.0,131946
87,1045,724.0,132369
86,1050,716.0,132915
86,1055,708.0,133299
86,1060,697.0,133923
86,1065,722.0,134692
86,1070,722.0,135192
86,1075,728.0,135835
86,1080,747.0,136561
86,1085,775.0,137198
86,1090,772.0,137570
86,1095,778.0,137962
86,1100,765.0,138427
86,1105,772.0,139170
86,1110,770.0,139594
86,1115,778.0,140321
86,1120,789.0,140894
86,1125,790.0,141575
86,1130,800.0,142333
86,1135,797.0,142854
85,1140,796.0,143266
85,1145,807.0,143783
85,1150,808.0,144385
85,1155,832.0,145052
