% time spent exploring,episodes,mean 100 episode reward,steps
99,5,250.0,592
99,10,388.9,1322
98,15,478.6,2196
98,20,505.3,2890
98,25,516.7,3584
98,30,486.2,4019
97,35,497.1,4788
97,40,502.6,5559
97,45,484.1,5995
96,50,477.6,6524
96,55,500.0,7306
95,60,516.9,8232
95,65,506.2,8933
95,70,521.7,9651
95,75,512.2,10051
94,80,507.6,10633
94,85,515.5,11298
94,90,507.9,11950
93,95,497.9,12482
93,100,486.9,13326
93,105,516.0,14018
92,110,519.0,14728
92,115,520.0,15480
92,120,523.0,16016
91,125,526.0,16913
91,130,534.0,17488
91,135,530.0,18063
90,140,524.0,18565
90,145,533.0,19190
90,150,534.0,19500
90,155,524.0,20175
89,160,511.0,20706
89,165,524.0,21416
89,170,514.0,21981
88,175,533.0,22781
88,180,531.0,23237
88,185,538.0,23937
87,190,544.0,24638
87,195,561.0,25344
87,200,571.0,25769
86,205,568.0,26574
86,210,577.0,27100
86,215,580.0,27825
86,220,584.0,28498
85,225,579.0,29200
85,230,616.0,29920
85,235,620.0,30444
84,240,632.0,31127
84,245,640.0,31883
84,250,665.0,32537
83,255,677.0,33181
83,260,680.0,33685
83,265,685.0,34268
82,270,700.0,35011
82,275,697.0,35617
82,280,706.0,36209
81,285,704.0,36880
81,290,715.0,37618
81,295,721.0,38222
81,300,707.0,38532
80,305,700.0,39297
80,310,703.0,39894
80,315,707.0,40564
79,320,698.0,41082
79,325,716.0,41889
79,330,700.0,42602
78,335,712.0,43316
78,340,717.0,43950
78,345,721.0,44533
77,350,733.0,45463
77,355,733.0,46087
77,360,757.0,46816
76,365,765.0,47615
76,370,768.0,48177
76,375,783.0,48918
75,380,798.0,49552
75,385,790.0,49965
75,390,790.0,50426
75,395,782.0,50979
74,400,811.0,51510
74,405,840.0,52347
74,410,844.0,52880
73,415,851.0,53395
73,420,846.0,53749
73,425,848.0,54340
73,430,847.0,54920
72,435,845.0,55423
72,440,861.0,56260
72,445,874.0,56997
71,450,876.0,57607
71,455,897.0,58457
71,460,904.0,59044
70,465,906.0,59640
70,470,928.0,60352
70,475,928.0,61172
69,480,921.0,61910
69,485,930.0,62695
68,490,947.0,63438
68,495,966.0,64130
68,500,975.0,64632
67,505,984.0,65464
67,510,980.0,66147
67,515,981.0,66773
66,520,1002.0,67542
66,525,1016.0,68537
66,530,1012.0,69155
65,535,1054.0,69967
65,540,1059.0,70491
65,545,1051.0,71079
65,550,1015.0,71396
64,555,1015.0,72071
64,560,998.0,72500
64,565,1008.0,73177
63,570,989.0,73745
63,575,982.0,74458
63,580,993.0,75022
63,585,997.0,75499
62,590,1001.0,76166
62,595,995.0,76609
62,600,992.0,77287
61,605,959.0,77817
61,610,1002.0,78623
61,615,1000.0,79102
60,620,1037.0,79895
60,625,1056.0,80733
60,630,1076.0,81412
59,635,1068.0,82274
59,640,1066.0,82921
59,645,1096.0,83631
58,650,1119.0,84229
58,655,1114.0,84859
58,660,1140.0,85667
57,665,1153.0,86595
57,670,1184.0,87477
56,675,1202.0,88202
56,680,1216.0,88902
56,685,1217.0,89398
55,690,1219.0,89992
55,695,1249.0,90837
55,700,1264.0,91437
54,705,1280.0,92261
54,710,1242.0,92761
54,715,1255.0,93439
53,720,1249.0,94403
53,725,1254.0,95168
53,730,1241.0,95631
52,735,1204.0,96258
52,740,1230.0,97091
52,745,1225.0,97916
51,750,1222.0,98307
51,755,1244.0,99062
51,760,1259.0,99899
50,765,1261.0,100712
50,770,1248.0,101487
49,775,1238.0,102108
49,780,1261.0,103103
49,785,1312.0,103873
48,790,1331.0,104759
48,795,1322.0,105450
48,800,1307.0,106062
47,805,1323.0,106978
47,810,1333.0,107592
46,815,1341.0,108442
46,820,1330.0,109199
46,825,1335.0,110019
45,830,1348.0,110792
45,835,1365.0,111398
45,840,1359.0,112004
44,845,1374.0,112697
44,850,1392.0,113396
44,855,1413.0,114223
43,860,1409.0,114925
43,865,1391.0,115576
42,870,1402.0,116571
42,875,1402.0,116913
42,880,1387.0,117604
41,885,1382.0,118574
41,890,1406.0,119569
40,895,1406.0,120497
40,900,1442.0,121419
40,905,1426.0,122319
39,910,1429.0,122774
39,915,1418.0,123491
39,920,1405.0,124120
38,925,1385.0,124783
38,930,1420.0,125778
38,935,1440.0,126503
37,940,1411.0,127038
37,945,1399.0,127700
37,950,1403.0,128230
36,955,1393.0,129009
36,960,1418.0,130004
35,965,1448.0,130742
35,970,1438.0,131421
35,975,1436.0,132114
34,980,1452.0,133109
34,985,1437.0,133647
34,990,1412.0,134475
33,995,1433.0,135240
33,1000,1444.0,136235
32,1005,1481.0,137230
32,1010,1500.0,137834
31,1015,1543.0,138776
31,1020,1586.0,139771
31,1025,1576.0,140361
30,1030,1541.0,141206
30,1035,1542.0,142076
29,1040,1586.0,143071
29,1045,1585.0,143619
29,1050,1609.0,144471
28,1055,1600.0,145089
28,1060,1579.0,145816
28,1065,1587.0,146811
27,1070,1605.0,147783
27,1075,1637.0,148460
26,1080,1642.0,149207
26,1085,1649.0,150038
26,1090,1649.0,150850
25,1095,1661.0,151660
25,1100,1650.0,152584
24,1105,1641.0,153394
24,1110,1645.0,154091
24,1115,1636.0,154768
23,1120,1652.0,155730
23,1125,1706.0,156725
22,1130,1733.0,157430
22,1135,1759.0,158242
22,1140,1745.0,159056
21,1145,1789.0,160051
21,1150,1815.0,161005
20,1155,1829.0,162000
20,1160,1835.0,162469
20,1165,1826.0,163090
19,1170,1874.0,164085
19,1175,1864.0,164559
18,1180,1858.0,165314
18,1185,1874.0,166309
18,1190,1888.0,167304
17,1195,1878.0,167981
17,1200,1915.0,168790
16,1205,1938.0,169666
16,1210,1972.0,170542
16,1215,1977.0,171390
15,1220,1973.0,172304
15,1225,1964.0,173180
14,1230,1978.0,174092
14,1235,1982.0,174757
13,1240,2030.0,175752
13,1245,2019.0,176535
13,1250,1996.0,177353
12,1255,2035.0,178348
12,1260,2048.0,179343
11,1265,2072.0,180338
11,1270,2070.0,181333
10,1275,2126.0,182171
10,1280,2163.0,183139
9,1285,2173.0,183991
9,1290,2189.0,184684
9,1295,2236.0,185679
8,1300,2227.0,186451
8,1305,2230.0,187279
7,1310,2234.0,188020
7,1315,2262.0,188872
6,1320,2270.0,189867
6,1325,2263.0,190552
6,1330,2295.0,191547
5,1335,2325.0,192542
5,1340,2320.0,193406
4,1345,2356.0,194401
4,1350,2395.0,195396
3,1355,2385.0,196391
3,1360,2431.0,197386
2,1365,2448.0,198381
2,1370,2443.0,199301
2,1375,2454.0,200296
2,1380,2472.0,201260
2,1385,2505.0,202255
2,1390,2536.0,203250
2,1395,2546.0,204245
2,1400,2546.0,205240
2,1405,2572.0,206235
2,1410,2588.0,207230
2,1415,2605.0,208225
2,1420,2592.0,208950
2,1425,2643.0,209945
2,1430,2616.0,210793
2,1435,2623.0,211788
2,1440,2636.0,212730
2,1445,2632.0,213725
2,1450,2636.0,214720
2,1455,2631.0,215584
2,1460,2615.0,216412
2,1465,2626.0,217407
2,1470,2628.0,218255
2,1475,2615.0,219020
2,1480,2614.0,220015
2,1485,2602.0,220911
2,1490,2600.0,221906
2,1495,2594.0,222901
2,1500,2628.0,223896
2,1505,2637.0,224891
2,1510,2653.0,225886
2,1515,2648.0,226770
2,1520,2677.0,227600
2,1525,2677.0,228595
2,1530,2716.0,229590
2,1535,2685.0,230251
2,1540,2697.0,231246
2,1545,2700.0,232241
2,1550,2704.0,233236
2,1555,2715.0,234064
2,1560,2736.0,235059
2,1565,2750.0,236015
2,1570,2761.0,237010
2,1575,2756.0,237838
2,1580,2769.0,238833
2,1585,2788.0,239828
2,1590,2774.0,240656
2,1595,2777.0,241651
2,1600,2778.0,242646
2,1605,2776.0,243641
2,1610,2766.0,244636
