% time spent exploring,episodes,mean 100 episode reward,steps
100,5,250.0,592
100,10,366.7,1332
100,15,400.0,1992
100,20,373.7,2621
100,25,400.0,3311
100,30,393.1,4009
100,35,414.7,4674
100,40,420.5,5510
100,45,425.0,5995
100,50,420.4,6727
100,55,437.0,7493
100,60,432.2,8106
100,65,442.2,8887
100,70,453.6,9686
100,75,456.8,10368
100,80,465.8,11221
100,85,451.2,11851
100,90,448.3,12533
100,95,440.4,13330
100,100,437.4,13957
100,105,447.0,14802
100,110,455.0,15650
100,115,470.0,16339
100,120,477.0,17114
100,125,479.0,17723
100,130,470.0,18317
100,135,466.0,19022
100,140,463.0,19775
100,145,461.0,20556
100,150,467.0,21246
100,155,458.0,21915
100,160,476.0,22792
100,165,466.0,23351
100,170,457.0,24175
100,175,453.0,24857
100,180,445.0,25546
100,185,457.0,26282
100,190,465.0,27137
100,195,467.0,27641
100,200,464.0,28545
100,205,467.0,29200
100,210,469.0,30011
100,215,453.0,30751
100,220,461.0,31462
100,225,468.0,32226
100,230,492.0,32993
100,235,488.0,33623
100,240,489.0,34474
100,245,495.0,35174
100,250,498.0,35943
100,255,506.0,36571
100,260,501.0,37433
100,265,509.0,38160
100,270,509.0,38673
100,275,514.0,39422
100,280,525.0,40277
100,285,530.0,40892
100,290,520.0,41529
100,295,521.0,42458
100,300,530.0,43302
100,305,523.0,44075
100,310,509.0,44856
100,315,506.0,45461
100,320,504.0,46105
100,325,488.0,46780
100,330,468.0,47618
100,335,482.0,48496
100,340,492.0,49319
100,345,489.0,50094
100,350,481.0,50663
100,355,471.0,51488
100,360,459.0,52242
100,365,461.0,53082
100,370,463.0,53904
100,375,465.0,54745
100,380,457.0,55510
100,385,450.0,56323
100,390,443.0,57152
100,395,465.0,57943
100,400,484.0,58790
100,405,484.0,59717
100,410,491.0,60606
100,415,502.0,61459
100,420,506.0,62107
100,425,523.0,62937
100,430,526.0,63470
100,435,503.0,64095
100,440,501.0,64735
100,445,500.0,65564
100,450,518.0,66171
100,455,526.0,66813
100,460,527.0,67608
100,465,516.0,68487
100,470,515.0,69312
100,475,504.0,69921
100,480,505.0,70606
100,485,520.0,71275
100,490,529.0,71784
100,495,513.0,72484
100,500,490.0,73219
100,505,500.0,74030
100,510,487.0,74946
100,515,483.0,75469
100,520,470.0,76032
100,525,465.0,76800
100,530,475.0,77667
100,535,496.0,78459
100,540,487.0,79085
100,545,483.0,79853
100,550,470.0,80530
100,555,471.0,81128
100,560,483.0,82006
100,565,480.0,82742
100,570,498.0,83621
100,575,503.0,84562
100,580,489.0,85297
100,585,477.0,85995
100,590,483.0,86722
100,595,487.0,87574
100,600,484.0,88337
100,605,472.0,88900
100,610,487.0,89539
100,615,473.0,89887
100,620,470.0,90465
100,625,469.0,91052
100,630,455.0,91778
100,635,445.0,92460
100,640,450.0,92942
100,645,454.0,93630
100,650,459.0,94344
100,655,452.0,95014
100,660,436.0,95726
100,665,440.0,96452
100,670,427.0,97416
100,675,427.0,98026
100,680,444.0,98721
100,685,447.0,99622
100,690,446.0,100368
100,695,443.0,101018
100,700,445.0,101784
100,705,440.0,102237
100,710,449.0,102932
100,715,452.0,103554
100,720,452.0,103944
100,725,439.0,104610
100,730,434.0,105260
100,735,442.0,105986
100,740,440.0,106528
100,745,435.0,107283
100,750,438.0,107851
100,755,441.0,108688
100,760,447.0,109297
100,765,448.0,109733
