% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,795
99,10,-11.1,1754
99,15,-7.1,2749
99,20,-15.8,3708
99,25,-12.5,4703
99,30,-13.8,5646
99,35,-14.7,6594
99,40,-17.9,7407
99,45,-15.9,8402
99,50,-16.3,9262
98,55,-14.8,10257
98,60,-13.6,11252
98,65,-12.5,12247
98,70,-10.1,13242
98,75,-10.8,14152
98,80,-10.1,15147
98,85,-10.7,16137
98,90,-11.2,17105
98,95,-10.6,18100
98,100,-10.1,19062
98,105,-12.0,20000
97,110,-12.0,20880
97,115,-14.0,21803
97,120,-12.0,22798
97,125,-13.0,23718
97,130,-12.0,24701
97,135,-11.0,25696
97,140,-10.0,26572
97,145,-10.0,27427
97,150,-10.0,28288
97,155,-13.0,29031
97,160,-14.0,29957
96,165,-14.0,30952
96,170,-16.0,31790
96,175,-15.0,32785
96,180,-16.0,33750
96,185,-16.0,34699
96,190,-15.0,35694
96,195,-18.0,36395
96,200,-18.0,37390
96,205,-18.0,38214
96,210,-16.0,39209
96,215,-14.0,40204
95,220,-14.0,41199
95,225,-15.0,42126
95,230,-13.0,43121
95,235,-12.0,44116
95,240,-13.0,44913
95,245,-15.0,45780
95,250,-14.0,46775
95,255,-11.0,47770
95,260,-11.0,48742
95,265,-13.0,49555
95,270,-13.0,50475
94,275,-15.0,51369
94,280,-14.0,52364
94,285,-16.0,53224
94,290,-17.0,54109
94,295,-14.0,55104
94,300,-15.0,56055
94,305,-15.0,56924
94,310,-17.0,57782
94,315,-18.0,58735
94,320,-18.0,59730
94,325,-14.0,60725
93,330,-15.0,61720
93,335,-18.0,62434
93,340,-16.0,63390
93,345,-15.0,64269
93,350,-17.0,65090
93,355,-19.0,65920
93,360,-18.0,66915
93,365,-17.0,67761
93,370,-16.0,68743
93,375,-15.0,69661
93,380,-16.0,70570
92,385,-14.0,71508
92,390,-13.0,72488
92,395,-13.0,73425
92,400,-14.0,74272
92,405,-12.0,75157
92,410,-11.0,76079
92,415,-10.0,77074
92,420,-9.0,78069
92,425,-11.0,78981
92,430,-13.0,79876
92,435,-12.0,80851
91,440,-13.0,81796
91,445,-15.0,82442
91,450,-13.0,83353
91,455,-11.0,84318
91,460,-12.0,85263
91,465,-13.0,86075
91,470,-13.0,87028
91,475,-11.0,88023
91,480,-11.0,88910
91,485,-11.0,89790
91,490,-11.0,90661
91,495,-10.0,91656
90,500,-7.0,92539
90,505,-7.0,93448
90,510,-10.0,94102
90,515,-6.0,95097
90,520,-9.0,95922
90,525,-8.0,96845
90,530,-8.0,97589
90,535,-8.0,98394
90,540,-8.0,99182
90,545,-5.0,100177
90,550,-6.0,101100
90,555,-7.0,102007
89,560,-7.0,102875
89,565,-5.0,103753
89,570,-5.0,104746
89,575,-9.0,105601
89,580,-10.0,106303
89,585,-8.0,107220
89,590,-9.0,108160
89,595,-9.0,109155
89,600,-11.0,109998
89,605,-11.0,110795
89,610,-11.0,111569
88,615,-16.0,112351
88,620,-15.0,113310
88,625,-16.0,114138
88,630,-17.0,115006
88,635,-16.0,115884
88,640,-16.0,116766
88,645,-16.0,117626
88,650,-16.0,118572
88,655,-15.0,119538
88,660,-16.0,120336
88,665,-16.0,121331
88,670,-19.0,122117
87,675,-16.0,122985
87,680,-12.0,123955
87,685,-12.0,124950
87,690,-8.0,125945
87,695,-9.0,126842
87,700,-8.0,127717
87,705,-8.0,128479
87,710,-5.0,129367
87,715,-4.0,130126
87,720,-3.0,130905
87,725,-4.0,131709
87,730,-3.0,132559
86,735,-2.0,133438
86,740,0.0,134433
86,745,0.0,135326
86,750,0.0,136307
86,755,-1.0,137035
86,760,2.0,137813
86,765,-1.0,138417
86,770,-1.0,138968
86,775,-3.0,139665
86,780,-6.0,140457
86,785,-7.0,141452
86,790,-11.0,142347
85,795,-12.0,143271
85,800,-11.0,144140
85,805,-10.0,145135
85,810,-10.0,146094
85,815,-11.0,146985
85,820,-14.0,147747
85,825,-15.0,148463
85,830,-15.0,149362
85,835,-15.0,150304
85,840,-20.0,150806
85,845,-22.0,151554
85,850,-21.0,152549
84,855,-21.0,153404
84,860,-23.0,154339
84,865,-20.0,155315
84,870,-16.0,156284
84,875,-13.0,157153
84,880,-14.0,157894
84,885,-15.0,158649
84,890,-15.0,159497
84,895,-13.0,160467
84,900,-12.0,161462
84,905,-13.0,162189
84,910,-11.0,163184
83,915,-12.0,163864
83,920,-10.0,164698
83,925,-10.0,165467
83,930,-9.0,166341
83,935,-10.0,167272
83,940,-7.0,168106
83,945,-7.0,168905
83,950,-8.0,169876
83,955,-10.0,170604
83,960,-9.0,171453
83,965,-8.0,172448
83,970,-8.0,173323
82,975,-12.0,173977
82,980,-10.0,174918
82,985,-9.0,175763
82,990,-10.0,176579
82,995,-11.0,177351
82,1000,-13.0,178115
82,1005,-14.0,179080
82,1010,-13.0,180075
82,1015,-14.0,180844
82,1020,-12.0,181692
82,1025,-12.0,182555
82,1030,-13.0,183484
81,1035,-16.0,184198
81,1040,-14.0,185057
81,1045,-14.0,185860
81,1050,-14.0,186779
81,1055,-15.0,187365
81,1060,-16.0,188041
81,1065,-18.0,188714
81,1070,-19.0,189359
81,1075,-16.0,190198
81,1080,-17.0,190970
81,1085,-19.0,191795
81,1090,-18.0,192436
81,1095,-15.0,193394
80,1100,-15.0,194321
80,1105,-10.0,195255
80,1110,-14.0,196132
80,1115,-12.0,196915
80,1120,-14.0,197823
80,1125,-11.0,198675
80,1130,-10.0,199583
80,1135,-7.0,200438
80,1140,-7.0,201270
80,1145,-5.0,202126
80,1150,-7.0,202696
80,1155,-3.0,203440
79,1160,-1.0,204243
79,1165,-1.0,205055
79,1170,1.0,205947
79,1175,1.0,206769
79,1180,6.0,207681
79,1185,8.0,208418
79,1190,13.0,209329
79,1195,8.0,210127
79,1200,7.0,211014
79,1205,5.0,211912
79,1210,6.0,212720
79,1215,6.0,213550
78,1220,6.0,214292
78,1225,5.0,215150
78,1230,1.0,215621
78,1235,2.0,216557
78,1240,1.0,217314
78,1245,0.0,218120
78,1250,2.0,218757
78,1255,4.0,219752
78,1260,7.0,220591
78,1265,8.0,221349
78,1270,7.0,222181
78,1275,8.0,222919
78,1280,4.0,223513
78,1285,7.0,224293
77,1290,2.0,224901
77,1295,5.0,225667
77,1300,5.0,226475
77,1305,3.0,227265
77,1310,2.0,227908
77,1315,2.0,228702
77,1320,3.0,229676
77,1325,1.0,230260
77,1330,3.0,230865
77,1335,4.0,231709
77,1340,2.0,232246
77,1345,4.0,233007
77,1350,3.0,233694
77,1355,3.0,234479
76,1360,-4.0,235131
76,1365,-4.0,236111
76,1370,-6.0,236814
76,1375,-7.0,237691
76,1380,-8.0,238503
76,1385,-9.0,239268
76,1390,-10.0,240027
76,1395,-14.0,240489
76,1400,-12.0,241244
76,1405,-12.0,242131
76,1410,-11.0,243027
76,1415,-12.0,243727
76,1420,-12.0,244358
75,1425,-9.0,245261
75,1430,-6.0,246192
75,1435,-5.0,247129
75,1440,-4.0,247680
75,1445,-6.0,248490
75,1450,-4.0,249265
75,1455,-5.0,250081
75,1460,-3.0,250766
75,1465,0.0,251667
75,1470,0.0,252394
75,1475,0.0,253191
