# {"t_start": 1557707992.0223286, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-96.378128,78,2.846455
-361.105061,127,3.169214
-348.80238,84,3.368711
-95.061904,98,3.612078
-437.590799,110,3.885841
-350.115636,123,4.205964
-270.302622,88,4.418815
-250.877097,153,4.805657
-361.091434,136,5.159868
-212.580098,150,5.566659
-332.104406,219,6.195513
-344.6718,89,6.422553
-66.794506,102,6.669512
-243.608593,96,6.902629
-331.388761,111,7.183655
-233.481786,93,7.416349
-331.60455,97,7.651317
-251.627313,98,8.111766
-444.237305,93,8.344455
-375.336965,88,8.557696
-58.923583,123,8.869222
-131.055262,129,9.200559
-252.938305,149,9.595598
-411.250428,77,9.783686
-276.384103,99,10.027445
-444.834498,117,10.333715
-72.271935,125,10.654311
-384.978947,99,10.896226
-287.313273,85,11.097909
-285.051156,152,11.502487
-176.575913,147,11.894511
-431.315595,89,12.112452
-293.930289,91,12.337596
-227.778082,98,12.576031
-186.205904,139,12.945682
-71.701754,119,13.243554
-213.275434,75,13.558264
-348.228961,88,13.777414
-442.788673,109,14.043641
-494.100849,100,14.287081
-128.826843,133,14.625273
-327.222209,164,15.069017
-233.613918,96,15.301596
-113.94844,106,15.568082
-166.790814,141,15.989089
-207.186491,153,16.418888
-230.138784,107,16.684178
-241.841637,104,16.946271
-322.106281,104,17.215015
-207.445369,94,17.451628
-181.069688,138,17.825178
-216.768558,68,17.992123
-157.824283,83,18.214729
-63.1184,66,18.377844
-209.76607,102,18.64395
-513.146434,156,19.198216
-97.309703,91,19.43799
-345.866212,112,19.768672
-148.608267,88,19.979908
-186.652406,96,20.22277
-112.471374,81,20.413713
-320.956587,90,20.643667
-64.820132,93,20.882696
-92.658066,73,21.053796
-88.081152,110,21.333448
-56.763301,77,21.526397
-386.402359,98,21.773755
-68.387609,187,22.305809
-206.783006,101,22.55812
-334.664331,124,22.88431
-101.28646,96,23.13704
-153.823592,132,23.487134
-61.952748,148,23.885875
-353.34553,104,24.152572
-204.13964,133,24.648009
-122.509221,96,24.884866
-332.19776,183,25.381039
-388.313002,86,25.59174
-247.190231,123,25.919168
-417.69965,192,26.461561
-277.54778,158,26.9021
-110.064531,147,27.297179
-64.722267,71,27.471285
-26.030651,219,28.111962
-523.810253,128,28.450132
-212.830232,208,29.073297
-348.245214,98,29.32288
-225.822332,103,29.578078
-178.993464,131,29.935122
-276.054472,94,30.305678
-587.6607,192,30.856325
-227.431318,118,31.165545
-360.086488,91,31.391054
-581.698994,106,31.663941
-207.388795,107,31.938483
-281.204723,193,32.490771
-435.175731,115,32.794572
-202.865542,158,33.237405
-118.693216,102,33.498674
-163.824108,121,33.821172
-330.052873,92,34.046612
-413.775586,209,34.66046
-522.632566,102,34.923087
-528.068094,146,35.310624
-202.407036,78,35.499157
-55.391779,80,35.840852
-174.745512,109,36.161647
-422.831312,149,36.568231
-90.168622,94,36.830334
-149.652106,97,37.080969
-149.034023,119,37.386505
-177.313499,234,38.101049
-415.875243,134,38.462557
-129.099136,118,38.768401
-426.843148,155,39.191396
-404.887831,103,39.452204
-473.064494,223,40.172625
-381.077314,108,40.450672
-349.869706,117,40.7436
-65.235131,95,41.001737
-178.602413,167,41.594824
-452.027431,122,41.919456
-474.866835,119,42.212749
-178.900685,132,42.555331
-107.279669,96,42.81619
-355.144836,184,43.351707
-135.795416,164,43.812972
-430.680155,110,44.102051
-69.734905,107,44.385564
-96.610285,98,44.626639
-69.806362,97,44.883219
-236.746862,186,45.4388
-197.999483,160,45.885017
-185.049969,98,46.130848
-538.878464,144,46.527755
-307.456626,106,46.812606
-109.303692,97,47.066195
-56.245178,210,47.828714
-333.687951,103,48.101506
-256.531035,100,48.365493
-183.810651,161,48.818143
-253.008486,240,49.584987
-188.416786,85,49.798734
-67.180723,98,50.0533
-149.759109,157,50.497616
-116.961662,156,50.922974
-286.362795,110,51.207827
-259.417813,112,51.502724
-363.14554,205,52.098691
-64.465549,123,52.421404
-39.055545,82,52.631881
-51.176387,89,52.866029
-354.318828,98,53.257483
-425.629082,122,53.582566
-336.828139,98,53.839108
-357.879476,79,54.038766
-523.58103,174,54.538414
-392.259668,153,54.961756
-371.6023,143,55.350922
-264.166603,160,55.807264
-32.814499,131,56.171114
-65.697399,112,56.475614
-160.223293,145,56.863502
-169.000903,142,57.256344
-162.523713,102,57.525609
-214.253384,149,57.94722
-148.555966,97,58.198892
-77.495807,79,58.403478
-294.892055,143,58.934779
-212.185279,96,59.181921
-266.936878,98,59.43801
-333.700132,120,59.76335
-328.685839,106,60.040227
-418.113411,103,60.306473
-101.594371,94,60.549441
-307.888752,102,60.818221
36.92622,1000,68.037378
-254.07348,161,68.477164
-216.39168,99,68.733048
-59.42318,109,69.163581
-278.883931,142,69.559847
-245.335741,87,69.784589
-612.179715,168,70.275842
-262.902869,148,70.681789
-62.014119,80,70.887912
-398.740057,102,71.148839
-260.138797,112,71.452701
-159.207348,125,71.786399
-458.588168,266,72.667096
-251.958087,89,72.89464
-216.891812,128,73.25072
-121.287766,185,73.779724
-157.264812,126,74.103249
-328.911237,87,74.327383
-332.774751,159,74.917902
-65.927684,92,75.149461
-102.714189,116,75.449045
-292.344011,104,75.71209
-182.365067,99,75.961486
-247.12119,141,76.344124
-166.510015,121,76.667054
-310.546193,121,77.005445
-353.459445,106,77.274111
-176.220767,142,77.651525
-469.651057,83,77.857087
-566.567167,175,78.354083
-228.21133,119,78.667469
-279.707985,118,78.973748
-40.413501,110,79.256427
-411.138459,87,79.472545
-290.0632,198,80.052216
-264.486842,138,80.566267
-222.598379,109,80.846626
-245.547639,127,81.176322
-172.243282,188,81.720127
-237.208762,124,82.045689
-171.033453,151,82.46651
-64.909098,167,82.936395
-57.693956,125,83.275389
-370.860323,123,83.6065
-193.838575,126,83.93547
8.085762,132,84.293024
-377.03114,122,84.613286
-170.075383,144,85.003767
-217.776932,93,85.251882
-221.432443,144,85.649508
-317.327284,127,86.118619
-192.888031,155,86.57422
-273.554648,145,86.961368
-320.057035,122,87.292702
-341.99332,157,87.730197
-297.238502,87,87.957021
-179.637183,118,88.268218
-59.379481,88,88.502152
-127.699245,138,88.876588
-86.196805,135,89.236111
-306.931771,118,89.540989
-50.300274,84,89.751263
-191.184247,87,89.962908
-76.493567,84,90.184785
-236.49175,91,90.419141
-523.038147,153,90.852728
-91.388614,102,91.120586
-159.310443,177,91.750988
-301.148873,98,92.000235
-318.520505,150,92.42637
-281.495462,99,92.698311
-231.624274,108,92.97545
-117.984284,96,93.23151
-298.675784,97,93.488199
-459.793609,200,94.081996
-58.836699,94,94.316213
-269.835812,164,94.779363
-252.478054,126,95.111406
-266.118485,109,95.390682
-345.659981,82,95.59066
-19.801826,105,95.857397
-454.896329,162,96.316751
-86.598413,115,96.613154
-257.225065,172,97.090828
-326.921065,126,97.560314
-393.526785,125,97.889222
-370.305959,155,98.31812
-285.994566,180,98.829748
-292.314808,93,99.064204
-249.025562,210,99.695279
-189.302302,95,99.945755
-131.951025,133,100.316662
-457.45165,141,100.697228
-473.994341,140,101.077207
-417.457313,181,101.59993
-193.555254,145,101.995329
8.894734,90,102.230581
-435.66674,135,102.598774
-330.673801,145,103.014839
-123.052849,131,103.513994
-225.726851,127,103.852219
-42.557468,106,104.140026
-86.351555,137,104.522336
-548.632648,160,104.972857
-299.041996,159,105.431718
-260.211807,240,106.219962
-473.057476,179,106.738485
-316.748919,115,107.039733
-179.991433,225,107.73276
-188.054817,203,108.35139
-339.144915,185,108.884704
-163.028913,99,109.276058
-333.788245,116,109.589903
-43.976953,128,109.943811
-161.28656,97,110.196429
-390.724454,88,110.432539
