eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
103.78947368421052,-267.47998526315786,627,0.0001447686,0.0,2.8393981,-0.00086604856,1432.1564,0.00634235143661499,1,2048,3.2639399880001747,2048
112.93,-197.26549025,732,0.00035467846,0.0,2.8375494,-0.00030541152,675.3143,-0.011775016784667969,10,20480,29.942445961000203,20480
113.34,-239.05184720999998,745,0.0028255635,0.020874023,2.8382754,0.0036258008,980.6801,-0.005754828453063965,20,40960,58.78180603800001,40960
111.64,-214.54859169000002,728,0.00044072236,0.0,2.8468447,0.0005831591,1062.4391,-0.022670269012451172,30,61440,88.84020188900013,61440
108.1,-240.02051534999998,697,0.00016273012,0.0,2.8514562,-0.0002281602,1704.1012,-0.01097404956817627,40,81920,118.37038000200005,81920
100.69,-210.72423162000004,715,0.0001058707,0.0,2.8431177,-0.00027332501,782.9583,-0.007638335227966309,50,102400,147.4509948330001,102400
105.42,-191.29566279999995,720,0.000110657944,0.0,2.8452632,-0.00023300742,1159.8145,-0.009954571723937988,60,122880,180.2869506830002,122880
96.01,-199.33522864,657,8.601982e-05,0.0,2.8427649,-0.00023246356,864.7291,-0.008614063262939453,70,143360,210.320479191,143360
95.26,-184.62874477999998,588,9.388057e-05,0.0,2.8391051,-0.000117000505,517.539,-0.007217288017272949,80,163840,245.36711735100016,163840
108.85,-253.31552538000003,575,0.00049429364,0.0,2.8371873,-0.00029064796,704.9305,-0.0005774497985839844,90,184320,280.35902805600017,184320
98.34,-214.24000185,584,4.7946545e-05,0.0,2.831802,0.0001553255,708.83673,-0.01194918155670166,100,204800,324.3383452490002,204800
104.53,-221.54441075,412,0.00012274062,0.0,2.8350773,-0.00031360594,551.3022,0.03849172592163086,110,225280,361.7045072600001,225280
108.61,-222.33320281000005,575,8.3420855e-05,0.0,2.8289998,-0.0003238215,736.17615,-1.6689300537109375e-06,120,245760,400.3604223200002,245760
97.87,-215.52437022,570,8.4216445e-05,0.0,2.8268192,4.6983652e-05,736.0096,-0.007601618766784668,130,266240,435.9644676720002,266240
88.24,-194.02888573999996,590,0.00015782518,0.0,2.834344,-0.000277783,699.02094,-0.002430558204650879,140,286720,471.087885528,286720
89.06,-212.82922102999999,592,0.00014465941,0.00012207031,2.8262346,-0.00014609686,746.96594,-0.0008263587951660156,150,307200,505.2602454790001,307200
83.21,-178.21040474999998,575,0.00012789562,0.0,2.8248692,0.00015209327,451.3936,-0.02242434024810791,160,327680,539.7433346170001,327680
91.42,-182.32726966999996,523,4.549825e-05,0.0,2.8243728,-0.00028277808,520.3355,0.0038828253746032715,170,348160,575.6391832160002,348160
89.6,-157.89811850999996,572,3.6901303e-05,0.0,2.8233156,3.5933088e-05,296.14865,-0.0007166862487792969,180,368640,613.0756852270001,368640
97.72,-197.64192269,562,0.0005239997,0.0,2.8272645,-0.001305942,408.4194,-0.0013363361358642578,190,389120,648.941391587,389120
98.14,-193.62247621000003,563,0.00074253103,0.00048828125,2.8246915,-0.0009033155,478.99844,-0.0009940862655639648,200,409600,687.3747932360002,409600
95.05,-196.23436329,553,0.0006681719,0.0,2.8217692,-2.7889182e-06,346.60202,3.5643577575683594e-05,210,430080,727.8984323640002,430080
96.16,-198.85393209000003,568,0.00014473071,0.0,2.822513,-0.0003063085,271.82965,-0.0018680095672607422,220,450560,764.6458883670002,450560
104.81,-233.16147772,560,0.00018383164,0.0,2.8216147,-0.00020701396,331.6445,-9.1552734375e-05,230,471040,801.568157278,471040
92.79,-214.88640151000004,572,0.00056909287,0.0,2.8156667,-0.00060031406,501.05002,-0.0018090009689331055,240,491520,837.4214474640003,491520
99.02,-213.87089149999997,558,0.0003040675,0.0,2.8170369,-0.0002492025,470.0657,-0.0010898113250732422,250,512000,873.6263044840002,512000
91.06,-178.11132352999996,575,0.0006156916,0.0,2.8165731,0.0003269925,581.24567,0.00021332502365112305,260,532480,909.0601946470001,532480
98.14,-192.94603881999998,552,0.00024575164,0.0,2.80715,-0.0004384584,411.12155,-0.00013387203216552734,270,552960,944.8656514210002,552960
108.58,-239.76395664,530,0.00082288345,0.0007324219,2.8095982,-0.00080964685,271.40253,1.519918441772461e-05,280,573440,982.5677261400001,573440
104.27,-223.67763223999998,557,0.0013036692,0.00390625,2.8111272,-0.0014333597,480.01572,-0.0006756782531738281,290,593920,1019.6730815569999,593920
