# {"t_start": 1557708010.7510557, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-101.7512,97,2.868073
-99.596855,104,3.133008
-123.114295,159,3.573568
-258.671073,85,3.789591
14.514057,89,4.013561
-263.012701,95,4.243734
-186.189059,115,4.535529
-124.380361,68,4.695706
-74.467506,134,5.040838
-470.443285,110,5.322135
-99.284701,89,5.545401
-471.716257,135,5.902151
-40.109035,87,6.126012
-477.060538,99,6.373833
-466.825858,99,6.621715
-234.534892,80,6.819522
-342.708766,88,7.031084
-420.944913,87,7.245735
-149.753022,127,7.580741
-129.874802,96,7.822388
-343.040487,82,8.269869
-83.311442,102,8.530924
-102.083764,94,8.769521
-420.143888,101,9.037769
-329.675591,85,9.249129
-466.200105,127,9.580098
-219.286881,119,9.882228
-149.420587,75,10.067041
-280.532043,114,10.3745
-356.04233,103,10.638741
-203.02002,163,11.075253
-196.689067,113,11.357661
-410.506868,104,11.614134
-284.372637,117,11.920265
-297.375493,71,12.093096
-477.608053,148,12.486916
-448.455304,82,12.69825
-76.241183,91,12.928338
-268.989424,104,13.197914
-354.12693,101,13.580982
-56.931296,101,13.837016
-593.828782,168,14.29679
-331.146702,93,14.523974
-195.033134,109,14.796643
-61.824594,190,15.335553
-121.971688,86,15.551646
-58.024943,79,15.744769
-246.53027,93,15.993509
-253.593236,108,16.27662
-80.477515,112,16.556782
-176.910375,101,16.829865
-385.165735,117,17.132239
-96.865952,87,17.38902
-286.417021,91,17.61957
-334.738479,127,17.956285
-122.215024,94,18.203172
-87.326365,65,18.369941
-252.10766,106,18.653228
-345.815069,206,19.381608
-450.69466,188,19.908509
-337.663767,115,20.213567
-349.623907,78,20.409777
-453.300942,106,20.681439
-397.411116,85,20.898436
-173.077189,93,21.152377
-257.58462,79,21.393554
-61.73003,80,21.595521
-123.04466,85,21.816337
-440.327957,107,22.089283
-69.929104,89,22.314371
-238.178112,103,22.584362
-295.831293,102,22.850272
-294.108787,122,23.174973
-184.910094,71,23.353806
-268.484906,143,23.739997
-217.261065,100,23.997035
