% time spent exploring,episodes,mean 100 episode reward,steps
99,5,775.0,759
99,10,588.9,1441
99,15,571.4,2104
99,20,584.2,2726
98,25,554.2,3616
98,30,544.8,4419
98,35,550.0,5033
98,40,569.2,5820
97,45,552.3,6562
97,50,526.5,7007
97,55,533.3,7675
97,60,515.3,8168
97,65,514.1,8907
96,70,492.8,9553
96,75,500.0,10300
96,80,501.3,11117
96,85,501.2,11798
95,90,493.3,12494
95,95,487.2,13078
95,100,479.8,13472
95,105,464.0,14080
95,110,472.0,14764
94,115,476.0,15516
94,120,487.0,16343
94,125,509.0,17182
94,130,506.0,17932
93,135,514.0,18668
93,140,493.0,19379
93,145,495.0,20047
93,150,504.0,20706
92,155,510.0,21484
92,160,517.0,21899
92,165,511.0,22289
92,170,537.0,23103
92,175,526.0,23750
92,180,518.0,24014
91,185,525.0,24752
91,190,553.0,25406
91,195,555.0,25933
91,200,565.0,26772
90,205,576.0,27608
90,210,579.0,28225
90,215,578.0,28894
90,220,556.0,29396
90,225,538.0,30130
90,230,539.0,30603
89,235,538.0,31285
89,240,558.0,32055
89,245,560.0,32582
89,250,571.0,33388
88,255,560.0,33973
88,260,567.0,34607
88,265,590.0,35225
88,270,588.0,36072
87,275,611.0,36846
87,280,623.0,37331
87,285,619.0,37979
87,290,620.0,38649
87,295,636.0,39398
86,300,646.0,40025
86,305,671.0,40913
86,310,661.0,41485
86,315,677.0,42334
85,320,691.0,43024
85,325,704.0,43637
85,330,735.0,44582
85,335,736.0,45182
85,340,733.0,45826
84,345,730.0,46372
84,350,736.0,47100
84,355,744.0,47924
84,360,748.0,48455
83,365,743.0,49258
83,370,747.0,49858
83,375,735.0,50402
83,380,728.0,50992
83,385,744.0,51786
82,390,739.0,52360
82,395,749.0,53075
82,400,729.0,53393
82,405,706.0,54084
82,410,729.0,54829
81,415,719.0,55640
81,420,729.0,56286
81,425,734.0,57193
81,430,711.0,57735
80,435,712.0,58407
80,440,710.0,58871
80,445,726.0,59259
80,450,722.0,59770
80,455,727.0,60236
80,460,730.0,60844
79,465,739.0,61506
79,470,744.0,62028
79,475,746.0,62710
79,480,742.0,63101
79,485,739.0,63800
78,490,724.0,64394
78,495,730.0,65207
78,500,755.0,65889
78,505,775.0,66521
78,510,767.0,67020
77,515,770.0,67757
77,520,768.0,68735
77,525,768.0,69216
77,530,768.0,69812
77,535,759.0,70350
76,540,768.0,70907
76,545,770.0,71565
76,550,799.0,72560
76,555,831.0,73443
75,560,832.0,74048
75,565,841.0,74740
75,570,819.0,74938
75,575,829.0,75497
75,580,864.0,76292
74,585,864.0,76941
74,590,891.0,77784
74,595,888.0,78407
74,600,889.0,78974
74,605,876.0,79566
73,610,867.0,80118
73,615,881.0,80923
73,620,894.0,81771
73,625,894.0,82328
72,630,917.0,83280
72,635,946.0,84096
72,640,955.0,84643
72,645,964.0,85218
71,650,941.0,85815
71,655,917.0,86492
71,660,929.0,87078
71,665,917.0,87730
71,670,930.0,88189
70,675,924.0,88838
70,680,919.0,89483
70,685,929.0,90144
70,690,921.0,90792
70,695,916.0,91417
69,700,901.0,91948
69,705,921.0,92650
69,710,924.0,93299
69,715,932.0,93907
68,720,956.0,94901
68,725,969.0,95519
68,730,954.0,96024
68,735,948.0,96830
68,740,975.0,97726
67,745,977.0,98490
67,750,983.0,99306
67,755,967.0,99667
67,760,961.0,100429
67,765,971.0,100986
66,770,985.0,101634
66,775,998.0,102468
66,780,1007.0,103267
66,785,1012.0,103823
65,790,995.0,104333
65,795,1021.0,105154
65,800,1042.0,105709
65,805,1031.0,106331
65,810,1066.0,107013
64,815,1070.0,107750
64,820,1030.0,108238
64,825,1011.0,108661
64,830,1031.0,109597
63,835,1033.0,110267
63,840,1017.0,111001
63,845,1042.0,111924
63,850,1024.0,112627
62,855,1068.0,113475
62,860,1076.0,113981
62,865,1079.0,114714
62,870,1080.0,115310
62,875,1083.0,116142
61,880,1087.0,116707
61,885,1087.0,117372
61,890,1120.0,118061
61,895,1096.0,118496
60,900,1109.0,119491
60,905,1113.0,120111
60,910,1102.0,120882
60,915,1092.0,121568
60,920,1107.0,122213
59,925,1124.0,122894
59,930,1105.0,123449
59,935,1116.0,124404
59,940,1103.0,125085
58,945,1095.0,125702
58,950,1129.0,126475
58,955,1114.0,127061
58,960,1128.0,127890
58,965,1142.0,128540
57,970,1149.0,129325
57,975,1148.0,129828
57,980,1136.0,130335
57,985,1156.0,131124
57,990,1127.0,131346
56,995,1146.0,131865
56,1000,1120.0,132238
56,1005,1112.0,132896
56,1010,1107.0,133547
56,1015,1128.0,134491
55,1020,1130.0,135075
55,1025,1155.0,136070
55,1030,1206.0,136996
55,1035,1193.0,137546
54,1040,1203.0,138234
54,1045,1191.0,138842
54,1050,1181.0,139625
54,1055,1187.0,140519
53,1060,1214.0,141358
53,1065,1203.0,142013
53,1070,1185.0,142388
53,1075,1192.0,143312
52,1080,1218.0,144234
52,1085,1206.0,144935
52,1090,1253.0,145708
52,1095,1241.0,146232
52,1100,1267.0,146900
51,1105,1307.0,147895
51,1110,1298.0,148348
51,1115,1311.0,149170
51,1120,1308.0,149704
50,1125,1305.0,150564
50,1130,1291.0,151373
50,1135,1294.0,151936
50,1140,1295.0,152412
49,1145,1319.0,153185
49,1150,1338.0,153966
49,1155,1344.0,154572
49,1160,1332.0,155453
49,1165,1331.0,156055
48,1170,1364.0,156746
48,1175,1375.0,157630
48,1180,1366.0,158160
48,1185,1371.0,158680
48,1190,1340.0,159161
47,1195,1356.0,159794
47,1200,1369.0,160412
47,1205,1326.0,160835
47,1210,1343.0,161205
47,1215,1327.0,161821
46,1220,1340.0,162679
46,1225,1348.0,163589
46,1230,1350.0,164292
46,1235,1347.0,164616
46,1240,1339.0,165017
45,1245,1335.0,165878
45,1250,1344.0,166629
45,1255,1330.0,167298
45,1260,1328.0,167961
44,1265,1333.0,168778
44,1270,1304.0,169244
44,1275,1289.0,169826
44,1280,1297.0,170454
44,1285,1287.0,171277
43,1290,1292.0,171995
43,1295,1299.0,172724
43,1300,1301.0,173431
43,1305,1339.0,174089
42,1310,1347.0,174874
42,1315,1361.0,175563
42,1320,1383.0,176259
42,1325,1376.0,176927
41,1330,1364.0,177658
41,1335,1370.0,178114
41,1340,1411.0,178877
41,1345,1414.0,179506
41,1350,1391.0,180102
40,1355,1440.0,181097
40,1360,1432.0,181826
40,1365,1436.0,182514
40,1370,1452.0,183088
39,1375,1466.0,183906
39,1380,1494.0,184832
39,1385,1493.0,185531
39,1390,1514.0,186056
39,1395,1508.0,186654
38,1400,1519.0,187493
38,1405,1499.0,188128
38,1410,1509.0,188867
38,1415,1504.0,189679
37,1420,1492.0,190674
37,1425,1485.0,191184
37,1430,1491.0,191728
37,1435,1512.0,192453
36,1440,1520.0,193345
36,1445,1523.0,194052
36,1450,1532.0,194799
36,1455,1513.0,195474
35,1460,1560.0,196376
35,1465,1590.0,197222
35,1470,1611.0,198052
35,1475,1636.0,198872
34,1480,1622.0,199703
34,1485,1666.0,200551
34,1490,1674.0,201360
33,1495,1707.0,202066
33,1500,1713.0,202934
33,1505,1740.0,203637
33,1510,1734.0,204237
32,1515,1739.0,205133
32,1520,1766.0,206057
32,1525,1783.0,206852
32,1530,1797.0,207714
32,1535,1794.0,208076
31,1540,1809.0,209034
31,1545,1805.0,209624
31,1550,1808.0,210293
31,1555,1786.0,210811
30,1560,1759.0,211403
30,1565,1744.0,212179
30,1570,1759.0,213026
30,1575,1776.0,214021
29,1580,1786.0,215016
29,1585,1761.0,215735
29,1590,1780.0,216585
28,1595,1755.0,217384
28,1600,1743.0,218051
28,1605,1752.0,219046
28,1610,1795.0,219934
27,1615,1837.0,220929
27,1620,1815.0,221741
27,1625,1840.0,222675
27,1630,1826.0,223313
26,1635,1848.0,224308
26,1640,1836.0,225303
26,1645,1856.0,226141
25,1650,1886.0,227136
25,1655,1924.0,227843
25,1660,1931.0,228691
25,1665,1922.0,229501
24,1670,1931.0,230496
24,1675,1915.0,231312
24,1680,1892.0,231932
23,1685,1912.0,232927
23,1690,1924.0,233883
23,1695,1950.0,234864
22,1700,1963.0,235859
22,1705,1981.0,236815
22,1710,1976.0,237777
22,1715,1951.0,238632
21,1720,1962.0,239439
21,1725,1945.0,240317
21,1730,1975.0,241108
20,1735,1979.0,241988
20,1740,1978.0,242960
20,1745,1977.0,243696
20,1750,1998.0,244691
19,1755,2011.0,245630
19,1760,2011.0,246625
19,1765,2040.0,247551
18,1770,2070.0,248546
18,1775,2057.0,249406
18,1780,2092.0,250274
17,1785,2097.0,251086
17,1790,2076.0,251966
17,1795,2075.0,252904
17,1800,2106.0,253899
16,1805,2108.0,254804
16,1810,2099.0,255620
16,1815,2122.0,256580
15,1820,2157.0,257575
15,1825,2157.0,258476
15,1830,2162.0,259294
15,1835,2179.0,260134
14,1840,2197.0,261129
14,1845,2209.0,262085
14,1850,2201.0,263019
13,1855,2198.0,264014
13,1860,2213.0,265009
13,1865,2222.0,265989
12,1870,2178.0,266589
12,1875,2206.0,267584
12,1880,2227.0,268544
11,1885,2221.0,269394
11,1890,2240.0,270314
11,1895,2247.0,271258
11,1900,2255.0,272146
10,1905,2247.0,272796
10,1910,2260.0,273662
10,1915,2258.0,274657
9,1920,2261.0,275652
9,1925,2283.0,276559
9,1930,2294.0,277539
9,1935,2309.0,278417
8,1940,2335.0,279375
8,1945,2347.0,280370
8,1950,2352.0,281218
7,1955,2370.0,282110
7,1960,2395.0,283105
7,1965,2418.0,284100
6,1970,2451.0,284963
6,1975,2494.0,285958
6,1980,2474.0,286520
6,1985,2501.0,287515
5,1990,2515.0,288347
5,1995,2527.0,289342
5,2000,2523.0,290238
4,2005,2536.0,291062
4,2010,2543.0,291863
4,2015,2554.0,292781
4,2020,2534.0,293447
3,2025,2549.0,294311
3,2030,2575.0,295306
3,2035,2562.0,296145
2,2040,2556.0,297005
2,2045,2558.0,297853
2,2050,2564.0,298753
2,2055,2563.0,299748
2,2060,2567.0,300743
2,2065,2580.0,301679
2,2070,2588.0,302674
