% time spent exploring,episodes,mean 100 episode reward,steps
99,5,750.0,619
99,10,777.8,1370
99,15,635.7,1934
99,20,542.1,2769
98,25,491.7,3488
98,30,482.8,4166
98,35,502.9,4818
98,40,528.2,5472
98,45,522.7,6012
97,50,522.4,6708
97,55,533.3,7356
97,60,545.8,8138
97,65,531.2,8814
96,70,521.7,9345
96,75,532.4,9982
96,80,535.4,10760
96,85,550.0,11549
96,90,551.7,12074
95,95,553.2,12927
95,100,552.5,13521
95,105,540.0,14143
95,110,521.0,14821
94,115,532.0,15349
94,120,537.0,15751
94,125,561.0,16501
94,130,564.0,17074
94,135,560.0,17778
93,140,558.0,18622
93,145,558.0,19217
93,150,550.0,19744
93,155,548.0,20396
93,160,522.0,20927
92,165,538.0,21600
92,170,562.0,22365
92,175,551.0,22927
92,180,549.0,23531
92,185,544.0,24177
91,190,549.0,24890
91,195,550.0,25274
91,200,542.0,25879
91,205,543.0,26491
91,210,561.0,27346
90,215,556.0,27991
90,220,563.0,28456
90,225,558.0,29286
90,230,580.0,30000
89,235,584.0,30730
89,240,577.0,31497
89,245,578.0,32140
89,250,574.0,32678
89,255,576.0,33104
88,260,610.0,33754
88,265,608.0,34304
88,270,587.0,35191
88,275,602.0,35776
88,280,602.0,36279
87,285,590.0,36931
87,290,577.0,37476
87,295,587.0,38319
87,300,607.0,38931
87,305,630.0,39653
86,310,633.0,40250
86,315,642.0,40707
86,320,657.0,41398
86,325,664.0,42056
86,330,643.0,42460
85,335,656.0,43304
85,340,654.0,43723
85,345,663.0,44618
85,350,687.0,45484
84,355,686.0,46090
84,360,687.0,46735
84,365,685.0,47359
84,370,700.0,47810
84,375,697.0,48422
83,380,707.0,49101
83,385,725.0,49771
83,390,738.0,50449
83,395,723.0,51058
83,400,731.0,51682
82,405,719.0,52551
82,410,722.0,53348
82,415,747.0,54296
82,420,741.0,54777
81,425,735.0,55351
81,430,748.0,56058
81,435,722.0,56592
81,440,728.0,57003
81,445,730.0,57476
81,450,715.0,57974
80,455,723.0,58763
80,460,738.0,59618
80,465,751.0,60171
80,470,762.0,60710
79,475,763.0,61360
79,480,772.0,62198
79,485,756.0,62508
79,490,770.0,63212
79,495,781.0,63793
78,500,781.0,64534
78,505,781.0,65093
78,510,764.0,65627
78,515,740.0,66418
78,520,747.0,67125
77,525,759.0,67797
77,530,760.0,68194
77,535,791.0,68914
77,540,793.0,69909
77,545,791.0,70327
76,550,823.0,71027
76,555,827.0,71679
76,560,822.0,72527
76,565,815.0,73272
75,570,813.0,73931
75,575,806.0,74450
75,580,824.0,75161
75,585,855.0,75877
74,590,857.0,76741
74,595,861.0,77560
74,600,855.0,78333
74,605,858.0,78903
74,610,875.0,79262
73,615,882.0,79961
73,620,870.0,80440
73,625,849.0,80825
73,630,884.0,81820
73,635,879.0,82456
72,640,906.0,83320
72,645,918.0,83981
72,650,912.0,84739
72,655,909.0,85484
71,660,893.0,85977
71,665,910.0,86536
71,670,923.0,87186
71,675,951.0,88124
70,680,941.0,89046
70,685,923.0,89728
70,690,925.0,90473
70,695,944.0,91231
70,700,942.0,91624
69,705,932.0,91932
69,710,932.0,92707
69,715,945.0,93463
69,720,955.0,94179
68,725,982.0,95089
68,730,955.0,95796
68,735,956.0,96388
68,740,969.0,97383
67,745,976.0,98287
67,750,986.0,99135
67,755,970.0,99405
67,760,969.0,99949
67,765,971.0,100688
66,770,970.0,101683
66,775,955.0,102346
66,780,951.0,103024
66,785,961.0,103460
65,790,956.0,104185
65,795,968.0,105037
65,800,963.0,105432
65,805,976.0,106118
65,810,983.0,106692
64,815,975.0,107450
64,820,982.0,107820
64,825,982.0,108815
64,830,976.0,109466
64,835,996.0,110151
63,840,979.0,110592
63,845,994.0,111242
63,850,990.0,112027
63,855,1026.0,112872
