% time spent exploring,episodes,mean 100 episode reward,steps
99,5,675.0,327
99,10,511.1,1084
99,15,450.0,1721
99,20,489.5,2445
98,25,562.5,3371
98,30,558.6,4048
98,35,538.2,4932
98,40,502.6,5256
98,45,477.3,5743
97,50,475.5,6541
97,55,459.3,7290
97,60,484.7,8021
97,65,476.6,8534
96,70,468.1,9207
96,75,451.4,9720
96,80,450.6,10128
96,85,450.0,10860
96,90,443.8,11166
96,95,457.4,11973
95,100,469.7,12946
95,105,455.0,13322
95,110,481.0,14059
95,115,475.0,14453
95,120,485.0,15203
94,125,462.0,15735
94,130,475.0,16614
94,135,476.0,17016
94,140,497.0,17713
94,145,511.0,18293
93,150,521.0,18965
93,155,529.0,19492
93,160,520.0,20350
93,165,532.0,20916
92,170,538.0,21671
92,175,557.0,22427
92,180,561.0,23040
92,185,559.0,23581
92,190,574.0,24380
91,195,565.0,24904
91,200,562.0,25589
91,205,574.0,26233
91,210,576.0,27111
90,215,589.0,27763
90,220,584.0,28476
90,225,595.0,29092
90,230,588.0,29676
90,235,601.0,30338
89,240,598.0,31002
89,245,586.0,31407
89,250,595.0,32024
89,255,604.0,32703
89,260,613.0,33334
88,265,607.0,33774
88,270,612.0,34286
88,275,625.0,34982
88,280,638.0,35781
88,285,640.0,36509
87,290,647.0,37408
87,295,667.0,38226
87,300,675.0,38974
87,305,681.0,39563
86,310,660.0,40513
86,315,669.0,41064
86,320,654.0,41742
86,325,662.0,42333
85,330,658.0,43007
85,335,658.0,43820
85,340,661.0,44527
85,345,680.0,45140
84,350,680.0,46024
84,355,686.0,46807
84,360,674.0,47355
84,365,700.0,48268
84,370,713.0,48944
83,375,718.0,49550
83,380,707.0,50133
83,385,720.0,50826
83,390,705.0,51384
83,395,692.0,51913
82,400,687.0,52740
82,405,678.0,53137
82,410,685.0,53683
82,415,708.0,54484
81,420,731.0,55192
81,425,732.0,55818
81,430,728.0,56225
81,435,730.0,56900
81,440,745.0,57677
80,445,756.0,58379
80,450,748.0,58801
80,455,751.0,59346
80,460,767.0,59897
80,465,751.0,60412
80,470,738.0,60924
79,475,733.0,61655
79,480,742.0,62372
79,485,750.0,63284
79,490,758.0,63966
78,495,775.0,64777
78,500,780.0,65560
78,505,801.0,66273
78,510,826.0,67204
77,515,813.0,67983
77,520,810.0,68647
77,525,804.0,69128
77,530,837.0,69916
76,535,847.0,70503
