% time spent exploring,episodes,mean 100 episode reward,steps
99,5,550.0,542
99,10,477.8,1205
99,15,435.7,1765
99,20,426.3,2236
99,25,395.8,2736
98,30,410.3,3281
98,35,455.9,4149
98,40,435.9,4765
98,45,445.5,5441
97,50,449.0,6212
97,55,446.3,7041
97,60,455.9,7594
97,65,454.7,8369
97,70,460.9,9097
96,75,463.5,9737
96,80,478.5,10606
96,85,501.2,11417
96,90,501.1,12004
95,95,500.0,12835
95,100,504.0,13639
95,105,495.0,14339
95,110,501.0,15087
94,115,510.0,15909
94,120,518.0,16574
94,125,533.0,17161
94,130,535.0,18070
93,135,519.0,18783
93,140,545.0,19562
93,145,530.0,20025
93,150,556.0,20858
92,155,563.0,21615
92,160,564.0,22224
92,165,568.0,22835
92,170,561.0,23431
92,175,554.0,24030
91,180,554.0,24792
91,185,551.0,25425
91,190,554.0,25950
91,195,565.0,26711
90,200,566.0,27706
90,205,598.0,28570
90,210,603.0,29290
90,215,615.0,30117
89,220,605.0,30687
89,225,621.0,31271
89,230,619.0,32069
89,235,622.0,32570
89,240,624.0,33364
88,245,645.0,34015
88,250,629.0,34728
88,255,638.0,35265
88,260,636.0,36006
88,265,630.0,36422
87,270,625.0,36841
87,275,643.0,37626
87,280,636.0,38139
87,285,629.0,38572
87,290,633.0,39075
87,295,624.0,39787
86,300,627.0,40543
86,305,608.0,41106
86,310,607.0,41681
86,315,606.0,42336
86,320,632.0,42831
85,325,621.0,43428
85,330,627.0,44045
85,335,640.0,44701
85,340,634.0,45476
84,345,631.0,45952
84,350,617.0,46250
84,355,603.0,46786
84,360,601.0,47287
84,365,605.0,47878
84,370,638.0,48603
83,375,632.0,49233
83,380,645.0,50083
83,385,647.0,50839
83,390,636.0,51449
82,395,652.0,52372
82,400,663.0,53060
82,405,671.0,53740
82,410,657.0,54272
82,415,648.0,54705
81,420,642.0,55303
81,425,650.0,56237
81,430,669.0,56868
81,435,673.0,57553
80,440,674.0,58367
80,445,676.0,58987
80,450,684.0,59352
80,455,694.0,59956
80,460,702.0,60642
80,465,706.0,61195
79,470,701.0,61959
79,475,722.0,62802
79,480,711.0,63223
79,485,705.0,63764
78,490,731.0,64593
78,495,750.0,65588
78,500,751.0,66496
78,505,753.0,67029
77,510,778.0,67653
77,515,788.0,68265
77,520,780.0,68887
77,525,773.0,69364
77,530,787.0,70312
76,535,796.0,71109
76,540,798.0,71819
76,545,818.0,72423
76,550,835.0,73109
75,555,849.0,73748
75,560,858.0,74678
75,565,868.0,75123
75,570,871.0,75777
75,575,864.0,76415
74,580,885.0,77303
74,585,900.0,77977
74,590,906.0,78819
73,595,880.0,79597
73,600,890.0,80359
73,605,910.0,81289
73,610,933.0,82092
73,615,921.0,82546
72,620,936.0,83220
72,625,950.0,83724
72,630,936.0,84465
72,635,931.0,84915
72,640,926.0,85411
71,645,932.0,86173
71,650,938.0,86956
71,655,939.0,87531
71,660,937.0,88161
71,665,947.0,88707
70,670,958.0,89312
70,675,950.0,89779
70,680,953.0,90484
70,685,956.0,91255
69,690,959.0,92012
69,695,968.0,92705
69,700,979.0,93685
69,705,956.0,94421
68,710,941.0,95128
68,715,948.0,95706
68,720,945.0,96603
68,725,966.0,97493
67,730,993.0,98209
67,735,1005.0,99045
67,740,1012.0,99859
67,745,1005.0,100458
67,750,987.0,100844
66,755,984.0,101334
66,760,984.0,101933
66,765,991.0,102748
66,770,981.0,103558
65,775,1000.0,104305
65,780,1013.0,105115
65,785,1017.0,105717
65,790,1021.0,106712
64,795,1046.0,107671
64,800,1031.0,108307
64,805,1053.0,109176
64,810,1056.0,109743
63,815,1074.0,110514
63,820,1095.0,111309
63,825,1070.0,111825
63,830,1029.0,112338
63,835,1015.0,112855
62,840,1032.0,113701
62,845,1034.0,114440
62,850,1048.0,115125
62,855,1053.0,115560
62,860,1060.0,116280
61,865,1061.0,117043
61,870,1068.0,117806
61,875,1084.0,118573
61,880,1060.0,119102
60,885,1062.0,119588
60,890,1046.0,120126
60,895,1040.0,120905
60,900,1021.0,121291
60,905,1009.0,121869
59,910,1043.0,122609
59,915,1045.0,123118
59,920,1037.0,123701
59,925,1059.0,124557
59,930,1116.0,125402
58,935,1138.0,126264
58,940,1126.0,126925
58,945,1130.0,127743
57,950,1164.0,128738
57,955,1186.0,129454
57,960,1201.0,129921
57,965,1218.0,130713
57,970,1221.0,131561
56,975,1205.0,132214
56,980,1216.0,133083
56,985,1219.0,133624
56,990,1241.0,134303
55,995,1239.0,135115
55,1000,1266.0,135931
