% time spent exploring,episodes,mean 100 episode reward,steps
99,5,675.0,627
99,10,488.9,1016
99,15,500.0,1794
99,20,531.6,2448
99,25,504.2,2947
98,30,537.9,3745
98,35,508.8,4381
98,40,520.5,5149
98,45,531.8,5929
97,50,559.2,6837
97,55,575.9,7629
97,60,571.2,8624
96,65,578.1,9293
96,70,556.5,10079
96,75,545.9,10664
96,80,539.2,11234
96,85,540.5,11928
95,90,533.7,12435
95,95,537.2,12989
95,100,535.4,13659
95,105,539.0,14542
94,110,568.0,15333
94,115,562.0,15940
94,120,552.0,16361
94,125,554.0,16983
94,130,546.0,17528
93,135,564.0,18401
93,140,567.0,19072
93,145,582.0,19804
93,150,580.0,20281
93,155,571.0,20755
92,160,573.0,21494
92,165,570.0,22035
92,170,587.0,22547
92,175,589.0,23245
92,180,595.0,23695
92,185,603.0,24212
91,190,628.0,24948
91,195,619.0,25430
91,200,617.0,25980
91,205,614.0,26647
91,210,604.0,27126
90,215,613.0,27693
90,220,627.0,28350
90,225,641.0,28994
90,230,640.0,29583
90,235,647.0,30253
89,240,642.0,30706
89,245,631.0,31181
89,250,619.0,31545
89,255,627.0,32265
89,260,623.0,32645
89,265,634.0,33287
88,270,634.0,33817
88,275,658.0,34549
88,280,666.0,35236
88,285,660.0,35706
88,290,642.0,36168
88,295,646.0,36617
87,300,646.0,37041
87,305,641.0,37629
87,310,642.0,38268
87,315,658.0,38881
87,320,658.0,39489
86,325,653.0,40002
86,330,667.0,40545
86,335,661.0,41137
86,340,663.0,41567
86,345,670.0,42265
86,350,671.0,42798
85,355,667.0,43432
85,360,694.0,44140
85,365,689.0,44690
85,370,697.0,45435
85,375,673.0,45782
84,380,664.0,46260
84,385,662.0,46666
84,390,673.0,47234
84,395,694.0,47955
84,400,699.0,48373
84,405,705.0,48920
83,410,684.0,49100
83,415,681.0,49705
83,420,665.0,50079
83,425,675.0,50766
83,430,678.0,51511
82,435,673.0,52111
82,440,674.0,52560
82,445,672.0,53212
82,450,675.0,53772
82,455,685.0,54432
82,460,667.0,54865
81,465,649.0,55195
81,470,649.0,55735
81,475,670.0,56570
81,480,670.0,56951
81,485,668.0,57360
80,490,681.0,58177
80,495,668.0,58703
80,500,684.0,59500
80,505,687.0,60027
80,510,707.0,60675
79,515,707.0,61415
79,520,724.0,61864
79,525,730.0,62709
79,530,735.0,63398
79,535,749.0,64150
78,540,738.0,64687
78,545,736.0,65520
78,550,738.0,66184
78,555,735.0,66707
77,560,729.0,67425
77,565,770.0,68293
77,570,774.0,69080
77,575,764.0,69812
76,580,784.0,70433
76,585,798.0,70922
76,590,802.0,71634
76,595,813.0,72455
76,600,810.0,73180
75,605,814.0,73705
75,610,826.0,74287
75,615,821.0,74868
75,620,826.0,75399
75,625,798.0,75633
75,630,803.0,76138
74,635,792.0,76841
74,640,818.0,77373
74,645,821.0,77817
74,650,831.0,78389
74,655,843.0,79153
73,660,857.0,79634
73,665,848.0,80206
73,670,843.0,80705
73,675,852.0,81140
73,680,837.0,81657
73,685,852.0,82307
72,690,850.0,82842
72,695,858.0,83411
72,700,855.0,83972
72,705,859.0,84397
72,710,856.0,84890
72,715,859.0,85283
71,720,873.0,86016
71,725,906.0,86557
71,730,873.0,86789
71,735,879.0,87263
71,740,856.0,87441
71,745,853.0,87834
71,750,874.0,88583
70,755,863.0,89044
70,760,875.0,89730
70,765,870.0,90165
70,770,884.0,90753
70,775,876.0,91170
70,780,897.0,91734
69,785,892.0,92258
69,790,861.0,92410
69,795,854.0,92932
69,800,859.0,93347
69,805,853.0,93667
69,810,863.0,94348
69,815,873.0,94854
68,820,861.0,95174
68,825,866.0,95837
68,830,917.0,96624
68,835,946.0,97465
68,840,965.0,97953
67,845,967.0,98267
67,850,945.0,98801
67,855,950.0,99300
67,860,940.0,99737
67,865,942.0,100158
67,870,923.0,100579
67,875,932.0,100983
66,880,939.0,101692
66,885,935.0,102220
66,890,958.0,102756
66,895,966.0,103298
66,900,965.0,103747
65,905,968.0,104104
65,910,965.0,104603
65,915,964.0,105235
65,920,957.0,105668
65,925,946.0,106076
65,930,928.0,106445
65,935,915.0,107081
64,940,906.0,107381
64,945,923.0,108137
64,950,940.0,108809
64,955,956.0,109426
64,960,966.0,109997
63,965,966.0,110494
63,970,990.0,111118
63,975,986.0,111513
63,980,976.0,112135
63,985,985.0,112825
62,990,1000.0,113583
62,995,989.0,114016
62,1000,971.0,114384
62,1005,985.0,115005
62,1010,999.0,115781
61,1015,1009.0,116440
61,1020,1030.0,117064
61,1025,1045.0,117768
61,1030,1057.0,118750
60,1035,1066.0,119478
60,1040,1074.0,120041
60,1045,1070.0,120706
60,1050,1064.0,121196
60,1055,1072.0,121803
60,1060,1080.0,122424
59,1065,1084.0,123116
59,1070,1083.0,123746
59,1075,1104.0,124365
59,1080,1086.0,124735
59,1085,1088.0,125399
58,1090,1077.0,125912
58,1095,1075.0,126545
58,1100,1090.0,126908
58,1105,1088.0,127570
58,1110,1073.0,128197
57,1115,1081.0,128950
57,1120,1067.0,129513
57,1125,1059.0,130236
57,1130,1037.0,131011
57,1135,1018.0,131614
56,1140,1024.0,132269
56,1145,1011.0,132669
56,1150,989.0,133108
56,1155,965.0,133524
56,1160,946.0,134245
55,1165,946.0,134820
55,1170,940.0,135442
55,1175,943.0,136217
55,1180,966.0,136830
55,1185,945.0,137305
54,1190,951.0,137954
54,1195,966.0,138542
54,1200,979.0,139180
54,1205,970.0,139645
54,1210,986.0,140402
53,1215,966.0,140889
53,1220,970.0,141324
53,1225,977.0,141876
53,1230,991.0,142519
53,1235,994.0,142903
53,1240,1011.0,143666
52,1245,1014.0,144088
52,1250,1026.0,144567
52,1255,1056.0,145324
52,1260,1065.0,145654
52,1265,1066.0,146070
52,1270,1076.0,146675
51,1275,1064.0,146977
51,1280,1050.0,147253
51,1285,1065.0,147753
51,1290,1060.0,148177
51,1295,1062.0,148631
51,1300,1063.0,149151
51,1305,1065.0,149580
50,1310,1068.0,150331
50,1315,1080.0,150901
50,1320,1104.0,151553
50,1325,1103.0,152205
50,1330,1094.0,152479
49,1335,1133.0,153443
49,1340,1114.0,153952
49,1345,1141.0,154531
49,1350,1138.0,154997
49,1355,1130.0,155510
49,1360,1123.0,155861
48,1365,1118.0,156184
48,1370,1109.0,156663
48,1375,1105.0,157100
48,1380,1134.0,157800
48,1385,1165.0,158621
48,1390,1166.0,159129
47,1395,1165.0,159779
47,1400,1172.0,160597
47,1405,1170.0,160968
47,1410,1149.0,161452
47,1415,1155.0,162172
46,1420,1144.0,162814
46,1425,1156.0,163809
46,1430,1190.0,164663
46,1435,1148.0,164947
