% time spent exploring,episodes,mean 100 episode reward,steps
99,5,550.0,564
99,10,666.7,1276
99,15,500.0,1940
99,20,510.5,2642
98,25,491.7,3334
98,30,462.1,4081
98,35,488.2,4631
98,40,492.3,5170
98,45,506.8,5879
97,50,493.9,6736
97,55,505.6,7512
97,60,510.2,8349
97,65,517.2,8978
96,70,505.8,9451
96,75,512.2,10193
96,80,516.5,11169
96,85,507.1,11795
95,90,519.1,12696
95,95,534.0,13402
95,100,527.3,14201
95,105,525.0,14916
94,110,506.0,15495
94,115,533.0,16092
94,120,529.0,16832
94,125,543.0,17435
94,130,548.0,18189
93,135,553.0,19059
93,140,544.0,19709
93,145,547.0,20474
93,150,549.0,21002
92,155,533.0,21515
92,160,535.0,21973
92,165,545.0,22849
92,170,547.0,23442
92,175,548.0,24082
91,180,537.0,24754
91,185,545.0,25385
91,190,544.0,25997
91,195,534.0,26637
91,200,555.0,27455
90,205,556.0,27910
90,210,559.0,28608
90,215,559.0,29348
90,220,559.0,29873
89,225,563.0,30694
89,230,573.0,31570
89,235,560.0,32354
89,240,579.0,33165
88,245,580.0,33886
88,250,595.0,34631
88,255,615.0,35370
88,260,626.0,36174
87,265,621.0,36986
87,270,623.0,37648
87,275,636.0,38469
87,280,657.0,39036
87,285,652.0,39757
86,290,643.0,40288
86,295,663.0,41043
86,300,652.0,41617
86,305,661.0,42251
85,310,671.0,43028
85,315,679.0,44023
85,320,690.0,44712
85,325,687.0,45268
84,330,691.0,45960
84,335,715.0,46769
84,340,703.0,47406
84,345,716.0,48090
84,350,714.0,48725
83,355,714.0,49087
83,360,697.0,49632
83,365,695.0,50329
83,370,700.0,50713
83,375,695.0,51437
83,380,698.0,51999
82,385,705.0,52463
82,390,717.0,53213
82,395,706.0,53974
82,400,718.0,54485
81,405,721.0,55367
81,410,718.0,55820
81,415,698.0,56227
81,420,686.0,56710
81,425,685.0,57079
81,430,683.0,57690
80,435,677.0,58229
80,440,693.0,59114
80,445,689.0,59711
80,450,698.0,60421
80,455,688.0,60835
79,460,706.0,61428
79,465,703.0,61834
79,470,729.0,62631
79,475,727.0,63306
79,480,716.0,63777
79,485,725.0,64250
78,490,721.0,64769
78,495,718.0,65533
78,500,713.0,66123
78,505,717.0,66673
78,510,710.0,67224
77,515,710.0,67578
77,520,716.0,68150
77,525,729.0,68997
77,530,720.0,69365
77,535,730.0,70189
76,540,729.0,70606
76,545,743.0,71403
76,550,725.0,71805
76,555,738.0,72481
76,560,755.0,73089
75,565,763.0,73668
75,570,751.0,74314
75,575,763.0,74840
75,580,766.0,75369
75,585,762.0,75867
75,590,764.0,76369
74,595,761.0,76802
74,600,765.0,77388
74,605,789.0,78208
74,610,829.0,79005
74,615,840.0,79492
73,620,845.0,79943
73,625,848.0,80836
73,630,866.0,81423
73,635,847.0,82186
73,640,837.0,82547
72,645,818.0,83284
72,650,832.0,83730
72,655,840.0,84463
72,660,811.0,84940
72,665,818.0,85431
71,670,827.0,86102
71,675,827.0,86836
71,680,841.0,87407
71,685,844.0,88011
71,690,852.0,88486
70,695,861.0,89086
70,700,883.0,89828
70,705,854.0,90484
70,710,820.0,90734
70,715,819.0,91191
69,720,834.0,92036
69,725,844.0,92902
69,730,843.0,93490
69,735,859.0,94220
68,740,888.0,94961
68,745,884.0,95370
68,750,898.0,95953
68,755,896.0,96555
68,760,901.0,96922
68,765,922.0,97657
67,770,928.0,98211
67,775,897.0,98571
67,780,897.0,99112
67,785,921.0,99917
67,790,936.0,100637
66,795,936.0,101337
66,800,941.0,102158
66,805,957.0,102646
66,810,976.0,103480
66,815,986.0,103991
65,820,980.0,104376
65,825,975.0,105120
65,830,980.0,105719
65,835,996.0,106473
64,840,1018.0,107353
64,845,1040.0,108264
64,850,1035.0,108913
64,855,1045.0,109799
63,860,1059.0,110315
63,865,1041.0,110921
63,870,1038.0,111545
63,875,1084.0,112316
63,880,1072.0,112809
62,885,1059.0,113409
62,890,1061.0,114202
62,895,1060.0,114729
62,900,1049.0,115384
62,905,1057.0,116019
61,910,1069.0,116774
61,915,1097.0,117501
61,920,1118.0,118347
61,925,1124.0,118983
60,930,1129.0,119674
60,935,1133.0,120554
60,940,1119.0,121319
60,945,1110.0,121898
59,950,1113.0,122473
59,955,1128.0,123317
59,960,1154.0,124312
59,965,1186.0,125307
58,970,1195.0,125792
58,975,1175.0,126221
58,980,1194.0,126700
58,985,1215.0,127608
58,990,1233.0,128418
57,995,1240.0,129233
57,1000,1231.0,129888
57,1005,1232.0,130681
57,1010,1223.0,131307
56,1015,1207.0,131947
56,1020,1181.0,132340
56,1025,1178.0,133107
56,1030,1187.0,133678
56,1035,1183.0,134411
55,1040,1179.0,135052
55,1045,1186.0,135704
55,1050,1212.0,136520
55,1055,1210.0,137348
54,1060,1197.0,138045
54,1065,1195.0,139013
54,1070,1189.0,139666
54,1075,1214.0,140506
53,1080,1221.0,141265
53,1085,1224.0,141985
53,1090,1187.0,142416
53,1095,1181.0,142921
53,1100,1200.0,143501
52,1105,1180.0,144021
52,1110,1188.0,144739
52,1115,1198.0,145474
52,1120,1238.0,146312
52,1125,1232.0,146762
51,1130,1230.0,147441
51,1135,1241.0,148251
51,1140,1246.0,149223
51,1145,1254.0,149690
50,1150,1247.0,150365
50,1155,1259.0,151114
50,1160,1269.0,151934
50,1165,1256.0,152582
49,1170,1270.0,153230
49,1175,1266.0,154088
49,1180,1264.0,154794
49,1185,1232.0,155285
49,1190,1260.0,156057
48,1195,1251.0,156422
48,1200,1253.0,157119
48,1205,1294.0,157998
48,1210,1293.0,158683
47,1215,1289.0,159291
47,1220,1278.0,159998
47,1225,1300.0,160711
47,1230,1315.0,161317
47,1235,1322.0,162080
46,1240,1329.0,162885
46,1245,1358.0,163647
46,1250,1364.0,164430
46,1255,1354.0,165079
45,1260,1363.0,165935
45,1265,1360.0,166765
45,1270,1349.0,167168
45,1275,1366.0,168142
44,1280,1390.0,168943
44,1285,1420.0,169700
44,1290,1416.0,170457
44,1295,1459.0,171284
43,1300,1467.0,172194
43,1305,1421.0,172664
43,1310,1430.0,173393
43,1315,1419.0,174203
42,1320,1393.0,174590
42,1325,1387.0,175404
42,1330,1411.0,176399
42,1335,1438.0,177247
41,1340,1440.0,177962
41,1345,1427.0,178761
41,1350,1433.0,179756
41,1355,1424.0,180387
40,1360,1401.0,181026
40,1365,1419.0,181737
40,1370,1421.0,182223
40,1375,1419.0,183189
39,1380,1397.0,184001
39,1385,1384.0,184623
39,1390,1408.0,185379
39,1395,1416.0,186044
38,1400,1398.0,186854
38,1405,1437.0,187657
38,1410,1453.0,188383
38,1415,1482.0,189170
37,1420,1523.0,189863
37,1425,1545.0,190699
37,1430,1527.0,191519
37,1435,1499.0,192419
36,1440,1536.0,193414
36,1445,1514.0,194221
36,1450,1509.0,194900
36,1455,1541.0,195743
35,1460,1572.0,196611
35,1465,1561.0,197423
35,1470,1565.0,198065
34,1475,1599.0,199029
34,1480,1626.0,199780
34,1485,1660.0,200744
34,1490,1652.0,201487
33,1495,1648.0,202299
33,1500,1654.0,202903
33,1505,1659.0,203785
33,1510,1676.0,204605
32,1515,1689.0,205600
32,1520,1683.0,206327
32,1525,1680.0,207096
32,1530,1688.0,208091
31,1535,1704.0,209086
31,1540,1677.0,209900
31,1545,1690.0,210363
31,1550,1700.0,211099
30,1555,1708.0,211970
30,1560,1726.0,212757
30,1565,1723.0,213498
29,1570,1748.0,214384
29,1575,1736.0,215117
29,1580,1714.0,215658
29,1585,1691.0,216325
29,1590,1717.0,217191
28,1595,1745.0,218047
28,1600,1786.0,219042
28,1605,1790.0,219920
27,1610,1772.0,220915
27,1615,1758.0,221795
27,1620,1760.0,222410
27,1625,1754.0,223294
26,1630,1760.0,223988
26,1635,1758.0,224983
26,1640,1788.0,225978
25,1645,1815.0,226973
25,1650,1785.0,227704
25,1655,1769.0,228534
25,1660,1786.0,229529
24,1665,1809.0,230237
24,1670,1799.0,230798
24,1675,1791.0,231646
24,1680,1815.0,232425
23,1685,1848.0,233277
23,1690,1825.0,234014
23,1695,1800.0,234536
23,1700,1755.0,235008
22,1705,1763.0,235747
22,1710,1754.0,236631
22,1715,1782.0,237626
22,1720,1781.0,238335
21,1725,1799.0,239044
21,1730,1823.0,239880
21,1735,1816.0,240690
21,1740,1772.0,241461
20,1745,1760.0,242203
20,1750,1784.0,242898
20,1755,1818.0,243842
20,1760,1795.0,244611
19,1765,1790.0,245423
19,1770,1804.0,246299
19,1775,1820.0,247183
18,1780,1835.0,247982
18,1785,1842.0,248719
18,1790,1875.0,249508
18,1795,1884.0,250503
17,1800,1899.0,251498
