% time spent exploring,episodes,mean 100 episode reward,steps
99,5,25.0,795
99,10,0.0,1726
99,15,0.0,2721
98,20,0.0,3716
98,25,0.0,4711
98,30,0.0,5706
97,35,0.0,6701
97,40,-2.6,7650
97,45,-2.3,8645
96,50,-4.1,9544
96,55,-5.6,10468
96,60,-5.1,11331
96,65,-4.7,12153
95,70,-2.9,13148
95,75,-4.1,14002
95,80,-2.5,14997
94,85,-3.6,15971
94,90,-1.1,16966
94,95,-2.1,17843
93,100,-3.0,18775
93,105,-4.0,19770
93,110,-2.0,20765
92,115,-2.0,21760
92,120,-3.0,22701
92,125,-4.0,23581
91,130,-5.0,24548
91,135,-4.0,25543
91,140,-4.0,26485
91,145,-3.0,27480
90,150,-2.0,28455
90,155,-3.0,29320
90,160,-3.0,30315
89,165,-4.0,31201
89,170,-6.0,32069
89,175,-5.0,33064
88,180,-8.0,33919
88,185,-9.0,34885
88,190,-11.0,35796
87,195,-10.0,36791
87,200,-10.0,37691
87,205,-12.0,38611
87,210,-13.0,39585
86,215,-14.0,40538
86,220,-14.0,41498
86,225,-13.0,42384
85,230,-15.0,43159
85,235,-16.0,44154
85,240,-16.0,45139
84,245,-15.0,46076
84,250,-14.0,47071
84,255,-15.0,47883
84,260,-17.0,48694
83,265,-18.0,49579
83,270,-16.0,50574
83,275,-16.0,51446
82,280,-12.0,52441
82,285,-10.0,53350
82,290,-13.0,54026
82,295,-13.0,54938
81,300,-14.0,55794
81,305,-12.0,56787
81,310,-13.0,57663
80,315,-13.0,58446
80,320,-12.0,59319
80,325,-13.0,60169
80,330,-10.0,61067
79,335,-10.0,62025
79,340,-10.0,62913
79,345,-14.0,63817
78,350,-15.0,64684
78,355,-10.0,65679
78,360,-6.0,66653
77,365,-4.0,67567
77,370,-6.0,68464
77,375,-7.0,69400
77,380,-10.0,70205
76,385,-12.0,70941
76,390,-10.0,71910
76,395,-11.0,72732
75,400,-10.0,73724
75,405,-11.0,74501
75,410,-12.0,75407
75,415,-11.0,76337
74,420,-10.0,77332
74,425,-11.0,78212
74,430,-12.0,79023
73,435,-11.0,79907
73,440,-10.0,80902
73,445,-8.0,81897
72,450,-8.0,82769
72,455,-10.0,83636
72,460,-9.0,84631
72,465,-10.0,85523
71,470,-9.0,86480
71,475,-11.0,87415
71,480,-10.0,88357
70,485,-8.0,89220
70,490,-8.0,90183
70,495,-6.0,91178
69,500,-4.0,92173
69,505,-4.0,93117
69,510,-4.0,94087
68,515,-4.0,95082
68,520,-3.0,96060
68,525,0.0,96980
68,530,0.0,97894
67,535,-1.0,98889
67,540,-3.0,99604
67,545,-4.0,100497
66,550,-5.0,101411
66,555,-5.0,102383
66,560,-10.0,103221
65,565,-7.0,104216
65,570,-7.0,105139
65,575,-3.0,106100
65,580,-2.0,107095
64,585,-1.0,108090
64,590,3.0,109085
64,595,2.0,109927
63,600,2.0,110844
63,605,1.0,111767
63,610,3.0,112641
62,615,2.0,113561
62,620,-1.0,114534
62,625,-2.0,115503
61,630,0.0,116408
61,635,1.0,117361
61,640,5.0,118356
61,645,7.0,119351
60,650,13.0,120346
60,655,14.0,121322
60,660,16.0,122180
59,665,14.0,123001
59,670,13.0,123827
59,675,12.0,124667
58,680,12.0,125643
58,685,11.0,126622
58,690,8.0,127511
58,695,10.0,128506
57,700,9.0,129471
57,705,10.0,130321
57,710,8.0,131000
56,715,9.0,131889
56,720,14.0,132831
56,725,14.0,133762
56,730,12.0,134515
55,735,11.0,135144
55,740,11.0,136139
55,745,12.0,137134
54,750,8.0,138129
54,755,6.0,139048
54,760,5.0,139813
54,765,6.0,140808
53,770,7.0,141803
53,775,6.0,142638
53,780,5.0,143633
52,785,5.0,144616
52,790,6.0,145465
52,795,5.0,146411
51,800,8.0,147406
51,805,10.0,148401
51,810,10.0,149147
51,815,12.0,149993
50,820,8.0,150948
50,825,8.0,151761
50,830,9.0,152617
49,835,11.0,153477
49,840,10.0,154433
49,845,9.0,155428
48,850,11.0,156385
48,855,10.0,157140
48,860,12.0,158096
48,865,12.0,159089
47,870,11.0,159884
47,875,12.0,160763
47,880,14.0,161758
46,885,14.0,162543
46,890,13.0,163432
46,895,15.0,164427
46,900,12.0,165246
45,905,11.0,166197
45,910,14.0,167192
45,915,12.0,168079
44,920,14.0,168944
44,925,14.0,169869
44,930,17.0,170864
43,935,14.0,171761
43,940,14.0,172592
43,945,15.0,173526
43,950,12.0,174445
42,955,16.0,175397
42,960,18.0,176290
42,965,16.0,177101
41,970,18.0,178014
41,975,20.0,178982
41,980,18.0,179893
40,985,20.0,180706
40,990,22.0,181701
40,995,18.0,182523
40,1000,18.0,183486
39,1005,19.0,184439
39,1010,21.0,185434
39,1015,21.0,186367
38,1020,21.0,187107
38,1025,21.0,187957
38,1030,19.0,188823
38,1035,21.0,189686
37,1040,20.0,190604
37,1045,20.0,191495
37,1050,21.0,192438
36,1055,20.0,193344
36,1060,21.0,194285
36,1065,23.0,195209
35,1070,23.0,196060
35,1075,25.0,197044
35,1080,26.0,197886
35,1085,26.0,198881
34,1090,25.0,199794
34,1095,26.0,200789
34,1100,28.0,201784
33,1105,27.0,202601
33,1110,24.0,203587
33,1115,24.0,204547
32,1120,23.0,205537
32,1125,23.0,206448
32,1130,23.0,207328
32,1135,23.0,208155
31,1140,24.0,209069
31,1145,25.0,209954
31,1150,26.0,210691
30,1155,26.0,211596
30,1160,26.0,212582
30,1165,26.0,213517
29,1170,29.0,214512
29,1175,26.0,215507
29,1180,25.0,216502
28,1185,23.0,217417
28,1190,22.0,218283
28,1195,25.0,219201
28,1200,25.0,220174
27,1205,28.0,221023
27,1210,31.0,221906
27,1215,32.0,222802
26,1220,33.0,223797
26,1225,38.0,224708
26,1230,39.0,225612
25,1235,42.0,226607
25,1240,41.0,227509
25,1245,42.0,228504
25,1250,44.0,229283
24,1255,47.0,230185
24,1260,46.0,231155
24,1265,47.0,232150
23,1270,47.0,233067
23,1275,48.0,234062
23,1280,48.0,234816
22,1285,49.0,235800
22,1290,54.0,236548
22,1295,53.0,237384
22,1300,55.0,238379
21,1305,55.0,239236
21,1310,56.0,240231
21,1315,56.0,241001
20,1320,57.0,241967
20,1325,57.0,242880
20,1330,60.0,243867
20,1335,57.0,244581
19,1340,59.0,245514
19,1345,56.0,246468
19,1350,56.0,247374
18,1355,52.0,248330
18,1360,52.0,249156
18,1365,54.0,249916
18,1370,54.0,250786
17,1375,56.0,251781
17,1380,58.0,252557
17,1385,62.0,253429
16,1390,62.0,254301
16,1395,64.0,254943
16,1400,63.0,255881
16,1405,64.0,256616
15,1410,64.0,257611
15,1415,68.0,258570
15,1420,70.0,259565
14,1425,71.0,260414
14,1430,72.0,261138
14,1435,76.0,262124
14,1440,77.0,263119
13,1445,82.0,264047
13,1450,82.0,264891
13,1455,88.0,265759
12,1460,89.0,266627
12,1465,89.0,267367
12,1470,92.0,268185
12,1475,92.0,268797
11,1480,94.0,269649
11,1485,94.0,270552
11,1490,95.0,271498
11,1495,95.0,272212
10,1500,97.0,273125
10,1505,99.0,273944
10,1510,99.0,274913
9,1515,100.0,275635
9,1520,102.0,276464
9,1525,100.0,277377
9,1530,100.0,278247
8,1535,100.0,279102
8,1540,102.0,279798
8,1545,101.0,280668
8,1550,104.0,281490
7,1555,101.0,282276
7,1560,101.0,283101
7,1565,103.0,283887
6,1570,103.0,284831
6,1575,104.0,285675
6,1580,108.0,286437
6,1585,108.0,287260
5,1590,109.0,288045
5,1595,111.0,288998
5,1600,111.0,289626
5,1605,111.0,290428
4,1610,113.0,291328
4,1615,112.0,292323
4,1620,110.0,293262
3,1625,112.0,293998
3,1630,110.0,294680
3,1635,111.0,295594
3,1640,112.0,296544
2,1645,113.0,297433
2,1650,112.0,298426
2,1655,115.0,299379
2,1660,118.0,300142
2,1665,118.0,300978
2,1670,115.0,301845
2,1675,115.0,302765
2,1680,111.0,303604
2,1685,113.0,304302
2,1690,112.0,305176
2,1695,112.0,306155
2,1700,113.0,306891
2,1705,112.0,307886
2,1710,112.0,308768
2,1715,112.0,309523
2,1720,113.0,310493
2,1725,113.0,311417
2,1730,115.0,312299
2,1735,113.0,313200
2,1740,111.0,314195
2,1745,111.0,315189
2,1750,111.0,316096
2,1755,111.0,316932
2,1760,114.0,317614
2,1765,114.0,318488
2,1770,116.0,319381
2,1775,118.0,320347
2,1780,121.0,320900
2,1785,120.0,321847
2,1790,123.0,322559
2,1795,122.0,323479
2,1800,125.0,324039
2,1805,126.0,324923
