% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,795
99,10,-11.1,1666
99,15,-7.1,2661
98,20,-5.3,3656
98,25,-4.2,4651
98,30,-3.4,5602
97,35,-2.9,6594
97,40,-2.6,7589
97,45,-4.5,8543
96,50,-10.2,9406
96,55,-11.1,10284
96,60,-13.6,11027
96,65,-12.5,12022
95,70,-14.5,12963
95,75,-13.5,13958
95,80,-13.9,14860
94,85,-14.3,15756
94,90,-15.7,16707
94,95,-17.0,17570
93,100,-17.2,18451
93,105,-19.0,19374
93,110,-20.0,20325
93,115,-20.0,21320
92,120,-20.0,22313
92,125,-21.0,23244
92,130,-22.0,24144
91,135,-23.0,24998
91,140,-23.0,25993
91,145,-21.0,26988
90,150,-18.0,27945
90,155,-17.0,28940
90,160,-16.0,29845
89,165,-17.0,30704
89,170,-15.0,31699
89,175,-16.0,32677
89,180,-15.0,33672
88,185,-13.0,34667
88,190,-12.0,35611
88,195,-12.0,36426
87,200,-11.0,37220
87,205,-9.0,38215
87,210,-8.0,39163
86,215,-9.0,40032
86,220,-9.0,41016
86,225,-8.0,41954
85,230,-7.0,42906
85,235,-6.0,43839
85,240,-8.0,44700
85,245,-10.0,45600
84,250,-10.0,46595
84,255,-9.0,47556
84,260,-10.0,48497
83,265,-10.0,49481
83,270,-10.0,50476
83,275,-10.0,51339
82,280,-10.0,52202
82,285,-13.0,53046
82,290,-12.0,54041
82,295,-11.0,54962
81,300,-11.0,55957
81,305,-11.0,56895
81,310,-13.0,57587
80,315,-14.0,58444
80,320,-13.0,59439
80,325,-15.0,60357
79,330,-13.0,61321
79,335,-13.0,62249
79,340,-11.0,63244
79,345,-12.0,64185
78,350,-11.0,65172
78,355,-12.0,66167
78,360,-12.0,67018
77,365,-11.0,67988
77,370,-11.0,68983
77,375,-10.0,69853
76,380,-10.0,70848
76,385,-10.0,71608
76,390,-9.0,72569
76,395,-9.0,73451
75,400,-9.0,74446
75,405,-9.0,75433
75,410,-5.0,76408
74,415,-1.0,77403
74,420,-3.0,78304
74,425,-4.0,79070
73,430,-7.0,79944
73,435,-8.0,80800
73,440,-7.0,81731
72,445,-5.0,82726
72,450,-4.0,83721
72,455,-4.0,84716
72,460,-2.0,85711
71,465,-1.0,86706
71,470,0.0,87701
71,475,0.0,88681
70,480,2.0,89676
70,485,5.0,90634
70,490,4.0,91559
69,495,6.0,92512
69,500,6.0,93501
69,505,7.0,94496
68,510,9.0,95491
68,515,8.0,96472
68,520,8.0,97357
67,525,12.0,98352
67,530,12.0,99198
67,535,14.0,100193
66,540,15.0,101155
66,545,15.0,101965
66,550,14.0,102850
66,555,13.0,103657
65,560,15.0,104652
65,565,15.0,105647
65,570,15.0,106642
64,575,14.0,107575
64,580,11.0,108536
64,585,11.0,109388
63,590,12.0,110383
63,595,10.0,111318
63,600,11.0,112313
62,605,10.0,113278
62,610,6.0,114204
62,615,4.0,115151
62,620,6.0,116081
61,625,5.0,116985
61,630,8.0,117935
61,635,8.0,118871
60,640,5.0,119777
60,645,3.0,120621
60,650,1.0,121564
60,655,1.0,122427
59,660,-2.0,123367
59,665,-4.0,124251
59,670,-4.0,125246
58,675,-2.0,126172
58,680,2.0,127167
58,685,2.0,128162
57,690,1.0,129087
57,695,4.0,129885
