% time spent exploring,episodes,mean 100 episode reward,steps
99,5,-25.0,771
99,10,-11.1,1695
99,15,-21.4,2625
98,20,-10.5,3620
98,25,-12.5,4577
98,30,-10.3,5572
97,35,-11.8,6498
97,40,-10.3,7493
97,45,-11.4,8400
96,50,-10.2,9395
96,55,-9.3,10390
96,60,-8.5,11385
95,65,-7.8,12308
95,70,-7.2,13303
95,75,-10.8,14022
95,80,-10.1,14947
94,85,-9.5,15942
94,90,-10.1,16805
94,95,-9.6,17800
93,100,-10.1,18713
93,105,-10.0,19628
93,110,-13.0,20443
93,115,-13.0,21384
92,120,-15.0,22306
92,125,-13.0,23301
92,130,-14.0,24221
91,135,-13.0,25118
91,140,-13.0,26031
91,145,-12.0,27026
90,150,-11.0,28021
90,155,-12.0,28944
90,160,-12.0,29939
89,165,-11.0,30918
89,170,-13.0,31750
89,175,-10.0,32736
89,180,-12.0,33560
88,185,-12.0,34555
88,190,-12.0,35326
88,195,-12.0,36321
87,200,-13.0,37071
87,205,-12.0,38066
87,210,-11.0,39000
86,215,-9.0,39995
86,220,-7.0,40990
86,225,-8.0,41967
85,230,-8.0,42959
85,235,-11.0,43782
85,240,-12.0,44695
85,245,-14.0,45499
84,250,-16.0,46408
84,255,-16.0,47350
84,260,-16.0,48345
83,265,-16.0,49328
83,270,-15.0,50235
83,275,-17.0,51081
83,280,-15.0,52002
82,285,-14.0,52885
82,290,-14.0,53785
82,295,-13.0,54772
81,300,-10.0,55767
81,305,-9.0,56762
81,310,-9.0,57574
80,315,-11.0,58405
80,320,-11.0,59400
80,325,-10.0,60395
79,330,-9.0,61390
79,335,-6.0,62257
79,340,-5.0,63143
79,345,-2.0,64138
78,350,0.0,65049
78,355,0.0,65952
78,360,1.0,66947
77,365,-1.0,67754
77,370,0.0,68627
77,375,2.0,69594
77,380,-1.0,70314
76,385,0.0,71270
76,390,-1.0,72144
76,395,-4.0,72994
75,400,-4.0,73989
75,405,-4.0,74984
75,410,-3.0,75781
74,415,0.0,76755
74,420,-1.0,77733
74,425,-4.0,78569
74,430,-6.0,79346
73,435,-5.0,80295
73,440,-5.0,81176
73,445,-7.0,82087
72,450,-8.0,82935
72,455,-7.0,83790
72,460,-8.0,84652
72,465,-6.0,85588
71,470,-7.0,86410
71,475,-9.0,87188
71,480,-7.0,88120
70,485,-10.0,88973
70,490,-6.0,89968
70,495,-5.0,90812
70,500,-5.0,91763
69,505,-6.0,92552
69,510,-6.0,93447
69,515,-8.0,94215
68,520,-9.0,95130
68,525,-6.0,96023
68,530,-5.0,96707
68,535,-6.0,97611
67,540,-5.0,98526
67,545,-4.0,99447
67,550,-4.0,100205
66,555,-2.0,101175
66,560,-4.0,101896
66,565,-7.0,102723
66,570,-6.0,103493
65,575,-4.0,104365
65,580,-3.0,105203
65,585,-1.0,106082
65,590,-1.0,106995
64,595,1.0,107986
64,600,-1.0,108854
64,605,-2.0,109657
63,610,-3.0,110267
63,615,0.0,111244
63,620,-1.0,112149
63,625,-2.0,113122
62,630,0.0,114040
62,635,3.0,114942
62,640,1.0,115850
61,645,1.0,116807
61,650,0.0,117616
61,655,-3.0,118587
60,660,-2.0,119463
60,665,1.0,120458
60,670,2.0,121433
60,675,3.0,122417
59,680,4.0,123412
59,685,4.0,124362
59,690,5.0,125293
58,695,5.0,126112
58,700,8.0,127051
58,705,13.0,127977
57,710,16.0,128892
57,715,14.0,129846
57,720,19.0,130825
56,725,21.0,131760
56,730,20.0,132564
56,735,16.0,133351
56,740,16.0,134253
55,745,21.0,135248
55,750,25.0,136155
55,755,27.0,137030
55,760,25.0,137601
54,765,25.0,138452
54,770,26.0,139302
54,775,25.0,140122
53,780,25.0,141093
53,785,26.0,142026
53,790,24.0,143011
52,795,27.0,144006
52,800,27.0,144882
52,805,22.0,145641
52,810,21.0,146488
51,815,23.0,147417
51,820,19.0,148222
51,825,20.0,149208
50,830,21.0,150174
50,835,24.0,151082
50,840,26.0,152077
49,845,24.0,153072
49,850,21.0,153898
49,855,22.0,154797
49,860,24.0,155561
48,865,27.0,156556
48,870,29.0,157551
48,875,31.0,158337
47,880,30.0,159215
47,885,29.0,160114
47,890,28.0,161020
47,895,25.0,161983
46,900,25.0,162978
46,905,27.0,163935
46,910,29.0,164874
45,915,26.0,165651
45,920,31.0,166646
45,925,30.0,167535
44,930,32.0,168530
44,935,31.0,169476
44,940,33.0,170471
43,945,34.0,171452
43,950,33.0,172341
43,955,34.0,173336
43,960,36.0,174275
42,965,33.0,175245
42,970,31.0,176205
42,975,27.0,176946
41,980,29.0,177883
41,985,28.0,178852
41,990,27.0,179604
41,995,27.0,180552
40,1000,28.0,181499
40,1005,28.0,182288
40,1010,32.0,183253
39,1015,35.0,184227
39,1020,32.0,185134
39,1025,34.0,185997
38,1030,34.0,186949
38,1035,34.0,187850
38,1040,34.0,188821
38,1045,33.0,189724
37,1050,35.0,190719
37,1055,34.0,191714
37,1060,35.0,192678
36,1065,35.0,193483
36,1070,36.0,194478
36,1075,41.0,195473
35,1080,38.0,196283
35,1085,40.0,197174
35,1090,44.0,198064
34,1095,44.0,199004
34,1100,43.0,199931
34,1105,44.0,200787
34,1110,40.0,201553
33,1115,40.0,202364
33,1120,42.0,203358
33,1125,41.0,204033
33,1130,42.0,205018
32,1135,42.0,205800
32,1140,40.0,206643
32,1145,39.0,207411
31,1150,39.0,208289
31,1155,41.0,209174
31,1160,42.0,210169
31,1165,45.0,211061
30,1170,44.0,212003
30,1175,45.0,212865
30,1180,50.0,213655
29,1185,50.0,214510
29,1190,50.0,215505
29,1195,51.0,216404
29,1200,52.0,217334
28,1205,52.0,218132
28,1210,50.0,218946
28,1215,51.0,219785
27,1220,53.0,220638
27,1225,52.0,221608
27,1230,51.0,222467
27,1235,55.0,223437
26,1240,54.0,224158
26,1245,55.0,225153
26,1250,57.0,226148
25,1255,54.0,226940
25,1260,54.0,227721
25,1265,53.0,228697
24,1270,51.0,229621
24,1275,51.0,230470
24,1280,49.0,231448
24,1285,48.0,232301
23,1290,47.0,233296
23,1295,50.0,234291
23,1300,47.0,234875
23,1305,47.0,235703
22,1310,52.0,236544
22,1315,51.0,237431
22,1320,49.0,238394
21,1325,48.0,239268
21,1330,48.0,240114
21,1335,47.0,241091
20,1340,50.0,241947
20,1345,51.0,242668
20,1350,56.0,243418
20,1355,56.0,244133
19,1360,59.0,245050
19,1365,59.0,246040
19,1370,62.0,246953
19,1375,62.0,247908
18,1380,61.0,248549
18,1385,63.0,249544
18,1390,63.0,250409
17,1395,62.0,251213
17,1400,64.0,251898
17,1405,65.0,252756
17,1410,63.0,253638
16,1415,65.0,254540
16,1420,66.0,255367
16,1425,64.0,255865
16,1430,62.0,256472
15,1435,62.0,257413
15,1440,65.0,258313
15,1445,65.0,259219
15,1450,60.0,260163
14,1455,64.0,260968
14,1460,64.0,261832
14,1465,66.0,262581
13,1470,66.0,263268
13,1475,66.0,264193
13,1480,69.0,265157
13,1485,70.0,265977
12,1490,72.0,266704
12,1495,74.0,267523
12,1500,76.0,268508
11,1505,76.0,269428
11,1510,77.0,270187
11,1515,78.0,270962
11,1520,77.0,271920
10,1525,81.0,272542
10,1530,80.0,273127
10,1535,77.0,273915
10,1540,76.0,274786
9,1545,75.0,275639
9,1550,80.0,276464
9,1555,80.0,277095
9,1560,78.0,277933
8,1565,78.0,278729
8,1570,81.0,279639
8,1575,85.0,280415
8,1580,88.0,281293
7,1585,86.0,282095
7,1590,88.0,282757
7,1595,90.0,283589
7,1600,94.0,284358
6,1605,97.0,285178
6,1610,100.0,285914
6,1615,101.0,286901
5,1620,103.0,287896
5,1625,106.0,288670
5,1630,110.0,289580
5,1635,114.0,290562
4,1640,115.0,291304
4,1645,117.0,292299
4,1650,114.0,293294
3,1655,114.0,294289
3,1660,117.0,295225
3,1665,118.0,296127
2,1670,119.0,297097
2,1675,117.0,297992
2,1680,117.0,298747
2,1685,121.0,299618
2,1690,124.0,300304
2,1695,123.0,301210
2,1700,122.0,302009
2,1705,124.0,302771
2,1710,123.0,303664
2,1715,121.0,304631
2,1720,121.0,305535
2,1725,122.0,306367
2,1730,126.0,307175
2,1735,127.0,308091
2,1740,128.0,308989
2,1745,130.0,309960
2,1750,134.0,310598
2,1755,136.0,311364
2,1760,135.0,312119
2,1765,136.0,312898
2,1770,136.0,313755
2,1775,137.0,314602
2,1780,136.0,315386
2,1785,138.0,315961
2,1790,137.0,316691
2,1795,139.0,317492
2,1800,139.0,318328
2,1805,136.0,319149
2,1810,138.0,319944
2,1815,138.0,320666
2,1820,140.0,321390
2,1825,138.0,322334
2,1830,135.0,323062
2,1835,139.0,323791
2,1840,141.0,324576
2,1845,140.0,325319
2,1850,137.0,326210
2,1855,137.0,327074
2,1860,137.0,327863
2,1865,137.0,328695
2,1870,139.0,329269
2,1875,140.0,329910
2,1880,140.0,330839
2,1885,138.0,331581
2,1890,138.0,332265
2,1895,136.0,333155
2,1900,138.0,333943
2,1905,142.0,334724
2,1910,142.0,335472
2,1915,147.0,336128
2,1920,147.0,336732
2,1925,147.0,337326
2,1930,147.0,338184
2,1935,145.0,339004
2,1940,144.0,339804
2,1945,146.0,340615
2,1950,148.0,341474
2,1955,146.0,342430
2,1960,150.0,343139
2,1965,150.0,343943
2,1970,150.0,344595
2,1975,149.0,345530
2,1980,150.0,346411
2,1985,150.0,347246
2,1990,150.0,348060
2,1995,151.0,348948
2,2000,147.0,349787
2,2005,146.0,350450
2,2010,144.0,350909
2,2015,143.0,351777
2,2020,144.0,352512
2,2025,147.0,353265
2,2030,149.0,354191
2,2035,147.0,354995
2,2040,149.0,355558
2,2045,146.0,356346
2,2050,143.0,357142
2,2055,146.0,357819
2,2060,146.0,358656
2,2065,147.0,359441
2,2070,146.0,360346
2,2075,145.0,361273
2,2080,144.0,362062
2,2085,145.0,362847
2,2090,144.0,363714
2,2095,141.0,364656
2,2100,142.0,365517
2,2105,142.0,366321
2,2110,144.0,367106
2,2115,143.0,367905
2,2120,144.0,368587
2,2125,144.0,369336
2,2130,145.0,370050
2,2135,146.0,370959
2,2140,142.0,371810
2,2145,145.0,372616
2,2150,149.0,373294
2,2155,149.0,374151
2,2160,147.0,375026
2,2165,147.0,375843
2,2170,144.0,376512
2,2175,144.0,377431
2,2180,143.0,378374
2,2185,142.0,379147
2,2190,144.0,379825
2,2195,148.0,380731
2,2200,148.0,381457
2,2205,147.0,382329
2,2210,148.0,383084
2,2215,148.0,383895
2,2220,144.0,384841
2,2225,138.0,385741
2,2230,136.0,386670
2,2235,138.0,387410
2,2240,139.0,388383
2,2245,137.0,389330
2,2250,135.0,390267
2,2255,136.0,391114
2,2260,135.0,392041
2,2265,134.0,393006
2,2270,135.0,393804
2,2275,135.0,394576
2,2280,138.0,395329
2,2285,139.0,396152
2,2290,135.0,397024
2,2295,132.0,397981
2,2300,132.0,398775
2,2305,130.0,399770
2,2310,129.0,400610
2,2315,129.0,401379
2,2320,130.0,402295
2,2325,133.0,403124
2,2330,132.0,404118
2,2335,128.0,404928
2,2340,129.0,405679
2,2345,128.0,406517
2,2350,130.0,407238
2,2355,126.0,408162
2,2360,126.0,408996
2,2365,127.0,409839
2,2370,126.0,410571
2,2375,124.0,411566
2,2380,124.0,412249
2,2385,123.0,413156
2,2390,125.0,414019
2,2395,126.0,414837
2,2400,129.0,415536
2,2405,131.0,416490
2,2410,130.0,417319
2,2415,129.0,418299
2,2420,130.0,419119
2,2425,129.0,419995
2,2430,131.0,420795
2,2435,133.0,421557
2,2440,131.0,422372
2,2445,131.0,423265
2,2450,130.0,424137
2,2455,132.0,425029
2,2460,132.0,425730
2,2465,131.0,426552
2,2470,134.0,427305
2,2475,137.0,428167
2,2480,137.0,428843
2,2485,139.0,429663
2,2490,136.0,430658
2,2495,135.0,431503
2,2500,132.0,432309
2,2505,130.0,433168
2,2510,129.0,434040
2,2515,128.0,434947
2,2520,125.0,435824
2,2525,128.0,436717
2,2530,130.0,437527
2,2535,130.0,438383
2,2540,131.0,439249
2,2545,130.0,440172
2,2550,124.0,440849
2,2555,122.0,441799
2,2560,120.0,442655
2,2565,121.0,443457
2,2570,121.0,444295
2,2575,119.0,445290
2,2580,119.0,446137
2,2585,121.0,446616
2,2590,123.0,447344
2,2595,125.0,448186
2,2600,123.0,449033
2,2605,123.0,449844
2,2610,123.0,450802
2,2615,125.0,451656
2,2620,127.0,452467
2,2625,124.0,453462
2,2630,121.0,454457
2,2635,122.0,455272
2,2640,119.0,456175
2,2645,120.0,457163
2,2650,123.0,457945
2,2655,122.0,458940
2,2660,123.0,459932
2,2665,119.0,460829
2,2670,116.0,461817
2,2675,120.0,462520
2,2680,116.0,463515
2,2685,112.0,464482
2,2690,112.0,465426
2,2695,110.0,466367
2,2700,113.0,467242
2,2705,116.0,468027
2,2710,115.0,468715
2,2715,115.0,469465
2,2720,115.0,470238
2,2725,119.0,471143
2,2730,120.0,471957
2,2735,118.0,472893
2,2740,123.0,473482
2,2745,124.0,474375
2,2750,125.0,475277
2,2755,128.0,476125
2,2760,129.0,476939
2,2765,132.0,477816
2,2770,134.0,478696
2,2775,129.0,479667
2,2780,128.0,480548
2,2785,129.0,481357
2,2790,129.0,482210
2,2795,130.0,483022
2,2800,128.0,484017
2,2805,127.0,484931
2,2810,127.0,485792
2,2815,126.0,486647
2,2820,126.0,487556
2,2825,122.0,488551
2,2830,119.0,489463
2,2835,118.0,490280
2,2840,114.0,491122
2,2845,113.0,492009
2,2850,115.0,492657
2,2855,116.0,493482
2,2860,116.0,494281
2,2865,115.0,495224
2,2870,112.0,496219
2,2875,114.0,497135
2,2880,117.0,498092
2,2885,114.0,499084
2,2890,111.0,499872
2,2895,110.0,500808
2,2900,109.0,501720
2,2905,109.0,502629
2,2910,109.0,503624
2,2915,107.0,504559
2,2920,106.0,505365
2,2925,109.0,506297
2,2930,113.0,507083
2,2935,116.0,507870
2,2940,118.0,508413
2,2945,122.0,509131
2,2950,118.0,510096
2,2955,115.0,511055
2,2960,116.0,511915
2,2965,114.0,512771
2,2970,118.0,513539
2,2975,118.0,514288
2,2980,116.0,515251
2,2985,120.0,516111
2,2990,124.0,516915
2,2995,124.0,517781
2,3000,126.0,518578
2,3005,123.0,519489
2,3010,126.0,520232
2,3015,126.0,521135
2,3020,127.0,522130
2,3025,127.0,522990
2,3030,125.0,523945
2,3035,123.0,524838
2,3040,121.0,525724
2,3045,118.0,526619
2,3050,119.0,527435
2,3055,121.0,528297
2,3060,119.0,529130
2,3065,124.0,529735
2,3070,122.0,530626
2,3075,124.0,531320
2,3080,125.0,532145
2,3085,124.0,533030
2,3090,125.0,533785
2,3095,125.0,534747
2,3100,127.0,535600
2,3105,128.0,536471
2,3110,126.0,537343
2,3115,129.0,538183
2,3120,130.0,539058
2,3125,131.0,539625
2,3130,132.0,540455
2,3135,131.0,541450
2,3140,131.0,542344
2,3145,131.0,543111
2,3150,131.0,544106
2,3155,130.0,545001
2,3160,128.0,545954
2,3165,123.0,546828
2,3170,122.0,547823
2,3175,121.0,548775
2,3180,124.0,549726
2,3185,126.0,550498
2,3190,124.0,551387
2,3195,124.0,552364
2,3200,121.0,553226
2,3205,123.0,554094
2,3210,125.0,554824
2,3215,124.0,555702
2,3220,124.0,556511
2,3225,123.0,557456
2,3230,122.0,558434
2,3235,125.0,558961
2,3240,125.0,559956
2,3245,123.0,560921
2,3250,127.0,561557
2,3255,127.0,562379
2,3260,131.0,563156
2,3265,132.0,564151
2,3270,137.0,564684
2,3275,137.0,565547
2,3280,136.0,566393
2,3285,134.0,567297
2,3290,136.0,568008
2,3295,140.0,568756
2,3300,141.0,569643
2,3305,142.0,570358
2,3310,139.0,571281
2,3315,143.0,571897
2,3320,144.0,572728
2,3325,145.0,573646
2,3330,149.0,574243
2,3335,148.0,575056
2,3340,148.0,576051
2,3345,149.0,577035
2,3350,150.0,577646
2,3355,153.0,578290
2,3360,153.0,579108
2,3365,154.0,580082
2,3370,151.0,580845
2,3375,150.0,581760
2,3380,150.0,582508
2,3385,149.0,583352
2,3390,148.0,584231
2,3395,143.0,585079
2,3400,146.0,585813
2,3405,143.0,586517
2,3410,142.0,587434
2,3415,140.0,588141
2,3420,137.0,589136
2,3425,138.0,589849
2,3430,134.0,590803
2,3435,137.0,591422
2,3440,142.0,591950
2,3445,145.0,592778
2,3450,141.0,593649
2,3455,138.0,594483
2,3460,135.0,595323
2,3465,136.0,596275
2,3470,134.0,597270
2,3475,133.0,598243
2,3480,132.0,599192
2,3485,133.0,600043
2,3490,136.0,600712
2,3495,137.0,601569
2,3500,134.0,602491
2,3505,138.0,603120
2,3510,143.0,603695
2,3515,142.0,604594
2,3520,144.0,605505
2,3525,143.0,606276
2,3530,143.0,606958
2,3535,142.0,607685
2,3540,139.0,608341
2,3545,139.0,609096
2,3550,137.0,609856
2,3555,140.0,610628
2,3560,142.0,611490
2,3565,145.0,611897
2,3570,147.0,612775
2,3575,150.0,613762
2,3580,152.0,614461
2,3585,155.0,615118
2,3590,151.0,616071
2,3595,155.0,616606
2,3600,155.0,617501
2,3605,152.0,618302
2,3610,148.0,619297
2,3615,147.0,620246
2,3620,147.0,620969
2,3625,147.0,621646
2,3630,149.0,622394
2,3635,150.0,623033
2,3640,151.0,623825
2,3645,149.0,624663
2,3650,152.0,625510
2,3655,151.0,626233
2,3660,150.0,627024
2,3665,148.0,627824
2,3670,149.0,628534
2,3675,149.0,629046
2,3680,148.0,629685
2,3685,143.0,630561
2,3690,146.0,631231
2,3695,144.0,631851
2,3700,148.0,632246
2,3705,150.0,632971
2,3710,155.0,633392
2,3715,159.0,633904
2,3720,160.0,634646
2,3725,162.0,635036
2,3730,162.0,635720
2,3735,160.0,636325
2,3740,161.0,637040
2,3745,164.0,637592
2,3750,167.0,638149
2,3755,168.0,638785
2,3760,169.0,639599
2,3765,171.0,640000
2,3770,173.0,640324
2,3775,175.0,640622
2,3780,178.0,641156
2,3785,178.0,642151
2,3790,178.0,642697
2,3795,178.0,643418
2,3800,177.0,644277
2,3805,178.0,644882
2,3810,170.0,645553
2,3815,163.0,646361
2,3820,163.0,646898
2,3825,163.0,647373
2,3830,162.0,647870
2,3835,164.0,648297
2,3840,165.0,648940
2,3845,166.0,649326
2,3850,166.0,649818
2,3855,167.0,650282
2,3860,170.0,650660
2,3865,168.0,651355
2,3870,166.0,651759
2,3875,163.0,652169
2,3880,162.0,652794
2,3885,166.0,653306
2,3890,166.0,653802
2,3895,165.0,654636
2,3900,163.0,655536
2,3905,159.0,656442
2,3910,165.0,657147
2,3915,172.0,657588
2,3920,174.0,657995
2,3925,174.0,658469
2,3930,177.0,658896
2,3935,177.0,659280
2,3940,177.0,659698
2,3945,174.0,660569
2,3950,174.0,661008
2,3955,171.0,661775
2,3960,168.0,662368
2,3965,169.0,663048
2,3970,166.0,664043
2,3975,166.0,664952
2,3980,167.0,665359
2,3985,167.0,665905
2,3990,167.0,666509
2,3995,165.0,667391
2,4000,167.0,667982
2,4005,169.0,668447
2,4010,170.0,668974
2,4015,169.0,669770
2,4020,168.0,670434
2,4025,168.0,670788
2,4030,168.0,671111
2,4035,168.0,671396
2,4040,166.0,672184
2,4045,168.0,672766
2,4050,165.0,673569
2,4055,168.0,674042
2,4060,170.0,674620
2,4065,171.0,674897
2,4070,176.0,675222
2,4075,179.0,675647
2,4080,178.0,676322
2,4085,179.0,676643
2,4090,180.0,677284
2,4095,185.0,677811
2,4100,186.0,678188
2,4105,189.0,678646
2,4110,190.0,679062
2,4115,191.0,679336
2,4120,192.0,679888
2,4125,192.0,680440
2,4130,189.0,681289
2,4135,186.0,682075
2,4140,185.0,682501
2,4145,185.0,682974
2,4150,186.0,683628
2,4155,182.0,684230
2,4160,181.0,684740
2,4165,178.0,685468
2,4170,178.0,685778
2,4175,178.0,685984
2,4180,179.0,686332
2,4185,179.0,686837
2,4190,179.0,687203
2,4195,178.0,687732
2,4200,178.0,688191
2,4205,178.0,688543
2,4210,177.0,688932
2,4215,177.0,689450
2,4220,177.0,689753
2,4225,176.0,690369
2,4230,177.0,691046
2,4235,175.0,692041
2,4240,178.0,692298
2,4245,179.0,692570
2,4250,179.0,693009
2,4255,181.0,693778
2,4260,182.0,694322
2,4265,183.0,694991
2,4270,183.0,695598
2,4275,183.0,696025
2,4280,179.0,696950
2,4285,178.0,697386
2,4290,178.0,697580
2,4295,179.0,697820
2,4300,179.0,698161
2,4305,176.0,698487
2,4310,177.0,698812
2,4315,177.0,699185
2,4320,177.0,699508
2,4325,178.0,699815
2,4330,180.0,700045
2,4335,185.0,700466
2,4340,185.0,700958
2,4345,185.0,701311
2,4350,186.0,701738
2,4355,185.0,702541
2,4360,183.0,702733
2,4365,185.0,702961
2,4370,185.0,703186
2,4375,185.0,703414
2,4380,189.0,704040
2,4385,190.0,704406
2,4390,190.0,704737
2,4395,190.0,704976
2,4400,190.0,705307
2,4405,193.0,705567
2,4410,193.0,705837
2,4415,193.0,706037
2,4420,193.0,706247
2,4425,193.0,706583
2,4430,193.0,706809
2,4435,193.0,707229
2,4440,191.0,707602
2,4445,191.0,707985
2,4450,192.0,708270
2,4455,195.0,708513
2,4460,197.0,709051
2,4465,197.0,709481
2,4470,197.0,709801
2,4475,197.0,709995
2,4480,197.0,710223
2,4485,197.0,710463
2,4490,197.0,710712
2,4495,197.0,710971
2,4500,197.0,711206
2,4505,197.0,711415
2,4510,195.0,711986
2,4515,193.0,712806
2,4520,193.0,713168
2,4525,193.0,713392
2,4530,193.0,713680
2,4535,193.0,714063
2,4540,195.0,714285
2,4545,195.0,714574
2,4550,195.0,714783
2,4555,195.0,714988
2,4560,196.0,715269
2,4565,196.0,715526
2,4570,196.0,715814
2,4575,196.0,716105
2,4580,196.0,716299
2,4585,196.0,716510
2,4590,196.0,716705
2,4595,196.0,716935
2,4600,196.0,717217
2,4605,196.0,717475
2,4610,198.0,717669
2,4615,200.0,717866
2,4620,200.0,718075
2,4625,200.0,718354
2,4630,200.0,718624
2,4635,200.0,718846
2,4640,200.0,719053
2,4645,200.0,719243
2,4650,200.0,719433
2,4655,200.0,719663
2,4660,200.0,719896
2,4665,199.0,720286
2,4670,199.0,720663
2,4675,199.0,721017
2,4680,199.0,721393
2,4685,199.0,721659
2,4690,199.0,721902
2,4695,199.0,722113
2,4700,199.0,722357
2,4705,199.0,722573
2,4710,199.0,722856
2,4715,196.0,723102
2,4720,195.0,723589
2,4725,195.0,723781
2,4730,195.0,723967
2,4735,195.0,724170
2,4740,195.0,724399
2,4745,195.0,724699
2,4750,195.0,725165
2,4755,195.0,725554
2,4760,195.0,725785
2,4765,196.0,726002
2,4770,196.0,726297
2,4775,196.0,726489
2,4780,196.0,726687
2,4785,196.0,726884
2,4790,196.0,727075
2,4795,196.0,727291
2,4800,196.0,727484
2,4805,196.0,727722
2,4810,196.0,727930
2,4815,199.0,728166
2,4820,200.0,728523
2,4825,200.0,728723
2,4830,200.0,728926
2,4835,200.0,729138
2,4840,200.0,729328
2,4845,200.0,729521
2,4850,200.0,729768
2,4855,198.0,730016
2,4860,198.0,730258
2,4865,198.0,730451
2,4870,198.0,730682
2,4875,198.0,730880
2,4880,198.0,731088
2,4885,198.0,731297
2,4890,198.0,731605
2,4895,198.0,731861
2,4900,198.0,732054
2,4905,198.0,732283
2,4910,198.0,732491
2,4915,198.0,732686
2,4920,198.0,732969
2,4925,198.0,733182
2,4930,198.0,733382
2,4935,198.0,733594
2,4940,198.0,733806
2,4945,198.0,734033
2,4950,198.0,734235
2,4955,200.0,734438
2,4960,200.0,734642
2,4965,200.0,734839
2,4970,200.0,735034
2,4975,200.0,735330
2,4980,200.0,735698
2,4985,200.0,736178
2,4990,198.0,736468
2,4995,198.0,736654
2,5000,198.0,736844
2,5005,198.0,737034
2,5010,198.0,737293
2,5015,198.0,737494
2,5020,196.0,737791
2,5025,196.0,738032
2,5030,193.0,738214
2,5035,193.0,738409
2,5040,193.0,738606
2,5045,193.0,738800
2,5050,193.0,738995
2,5055,193.0,739233
2,5060,193.0,739443
2,5065,193.0,739638
2,5070,193.0,739827
2,5075,193.0,740018
2,5080,193.0,740273
2,5085,193.0,740478
2,5090,195.0,740751
2,5095,195.0,741079
2,5100,195.0,741354
2,5105,195.0,741568
2,5110,195.0,741759
2,5115,195.0,741962
2,5120,197.0,742189
2,5125,197.0,742429
2,5130,200.0,742621
2,5135,200.0,742845
2,5140,200.0,743068
2,5145,200.0,743283
2,5150,200.0,743490
2,5155,200.0,743679
2,5160,200.0,743879
2,5165,200.0,744080
2,5170,200.0,744281
2,5175,200.0,744501
2,5180,200.0,744692
2,5185,200.0,744952
2,5190,200.0,745139
2,5195,200.0,745329
2,5200,200.0,745561
2,5205,200.0,745761
2,5210,200.0,745958
2,5215,200.0,746167
2,5220,200.0,746359
2,5225,200.0,746553
2,5230,200.0,746748
2,5235,200.0,747019
2,5240,200.0,747248
2,5245,200.0,747512
2,5250,200.0,747710
2,5255,200.0,747901
