% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,795
99,10,-33.3,1611
99,15,-35.7,2568
98,20,-26.3,3563
98,25,-25.0,4470
98,30,-20.7,5388
97,35,-17.6,6383
97,40,-15.4,7378
97,45,-13.6,8354
96,50,-16.3,9297
96,55,-16.7,10206
96,60,-15.3,11201
96,65,-14.1,12196
95,70,-15.9,12992
95,75,-14.9,13914
95,80,-19.0,14571
94,85,-19.0,15507
94,90,-19.1,16447
94,95,-19.1,17441
93,100,-18.2,18436
93,105,-19.0,19300
93,110,-16.0,20295
93,115,-14.0,21210
92,120,-17.0,22026
92,125,-15.0,23021
92,130,-15.0,24016
91,135,-16.0,24919
91,140,-15.0,25914
91,145,-15.0,26909
90,150,-14.0,27886
90,155,-16.0,28800
90,160,-15.0,29795
89,165,-15.0,30790
89,170,-12.0,31785
89,175,-13.0,32689
89,180,-11.0,33657
88,185,-10.0,34652
88,190,-10.0,35555
88,195,-9.0,36550
87,200,-10.0,37423
87,205,-9.0,38371
87,210,-10.0,39336
86,215,-9.0,40331
86,220,-6.0,41326
86,225,-7.0,42321
85,230,-7.0,43316
85,235,-7.0,44100
85,240,-8.0,45095
84,245,-9.0,46028
84,250,-7.0,47023
84,255,-4.0,48005
83,260,-5.0,48993
83,265,-5.0,49988
83,270,-5.0,50983
83,275,-4.0,51866
82,280,-3.0,52725
82,285,-3.0,53708
82,290,-3.0,54683
81,295,0.0,55678
81,300,1.0,56574
81,305,1.0,57513
80,310,1.0,58356
80,315,0.0,59261
80,320,1.0,60256
80,325,-1.0,61039
79,330,-2.0,61874
79,335,0.0,62869
79,340,-3.0,63713
78,345,-2.0,64600
78,350,-3.0,65554
78,355,-2.0,66549
77,360,-2.0,67544
77,365,0.0,68539
77,370,0.0,69497
77,375,-1.0,70396
76,380,1.0,71391
76,385,-1.0,72256
76,390,-1.0,73227
75,395,-4.0,74138
75,400,-3.0,75079
75,405,-1.0,76022
74,410,1.0,77017
74,415,1.0,77958
74,420,-1.0,78912
73,425,2.0,79907
73,430,2.0,80866
73,435,2.0,81793
72,440,7.0,82788
72,445,6.0,83727
72,450,6.0,84616
72,455,5.0,85586
71,460,6.0,86532
71,465,5.0,87527
71,470,3.0,88293
70,475,3.0,88926
70,480,1.0,89850
70,485,3.0,90830
70,490,5.0,91782
69,495,6.0,92777
69,500,6.0,93675
69,505,4.0,94595
68,510,3.0,95347
68,515,3.0,96262
68,520,6.0,97220
67,525,5.0,98094
67,530,7.0,98970
67,535,5.0,99960
67,540,2.0,100706
66,545,5.0,101559
66,550,7.0,102544
66,555,8.0,103539
65,560,6.0,104346
65,565,7.0,105234
65,570,9.0,106229
65,575,11.0,107141
64,580,11.0,108045
64,585,10.0,108907
64,590,8.0,109717
63,595,8.0,110649
63,600,6.0,111438
63,605,5.0,112190
63,610,4.0,112931
62,615,5.0,113890
62,620,4.0,114885
62,625,5.0,115802
61,630,4.0,116706
61,635,4.0,117569
61,640,6.0,118564
60,645,3.0,119522
60,650,5.0,120517
60,655,6.0,121458
60,660,7.0,122365
59,665,3.0,123251
59,670,2.0,124160
59,675,4.0,125123
58,680,8.0,126062
58,685,10.0,126986
58,690,10.0,127582
58,695,8.0,128306
