% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,779
99,10,-11.1,1774
99,15,-7.1,2769
98,20,-10.5,3653
98,25,-12.5,4616
98,30,-20.7,5366
97,35,-17.6,6361
97,40,-17.9,7344
97,45,-18.2,8299
96,50,-18.4,9275
96,55,-20.4,9961
96,60,-20.3,10916
96,65,-21.9,11860
95,70,-21.7,12766
95,75,-21.6,13744
95,80,-22.8,14631
94,85,-25.0,15346
94,90,-25.8,16203
94,95,-26.6,17016
94,100,-26.3,17840
93,105,-29.0,18607
93,110,-28.0,19535
93,115,-28.0,20508
93,120,-29.0,21397
92,125,-30.0,22234
92,130,-29.0,23013
92,135,-31.0,23879
91,140,-33.0,24668
91,145,-33.0,25543
91,150,-33.0,26406
91,155,-34.0,27179
90,160,-35.0,27947
90,165,-35.0,28817
90,170,-36.0,29428
90,175,-38.0,30136
89,180,-39.0,30955
89,185,-38.0,31743
89,190,-38.0,32535
89,195,-38.0,33190
88,200,-42.0,33848
88,205,-41.0,34498
88,210,-46.0,35138
88,215,-49.0,35736
88,220,-48.0,36626
87,225,-48.0,37323
87,230,-49.0,38058
87,235,-51.0,38720
87,240,-50.0,39453
86,245,-51.0,40116
86,250,-49.0,41012
86,255,-47.0,41778
86,260,-48.0,42565
85,265,-49.0,43209
85,270,-51.0,43688
85,275,-49.0,44389
85,280,-48.0,45138
85,285,-49.0,45735
84,290,-51.0,46341
84,295,-53.0,46921
84,300,-52.0,47565
84,305,-53.0,48178
84,310,-52.0,48817
83,315,-52.0,49400
83,320,-53.0,49938
83,325,-50.0,50782
83,330,-48.0,51327
82,335,-44.0,52094
82,340,-41.0,52868
82,345,-43.0,53285
82,350,-46.0,53945
82,355,-49.0,54552
82,360,-48.0,55089
81,365,-47.0,55561
81,370,-43.0,56257
81,375,-43.0,56786
81,380,-43.0,57435
81,385,-45.0,57946
80,390,-41.0,58665
80,395,-34.0,59495
80,400,-32.0,60080
80,405,-32.0,60626
80,410,-29.0,61172
79,415,-28.0,61891
79,420,-27.0,62504
79,425,-29.0,63216
79,430,-33.0,63491
78,435,-31.0,64376
78,440,-36.0,64882
78,445,-33.0,65534
78,450,-31.0,66339
78,455,-27.0,67043
77,460,-25.0,67689
77,465,-21.0,68488
77,470,-21.0,69092
77,475,-16.0,69983
76,480,-11.0,70856
76,485,-5.0,71580
76,490,-5.0,72292
76,495,-9.0,72919
75,500,-9.0,73498
75,505,-5.0,74181
75,510,-2.0,74840
75,515,2.0,75564
75,520,0.0,76141
75,525,-2.0,76490
74,530,4.0,77192
74,535,7.0,78067
74,540,12.0,78916
73,545,16.0,79761
73,550,19.0,80667
73,555,22.0,81362
73,560,24.0,82157
72,565,24.0,82874
72,570,24.0,83521
72,575,19.0,83959
72,580,14.0,84410
72,585,12.0,84979
72,590,10.0,85571
71,595,12.0,86274
71,600,13.0,86815
71,605,11.0,87313
71,610,10.0,88035
71,615,7.0,88376
70,620,8.0,88825
70,625,10.0,89556
70,630,6.0,89891
70,635,-3.0,90434
70,640,-6.0,90921
70,645,-12.0,91327
69,650,-14.0,92046
69,655,-20.0,92498
69,660,-26.0,92860
69,665,-29.0,93476
69,670,-33.0,93902
69,675,-35.0,94297
68,680,-36.0,94914
68,685,-32.0,95687
68,690,-29.0,96423
68,695,-30.0,97178
68,700,-29.0,97914
67,705,-28.0,98458
67,710,-28.0,99184
67,715,-24.0,100014
67,720,-17.0,101009
66,725,-15.0,101702
66,730,-9.0,102487
66,735,-4.0,103201
66,740,-3.0,103556
66,745,-2.0,103902
65,750,-1.0,104560
65,755,2.0,105162
65,760,9.0,105959
65,765,10.0,106541
64,770,17.0,107312
64,775,20.0,107765
64,780,27.0,108731
64,785,26.0,109477
63,790,27.0,110209
63,795,27.0,110774
63,800,30.0,111466
63,805,34.0,112281
63,810,36.0,113154
62,815,32.0,113724
62,820,31.0,114280
62,825,33.0,114697
62,830,38.0,115374
62,835,41.0,115901
61,840,50.0,116506
61,845,60.0,117162
61,850,63.0,117735
61,855,71.0,118401
61,860,72.0,118795
61,865,76.0,119252
60,870,83.0,119950
60,875,87.0,120509
60,880,91.0,121237
60,885,91.0,121776
60,890,89.0,122228
59,895,95.0,123188
59,900,96.0,123979
59,905,93.0,124674
59,910,94.0,125006
58,915,101.0,125566
58,920,102.0,126068
58,925,107.0,126643
58,930,103.0,127077
58,935,109.0,127694
58,940,108.0,128273
57,945,101.0,128650
57,950,104.0,129068
57,955,106.0,129513
57,960,112.0,129902
57,965,115.0,130348
57,970,110.0,130887
57,975,116.0,131289
56,980,118.0,131767
56,985,126.0,132234
56,990,133.0,132635
56,995,131.0,132988
56,1000,127.0,133248
56,1005,134.0,133683
56,1010,140.0,134357
55,1015,140.0,134913
55,1020,138.0,135545
55,1025,137.0,136097
55,1030,139.0,136557
55,1035,133.0,137271
55,1040,127.0,137597
54,1045,131.0,138339
54,1050,125.0,138996
54,1055,119.0,139542
54,1060,110.0,140126
54,1065,103.0,140657
53,1070,97.0,141083
53,1075,89.0,141834
53,1080,82.0,142426
53,1085,73.0,142894
53,1090,66.0,143154
53,1095,61.0,143442
53,1100,63.0,143734
52,1105,63.0,144202
52,1110,61.0,144585
52,1115,59.0,144920
52,1120,66.0,145311
52,1125,66.0,145730
52,1130,67.0,146069
52,1135,73.0,146498
51,1140,80.0,147031
51,1145,78.0,147508
51,1150,83.0,147871
51,1155,87.0,148291
51,1160,94.0,148660
51,1165,104.0,149146
51,1170,112.0,149496
51,1175,118.0,149896
50,1180,122.0,150368
50,1185,129.0,150792
50,1190,137.0,151263
50,1195,143.0,151630
50,1200,148.0,152017
50,1205,150.0,152432
50,1210,150.0,152808
49,1215,156.0,153215
49,1220,156.0,153658
49,1225,153.0,154010
49,1230,148.0,154282
49,1235,148.0,154730
49,1240,148.0,155099
49,1245,152.0,155481
49,1250,152.0,155817
48,1255,154.0,156160
48,1260,156.0,156610
48,1265,153.0,156973
48,1270,156.0,157337
48,1275,155.0,157712
48,1280,156.0,158068
48,1285,156.0,158572
48,1290,154.0,158967
47,1295,157.0,159357
47,1300,160.0,159781
47,1305,155.0,160147
47,1310,157.0,160531
47,1315,151.0,160790
47,1320,145.0,161082
47,1325,151.0,161491
47,1330,147.0,161688
47,1335,144.0,162034
46,1340,138.0,162312
46,1345,141.0,162677
46,1350,141.0,162984
46,1355,141.0,163300
46,1360,141.0,163664
46,1365,139.0,163899
46,1370,139.0,164295
46,1375,142.0,164658
46,1380,142.0,165005
45,1385,144.0,165383
45,1390,148.0,165747
45,1395,150.0,166049
45,1400,150.0,166396
45,1405,152.0,166709
45,1410,152.0,167081
45,1415,158.0,167457
45,1420,162.0,167832
45,1425,159.0,168149
44,1430,171.0,168503
44,1435,168.0,168806
44,1440,173.0,169139
44,1445,167.0,169408
44,1450,168.0,169760
44,1455,168.0,170103
44,1460,165.0,170468
44,1465,170.0,170793
44,1470,170.0,171142
43,1475,170.0,171438
43,1480,169.0,171758
43,1485,169.0,172061
43,1490,169.0,172420
43,1495,166.0,172749
43,1500,164.0,173065
43,1505,164.0,173385
43,1510,161.0,173738
43,1515,158.0,174011
43,1520,157.0,174340
42,1525,154.0,174598
42,1530,151.0,174894
42,1535,157.0,175228
42,1540,157.0,175523
42,1545,163.0,175874
42,1550,163.0,176185
42,1555,163.0,176539
42,1560,166.0,176886
42,1565,164.0,177222
42,1570,162.0,177517
41,1575,162.0,177874
