% time spent exploring,episodes,mean 100 episode reward,steps
100,5,-75.0,636
100,10,-22.2,1631
100,15,-14.3,2626
100,20,-10.5,3621
100,25,-8.3,4616
100,30,-6.9,5611
100,35,-11.8,6475
100,40,-12.8,7460
100,45,-11.4,8455
100,50,-14.3,9256
100,55,-13.0,10251
100,60,-11.9,11246
100,65,-10.9,12241
100,70,-10.1,13236
100,75,-9.5,14231
100,80,-8.9,15133
100,85,-9.5,16033
100,90,-11.2,16903
100,95,-12.8,17808
100,100,-13.1,18772
100,105,-11.0,19708
100,110,-12.0,20703
100,115,-12.0,21698
100,120,-12.0,22693
100,125,-13.0,23609
100,130,-15.0,24497
100,135,-14.0,25374
100,140,-13.0,26369
100,145,-14.0,27279
100,150,-13.0,28217
100,155,-13.0,29212
100,160,-13.0,30207
100,165,-14.0,31138
100,170,-15.0,32049
100,175,-15.0,33044
100,180,-17.0,33801
100,185,-17.0,34763
100,190,-15.0,35758
100,195,-13.0,36753
100,200,-13.0,37606
100,205,-11.0,38601
100,210,-11.0,39596
100,215,-13.0,40493
100,220,-14.0,41350
100,225,-14.0,42343
100,230,-12.0,43338
100,235,-11.0,44333
100,240,-11.0,45328
100,245,-9.0,46323
100,250,-8.0,47318
100,255,-8.0,48313
100,260,-8.0,49308
100,265,-7.0,50303
100,270,-7.0,51246
100,275,-8.0,52181
100,280,-6.0,53176
100,285,-6.0,54045
100,290,-7.0,54953
100,295,-8.0,55843
100,300,-8.0,56796
100,305,-9.0,57791
100,310,-9.0,58786
100,315,-9.0,59521
100,320,-9.0,60427
100,325,-8.0,61422
100,330,-9.0,62287
100,335,-9.0,63282
100,340,-10.0,64248
100,345,-10.0,65243
100,350,-11.0,66227
100,355,-11.0,67222
100,360,-11.0,68217
100,365,-13.0,69029
100,370,-12.0,70024
100,375,-12.0,70971
100,380,-12.0,71966
100,385,-13.0,72802
100,390,-14.0,73645
100,395,-14.0,74556
100,400,-12.0,75551
100,405,-13.0,76439
100,410,-15.0,77381
100,415,-13.0,78376
100,420,-12.0,79329
100,425,-12.0,80324
100,430,-11.0,81319
100,435,-12.0,82299
100,440,-11.0,83294
100,445,-12.0,84289
100,450,-13.0,85143
100,455,-13.0,86138
100,460,-13.0,87133
100,465,-13.0,88069
100,470,-14.0,88992
100,475,-13.0,89967
100,480,-12.0,90962
100,485,-10.0,91957
100,490,-9.0,92785
100,495,-8.0,93780
100,500,-9.0,94689
100,505,-8.0,95637
100,510,-6.0,96632
100,515,-7.0,97607
100,520,-7.0,98602
100,525,-7.0,99597
100,530,-8.0,100590
100,535,-7.0,101485
100,540,-7.0,102480
100,545,-8.0,103332
100,550,-6.0,104226
100,555,-7.0,105117
100,560,-8.0,106108
100,565,-7.0,106997
100,570,-7.0,107972
100,575,-8.0,108923
100,580,-8.0,109918
100,585,-7.0,110913
100,590,-7.0,111787
100,595,-8.0,112720
100,600,-10.0,113611
100,605,-9.0,114606
100,610,-9.0,115601
100,615,-8.0,116596
100,620,-9.0,117558
100,625,-10.0,118436
100,630,-9.0,119431
100,635,-9.0,120261
100,640,-9.0,121256
100,645,-9.0,122219
100,650,-9.0,123214
100,655,-8.0,124209
100,660,-8.0,125174
100,665,-10.0,125976
100,670,-9.0,126971
100,675,-9.0,127882
100,680,-11.0,128771
100,685,-13.0,129710
100,690,-13.0,130665
100,695,-11.0,131660
100,700,-11.0,132517
100,705,-12.0,133506
100,710,-12.0,134501
100,715,-13.0,135448
100,720,-14.0,136271
100,725,-13.0,137266
100,730,-13.0,138261
100,735,-11.0,139256
100,740,-11.0,140251
100,745,-11.0,141198
100,750,-11.0,142193
100,755,-11.0,143153
100,760,-10.0,144148
100,765,-7.0,145143
100,770,-8.0,146065
100,775,-7.0,147060
100,780,-7.0,147993
100,785,-9.0,148652
100,790,-8.0,149647
100,795,-9.0,150642
100,800,-8.0,151622
100,805,-9.0,152539
100,810,-11.0,153283
100,815,-12.0,154187
100,820,-11.0,155098
100,825,-12.0,156046
100,830,-13.0,156995
100,835,-16.0,157963
100,840,-18.0,158874
100,845,-18.0,159744
100,850,-20.0,160561
100,855,-20.0,161556
100,860,-20.0,162551
100,865,-20.0,163546
100,870,-19.0,164541
100,875,-21.0,165446
100,880,-20.0,166429
100,885,-17.0,167424
100,890,-18.0,168412
100,895,-18.0,169407
100,900,-17.0,170402
100,905,-18.0,171272
100,910,-16.0,172175
100,915,-14.0,173170
100,920,-14.0,174034
100,925,-13.0,175029
100,930,-13.0,175921
100,935,-14.0,176742
100,940,-12.0,177737
100,945,-14.0,178538
100,950,-13.0,179464
100,955,-12.0,180459
100,960,-13.0,181450
100,965,-13.0,182445
100,970,-15.0,183374
100,975,-14.0,184323
100,980,-14.0,185317
100,985,-15.0,186248
100,990,-13.0,187243
100,995,-14.0,188119
100,1000,-15.0,189009
100,1005,-13.0,190004
100,1010,-14.0,190879
100,1015,-14.0,191874
100,1020,-14.0,192820
100,1025,-14.0,193763
100,1030,-15.0,194658
100,1035,-13.0,195582
100,1040,-15.0,196441
100,1045,-12.0,197436
100,1050,-12.0,198428
100,1055,-13.0,199423
100,1060,-12.0,200418
100,1065,-12.0,201413
100,1070,-9.0,202408
100,1075,-8.0,203403
100,1080,-8.0,204391
100,1085,-6.0,205386
100,1090,-8.0,206347
100,1095,-8.0,207207
100,1100,-7.0,208202
100,1105,-7.0,209197
100,1110,-8.0,210133
100,1115,-10.0,210959
100,1120,-10.0,211952
100,1125,-12.0,212823
100,1130,-10.0,213817
100,1135,-10.0,214812
100,1140,-10.0,215580
100,1145,-11.0,216451
100,1150,-11.0,217404
100,1155,-13.0,218266
100,1160,-14.0,219216
100,1165,-15.0,220111
100,1170,-15.0,221106
100,1175,-16.0,222048
100,1180,-16.0,223043
100,1185,-17.0,224038
100,1190,-18.0,224929
100,1195,-17.0,225924
100,1200,-17.0,226919
100,1205,-17.0,227914
100,1210,-14.0,228909
100,1215,-13.0,229808
100,1220,-12.0,230803
100,1225,-10.0,231798
100,1230,-12.0,232612
100,1235,-13.0,233599
100,1240,-12.0,234489
100,1245,-10.0,235484
100,1250,-10.0,236372
100,1255,-9.0,237349
100,1260,-10.0,238155
100,1265,-9.0,239150
100,1270,-11.0,240084
100,1275,-10.0,241041
100,1280,-10.0,241939
100,1285,-10.0,242934
100,1290,-9.0,243881
100,1295,-10.0,244732
100,1300,-12.0,245632
100,1305,-13.0,246536
