approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.012014343,0.16411133,1000.0,-682.0510764999999,-0.8119549751281738,764,1,8.404823,-0.04209686,2048,2.6790668060002645,2048,1.1719749
0.015851993,0.21601562,1000.0,-646.6989374999999,-0.4426696300506592,795,2,8.194113,-0.052635334,4096,5.253215795999495,4096,0.82153577
0.020662155,0.27719727,1000.0,-618.7146741666667,-0.22672998905181885,826,3,7.9732604,-0.062007777,6144,7.731766905999393,6144,0.58878213
0.018329363,0.24570313,1000.0,-606.868618125,-0.011632561683654785,820,4,7.751069,-0.0629143,8192,10.22892850899916,8192,0.6468941
0.02147995,0.29667968,1000.0,-587.3705159000001,0.07393276691436768,822,5,7.5464387,-0.065413214,10240,12.718472933998783,10240,0.46394944
0.020260232,0.28208008,1000.0,-559.77266825,0.17013323307037354,828,6,7.316945,-0.06309913,12288,15.190250661999016,12288,0.4038128
0.02043545,0.29560548,1000.0,-543.9294846428572,0.2249366044998169,821,7,7.0931077,-0.064212285,14336,17.682975785999588,14336,0.36685234
0.01499901,0.22680664,1000.0,-523.4217464999999,0.29674750566482544,824,8,6.878746,-0.054553814,16384,20.167286264999348,16384,0.32181656
0.01678111,0.22016601,1000.0,-502.9441614444443,0.39669525623321533,826,9,6.6754823,-0.05271851,18432,22.646085990998472,18432,0.33496538
0.018935736,0.23291016,1000.0,-493.1920445499999,0.3934638500213623,824,10,6.473667,-0.05949992,20480,25.130437247998998,20480,0.42348814
0.015439244,0.20815429,1000.0,-483.08231245454533,0.5322231650352478,831,11,6.261999,-0.053096645,22528,27.59407544199894,22528,0.30149043
0.014476788,0.20541993,1000.0,-468.25477316666667,0.5726955235004425,826,12,6.0805407,-0.050260197,24576,30.072206115999506,24576,0.27401832
0.012577452,0.18579102,1000.0,-453.73033915384616,0.6564739346504211,827,13,5.8965645,-0.046717856,26624,32.54921670799922,26624,0.2151479
0.01510237,0.21596679,1000.0,-440.79503589285713,0.679374635219574,834,14,5.7146807,-0.049334623,28672,35.002659960999154,28672,0.22618088
0.014052627,0.20654297,1000.0,-425.8629337333333,0.6629157662391663,825,15,5.5470986,-0.046573166,30720,37.484315338999295,30720,0.23743458
0.0138235,0.20288086,1000.0,-415.88265021875,0.7247160375118256,833,16,5.38357,-0.04596724,32768,39.94099219199961,32768,0.20576695
0.015072723,0.22114258,1000.0,-405.1505025294117,0.7238229811191559,842,17,5.2296205,-0.04977303,34816,42.372559734998504,34816,0.23751648
0.0155751975,0.22709961,1000.0,-394.5550951944444,0.7573867291212082,835,18,5.079159,-0.046048135,36864,44.82400729300025,36864,0.17646028
0.016141102,0.23671874,1000.0,-384.6618225526315,0.7569842338562012,828,19,4.943778,-0.048163034,38912,47.297589593999874,38912,0.19757624
0.016384276,0.23842773,1000.0,-374.23686534999996,0.7915070354938507,825,20,4.827054,-0.04694808,40960,49.77782282399858,40960,0.31649056
0.018324751,0.25556642,1000.0,-359.8868576046512,0.809116929769516,836,21,4.7334337,-0.047331125,43008,52.22676860199863,43008,0.24958532
0.018872082,0.2581543,1000.0,-350.31939437777777,0.8126446753740311,835,22,4.6155634,-0.050728895,45056,54.678147397999055,45056,0.24504323
0.016842958,0.24545899,1000.0,-340.83286261702125,0.7773889899253845,828,23,4.48577,-0.049821988,47104,57.14931841899852,47104,0.36620763
0.019387674,0.2659668,1000.0,-331.23304081632654,0.7879377752542496,832,24,4.3406415,-0.053812988,49152,59.6105056159995,49152,0.27965963
0.01722398,0.24257812,1000.0,-321.31501374509804,0.8343629837036133,830,25,4.2373137,-0.047348496,51200,62.0776150239999,51200,0.39011055
0.018146012,0.26064453,1000.0,-311.8967420943396,0.7986031770706177,834,26,4.121234,-0.04952552,53248,64.53173536899885,53248,0.30148143
0.01796998,0.2511719,1000.0,-303.0931575454545,0.7904283106327057,830,27,3.997229,-0.047103506,55296,66.99746633199902,55296,0.32085007
0.018862868,0.2625,1000.0,-293.93230003508774,0.7755307406187057,829,28,3.8767686,-0.052191347,57344,69.46633697699872,57344,0.34024394
0.018911146,0.25708008,1000.0,-284.9079770000001,0.7881360054016113,827,29,3.7559597,-0.04811828,59392,71.94117689999985,59392,0.3344259
0.019686716,0.26918945,1000.0,-275.1904172295082,0.7483988702297211,835,30,3.655059,-0.0495524,61440,74.39322118699965,61440,0.45751125
0.018299667,0.2637207,1000.0,-264.44843669841276,0.7642117440700531,828,31,3.542976,-0.049243186,63488,76.86645543199847,63488,0.3911592
0.01910319,0.25820312,1000.0,-253.22944103076924,0.7516742199659348,830,32,3.4280758,-0.0517398,65536,79.33312943799865,65536,0.4651628
0.019798491,0.27841797,1000.0,-242.42088914925372,0.7537273019552231,832,33,3.3161,-0.050292738,67584,81.79287963699971,67584,0.5772282
