# {"t_start": 1557720601.1438699, "env_id": "HalfCheetah-v2"} 
r,l,t
-646.13539,1000,2.152321
-550.581922,1000,3.080727
-723.73913,1000,4.983332
-628.043995,1000,5.894799
-547.222182,1000,7.696539
-540.92961,1000,8.583657
-512.50922,1000,10.409346
-502.245817,1000,11.291216
-530.511217,1000,13.072573
-445.872745,1000,13.970688
-387.044698,1000,15.736566
-471.481075,1000,16.628878
-429.229033,1000,18.427246
-271.168289,1000,19.307211
-373.974243,1000,21.080512
-267.362925,1000,21.963849
-414.892699,1000,23.74435
-361.64403,1000,24.645177
-448.429851,1000,26.438449
-403.68627,1000,27.33228
-383.711691,1000,29.197623
-378.472655,1000,30.120343
-379.818987,1000,31.9726
-331.970067,1000,32.940302
-339.51361,1000,34.845225
-311.724206,1000,35.746504
-307.403576,1000,37.650391
-350.605722,1000,38.563072
-268.384189,1000,40.433709
-291.13927,1000,41.347552
-298.695519,1000,43.203861
-266.993311,1000,44.112427
-177.798313,1000,45.9662
-225.198494,1000,46.859942
-195.651104,1000,48.742752
-232.692941,1000,49.654924
-227.025976,1000,51.534782
-190.35372,1000,52.455233
-205.669836,1000,54.336214
-207.191512,1000,55.262602
-217.129825,1000,57.146333
-219.575872,1000,58.061518
-200.132775,1000,58.988115
-126.183895,1000,60.839345
-142.339341,1000,61.772133
-159.632392,1000,63.621586
-183.946058,1000,64.543179
-109.469919,1000,66.409297
-117.490577,1000,67.340143
-75.694746,1000,69.161042
-105.15946,1000,70.086787
-100.588166,1000,71.902881
-96.1401,1000,72.834595
-72.83579,1000,74.679359
-75.175826,1000,75.585871
-39.244784,1000,77.471392
-60.173234,1000,78.427552
-61.422398,1000,80.340187
-15.170735,1000,81.326961
-3.97689,1000,83.256963
2.003274,1000,84.205954
-44.361492,1000,86.176225
13.425515,1000,87.126736
37.687966,1000,89.006991
-17.51343,1000,89.941268
29.622058,1000,91.83683
33.29757,1000,92.774197
65.249721,1000,94.671244
119.193846,1000,95.618337
82.273945,1000,97.52049
108.538422,1000,98.51009
60.118801,1000,100.470294
162.529981,1000,101.44144
76.774506,1000,103.427284
160.480977,1000,104.37729
182.450321,1000,106.373481
248.88138,1000,107.326954
138.012206,1000,109.268241
251.197589,1000,110.253385
217.16138,1000,112.200802
257.218677,1000,113.14871
300.071362,1000,115.092258
320.3749,1000,116.052432
338.74012,1000,117.985657
335.018435,1000,118.942379
356.429952,1000,119.890368
349.724096,1000,121.829525
388.052531,1000,122.776297
489.533739,1000,124.768567
362.100009,1000,125.694259
475.157359,1000,127.593424
447.280928,1000,128.515617
504.883237,1000,130.429473
520.694886,1000,131.354694
285.487113,1000,133.259995
561.994436,1000,134.18026
529.555445,1000,136.078946
548.015039,1000,136.990729
451.592387,1000,138.918924
522.658944,1000,139.840056
574.36522,1000,141.765323
586.770505,1000,142.680256
615.189157,1000,144.569553
380.817338,1000,145.489577
502.470352,1000,147.388746
550.567062,1000,148.305155
667.45211,1000,150.208496
611.576724,1000,151.156421
643.361602,1000,153.054477
566.986141,1000,153.961054
639.278086,1000,155.900231
689.694552,1000,156.816881
677.557531,1000,158.735609
668.617315,1000,159.638812
715.504879,1000,161.58916
706.56746,1000,162.510444
708.721448,1000,164.436053
696.9598,1000,165.333495
748.586568,1000,167.293539
696.16142,1000,168.194062
635.151666,1000,170.099438
735.22821,1000,171.008696
745.569599,1000,172.957637
713.286324,1000,173.875721
759.176978,1000,175.780281
740.493062,1000,176.690954
771.940593,1000,178.591415
739.419114,1000,179.500533
668.224057,1000,180.426817
798.028764,1000,182.336273
750.704854,1000,183.261825
807.347814,1000,185.172786
808.453299,1000,186.084911
731.80387,1000,187.986023
797.213265,1000,188.905735
861.403275,1000,190.890267
806.837544,1000,191.811514
842.412418,1000,193.761019
841.381008,1000,194.672906
715.138856,1000,196.604116
851.232349,1000,197.501856
622.374761,1000,199.427516
848.349163,1000,200.33268
889.198617,1000,202.24585
645.408822,1000,203.141584
829.165746,1000,205.066028
511.114822,1000,205.996298
828.660217,1000,207.89812
903.136996,1000,208.817186
853.275854,1000,210.746585
857.11663,1000,211.648756
893.220773,1000,213.544286
862.881639,1000,214.430567
911.630696,1000,216.295939
805.276141,1000,217.192507
941.93219,1000,219.03481
886.755103,1000,219.922986
758.787895,1000,221.819721
904.705942,1000,222.711169
637.678549,1000,224.570552
870.67217,1000,225.4451
919.552114,1000,227.293256
959.243979,1000,228.185905
981.941001,1000,230.080565
560.850886,1000,230.967002
949.968869,1000,232.86476
946.125566,1000,233.76912
996.123988,1000,235.673662
971.091446,1000,236.566171
990.561223,1000,238.436465
990.614972,1000,239.322332
943.902484,1000,240.209659
973.686955,1000,242.109452
901.624767,1000,243.02062
954.315177,1000,244.852739
970.594892,1000,245.743741
991.574273,1000,247.604835
993.658574,1000,248.517374
940.105494,1000,250.371922
1016.624297,1000,251.26933
981.929085,1000,253.151398
992.94412,1000,254.049778
961.242856,1000,255.913013
975.256151,1000,256.816343
1032.831001,1000,258.704378
835.575358,1000,259.594619
969.224435,1000,261.448779
838.061481,1000,262.350424
1048.54025,1000,264.191003
1056.220031,1000,265.081141
1046.935232,1000,266.94022
792.234822,1000,267.82802
1065.295784,1000,269.692674
922.997668,1000,270.58715
769.019081,1000,272.401711
900.062954,1000,273.276866
1006.799034,1000,275.078782
-8.917091,1000,275.952907
887.016425,1000,277.738425
1065.687798,1000,278.609303
897.651186,1000,280.42728
588.089536,1000,281.313446
958.382039,1000,283.130112
1048.556786,1000,284.005082
1002.005726,1000,285.84514
968.634522,1000,286.721089
1054.755291,1000,288.553019
1062.181018,1000,289.432158
949.996536,1000,291.213174
606.125284,1000,292.086622
912.754859,1000,293.895896
1051.9999,1000,294.777767
1036.40138,1000,296.582821
777.901085,1000,297.464948
1054.984513,1000,298.341198
952.884616,1000,300.140439
1117.544714,1000,301.025353
1118.716242,1000,302.831573
1043.179066,1000,303.69631
1118.115114,1000,305.474265
1063.022502,1000,306.339985
1090.859969,1000,308.151371
943.768638,1000,309.016092
1072.631588,1000,310.844972
1052.742731,1000,311.699607
1119.907344,1000,313.512712
865.339474,1000,314.383104
948.624968,1000,316.19697
1095.095662,1000,317.063212
1089.821334,1000,318.87522
1040.823983,1000,319.729751
734.908144,1000,321.553773
1084.690033,1000,322.41122
1029.447194,1000,324.261366
1034.720223,1000,325.129149
956.115031,1000,326.971087
1088.903065,1000,327.829466
902.903435,1000,329.636093
1036.723907,1000,330.501735
1129.134154,1000,332.31036
819.990775,1000,333.183066
1128.696683,1000,334.987028
959.818395,1000,335.857662
749.218166,1000,337.680888
1116.106824,1000,338.546238
1066.907332,1000,340.351572
1129.809486,1000,341.233664
737.424192,1000,343.056188
1044.566692,1000,343.926046
633.05385,1000,345.738809
447.818243,1000,346.620693
996.699458,1000,348.409948
510.1684,1000,349.281368
1017.110848,1000,351.094625
1081.660832,1000,351.965198
1059.820632,1000,352.83395
1041.33374,1000,354.633026
944.297359,1000,355.49993
