# {"t_start": 1557719853.0027542, "env_id": "HalfCheetah-v2"} 
r,l,t
-833.37869,1000,1.925719
-716.096447,1000,2.772616
-730.817176,1000,4.445216
-463.449756,1000,5.258566
-491.694184,1000,6.89926
-688.950424,1000,7.697393
-696.226506,1000,9.259694
-440.581198,1000,10.062863
-516.022262,1000,11.60384
-575.633584,1000,12.405564
-515.543932,1000,13.950553
-511.091315,1000,14.745781
-473.159402,1000,16.25973
-548.060723,1000,17.087972
-561.951024,1000,18.652568
-623.049897,1000,19.448109
-520.044258,1000,21.003404
-530.807684,1000,21.804755
-574.922562,1000,23.325612
-584.760042,1000,24.122368
-580.860158,1000,25.667958
-512.141201,1000,26.491813
-477.320186,1000,28.001299
-335.440507,1000,28.807638
-718.193514,1000,30.302913
-540.463682,1000,31.12456
-428.200679,1000,32.624867
-512.527409,1000,33.450781
-370.86255,1000,34.972037
-583.404611,1000,35.795184
-423.021572,1000,37.294645
-540.84142,1000,38.134732
-448.024316,1000,39.639876
-397.353169,1000,40.467673
-440.200944,1000,41.979692
-496.958266,1000,42.817171
-362.278903,1000,44.334034
-433.800145,1000,45.164585
-389.371239,1000,46.680082
-385.173408,1000,47.511471
-455.137502,1000,49.02302
-466.53046,1000,49.870314
-431.34491,1000,50.650491
-457.3579,1000,52.194125
-506.582798,1000,52.971584
-446.787321,1000,54.522589
-385.712131,1000,55.293931
-420.810645,1000,56.828488
-402.570803,1000,57.662592
-359.54422,1000,59.273295
-425.364608,1000,60.062491
-399.186256,1000,61.724999
-401.57945,1000,62.591833
-368.995572,1000,64.244072
-408.399348,1000,65.107785
-276.709915,1000,66.744431
-355.55601,1000,67.58143
-302.217556,1000,69.18157
-361.456354,1000,70.011902
-337.450608,1000,71.618362
-370.508486,1000,72.437267
-356.747795,1000,74.036843
-354.851802,1000,74.881199
-486.693343,1000,76.458431
-421.356842,1000,77.300443
-369.325999,1000,78.895801
-292.564743,1000,79.719683
-325.405851,1000,81.327265
-401.314636,1000,82.170784
-384.973235,1000,83.725021
-289.560349,1000,84.556263
-229.484127,1000,86.130252
-325.074056,1000,86.970442
-274.404656,1000,88.530223
-307.287928,1000,89.371724
-308.648126,1000,90.961114
-293.011119,1000,91.795104
-287.295567,1000,93.335912
-259.970337,1000,94.193686
-254.897262,1000,95.733166
-291.386605,1000,96.589002
-237.083291,1000,98.160591
-272.465735,1000,99.013239
-271.765078,1000,100.544966
-217.261606,1000,101.402685
-261.306222,1000,102.202694
-276.45566,1000,103.80194
-339.934919,1000,104.598058
-248.20023,1000,106.181619
-243.298614,1000,106.981872
-147.913471,1000,108.55375
-229.225583,1000,109.37118
-169.042454,1000,110.97064
-150.644165,1000,111.781346
-184.482526,1000,113.377342
-291.459492,1000,114.19577
-298.125438,1000,115.768345
-162.341352,1000,116.589853
-241.164893,1000,118.195376
-175.622768,1000,119.027187
-142.569639,1000,120.59023
-136.423019,1000,121.416526
-184.960048,1000,122.974127
-113.966052,1000,123.788661
-185.770769,1000,125.351691
-121.49326,1000,126.179896
-100.285884,1000,127.754829
-88.58676,1000,128.593261
-238.837505,1000,130.154598
-182.412375,1000,130.998115
-123.24597,1000,132.554814
-53.154196,1000,133.387046
-161.589078,1000,134.97534
-77.435557,1000,135.805188
-49.40061,1000,137.378851
-41.019637,1000,138.212022
-54.394477,1000,139.78326
-99.140122,1000,140.621024
19.884766,1000,142.207103
32.603829,1000,143.046614
18.312672,1000,144.623076
-260.453224,1000,145.45479
13.298127,1000,147.02184
-209.910385,1000,147.861815
32.808581,1000,149.42171
11.051341,1000,150.261612
28.16218,1000,151.810021
-37.804602,1000,152.650821
10.526456,1000,153.471021
33.296265,1000,155.054151
44.244812,1000,155.855973
32.016535,1000,157.457353
42.651883,1000,158.280947
10.755074,1000,159.851561
35.888643,1000,160.668008
107.441417,1000,162.288655
-16.936861,1000,163.142263
32.281212,1000,164.729722
9.611802,1000,165.66728
32.87435,1000,167.388066
10.850265,1000,168.249734
174.397959,1000,169.947349
102.050356,1000,170.829296
31.602027,1000,172.467693
147.146608,1000,173.324453
91.311664,1000,174.931349
113.108716,1000,175.777427
161.218281,1000,177.410343
160.08484,1000,178.283356
285.722677,1000,179.889304
246.687674,1000,180.73912
245.422975,1000,182.395311
191.880039,1000,183.246884
136.053383,1000,184.842052
149.949696,1000,185.691741
167.705425,1000,187.310673
179.46311,1000,188.150764
234.353357,1000,189.744468
265.218605,1000,190.584479
336.2154,1000,192.195601
264.754646,1000,193.040756
277.608123,1000,194.66336
335.352368,1000,195.507053
335.76914,1000,197.113054
251.637096,1000,197.965089
252.200241,1000,199.563374
229.279492,1000,200.399434
363.399461,1000,202.010807
423.30082,1000,202.848073
329.408242,1000,204.446528
327.422094,1000,205.286043
268.512873,1000,206.135383
334.962742,1000,207.744078
405.040128,1000,208.595317
279.135365,1000,210.200818
495.088166,1000,211.055526
390.642329,1000,212.650723
496.338054,1000,213.501418
343.44481,1000,215.111066
475.335111,1000,215.95982
397.172516,1000,217.54521
420.847948,1000,218.404441
374.715127,1000,219.971958
438.826424,1000,220.817577
515.911989,1000,222.418051
498.409084,1000,223.258259
325.419646,1000,224.858311
562.121722,1000,225.706215
528.801701,1000,227.326323
600.137062,1000,228.173279
489.574832,1000,229.770005
533.712407,1000,230.618194
472.984056,1000,232.226693
578.097684,1000,233.076025
588.614129,1000,234.671742
525.45601,1000,235.510505
600.455752,1000,237.123804
557.093613,1000,237.959084
554.071733,1000,239.553744
557.982127,1000,240.389127
613.326045,1000,242.002874
595.915936,1000,242.841987
641.393175,1000,244.453475
435.578057,1000,245.301198
572.603882,1000,246.909463
629.695944,1000,247.747442
683.596365,1000,249.357317
637.644422,1000,250.18639
666.087274,1000,251.795714
360.272507,1000,252.62623
710.059768,1000,254.234229
505.458415,1000,255.082317
709.926832,1000,256.696688
671.591399,1000,257.541418
729.473197,1000,258.375863
705.680302,1000,260.010678
654.397588,1000,260.861825
745.665825,1000,262.512791
618.987651,1000,263.351233
778.593927,1000,264.963541
670.023039,1000,265.806217
481.045726,1000,267.434622
438.018051,1000,268.279381
591.33429,1000,269.903035
426.659556,1000,270.72731
784.262021,1000,272.332934
613.233023,1000,273.159424
686.903009,1000,274.766904
531.413869,1000,275.590528
510.789141,1000,277.208008
734.913957,1000,278.036788
730.955185,1000,279.651734
691.976649,1000,280.473126
387.487497,1000,282.089906
662.200755,1000,282.918171
679.010765,1000,284.521509
810.498441,1000,285.359054
722.193265,1000,286.984317
768.575654,1000,287.805151
705.567877,1000,289.441303
735.985745,1000,290.267798
649.187921,1000,291.875449
765.313062,1000,292.698854
666.448703,1000,294.313648
759.678229,1000,295.136041
681.448398,1000,296.752915
790.645368,1000,297.583311
648.935234,1000,299.196706
734.997783,1000,300.027882
793.114552,1000,301.62927
619.641182,1000,302.470214
