# {"t_start": 1557819856.1143284, "env_id": "HalfCheetah-v2"} 
r,l,t
-718.383613,1000,1.828274
-759.164141,1000,2.676129
-621.955131,1000,4.202427
-588.201837,1000,5.030875
-582.423621,1000,6.549429
-627.102793,1000,7.356952
-684.459121,1000,8.775267
-549.770742,1000,9.573898
-422.096797,1000,11.024281
-434.167808,1000,11.806825
-403.334085,1000,13.253951
-410.547902,1000,14.056939
-419.70596,1000,15.49469
-400.730089,1000,16.284352
-478.264523,1000,17.747859
-320.170884,1000,18.540481
-452.830919,1000,19.965272
-474.831342,1000,20.753231
-405.982205,1000,22.2113
-371.960034,1000,23.004669
-360.660144,1000,24.437916
-337.135135,1000,25.216158
-311.817461,1000,26.664526
-338.6307,1000,27.445438
-321.995728,1000,28.909288
-239.298946,1000,29.704737
-324.868044,1000,31.188618
-333.808699,1000,31.969822
-295.472316,1000,33.441805
-281.264274,1000,34.251621
-288.289365,1000,35.709601
-307.736962,1000,36.509304
-249.767648,1000,37.979578
-191.292048,1000,38.77757
-150.916069,1000,40.22337
-238.641094,1000,40.988703
-213.72499,1000,42.457537
-220.347059,1000,43.226919
-147.531657,1000,44.675117
-205.524206,1000,45.454672
-250.276727,1000,46.907739
-190.936683,1000,47.660066
-161.253205,1000,48.467576
-173.904314,1000,49.884236
-194.642871,1000,50.697009
-152.402691,1000,52.10221
-166.340777,1000,52.917241
-133.160224,1000,54.342065
-146.030578,1000,55.137213
-112.709266,1000,56.548808
-134.949884,1000,57.363325
-114.937283,1000,58.783292
-163.039927,1000,59.589711
-64.891464,1000,61.00382
-64.354363,1000,61.812623
-64.827727,1000,63.242867
-99.752153,1000,64.0429
-98.126683,1000,65.498497
-88.663051,1000,66.311598
-57.953492,1000,67.748134
-72.861557,1000,68.556549
-42.914497,1000,69.992191
-21.370006,1000,70.801119
-60.687221,1000,72.209684
-85.947478,1000,73.024675
-10.324746,1000,74.436555
-27.866114,1000,75.225258
-20.244484,1000,76.640483
-39.025732,1000,77.431053
-1.151284,1000,78.853515
-14.322871,1000,79.629016
-21.674693,1000,81.092461
-5.865517,1000,81.873464
26.075991,1000,83.28707
31.565606,1000,84.07281
45.323114,1000,85.528524
76.562446,1000,86.305432
57.304899,1000,87.729579
87.849696,1000,88.503771
80.330433,1000,89.962753
58.704699,1000,90.73181
113.168773,1000,92.162585
108.383441,1000,92.935225
98.630914,1000,94.383968
19.139961,1000,95.148141
103.810378,1000,95.934659
127.237112,1000,97.343259
157.090765,1000,98.13208
180.616808,1000,99.547119
153.595012,1000,100.343122
182.512088,1000,101.752693
157.11202,1000,102.547472
232.050152,1000,103.954221
205.323656,1000,104.75813
233.393129,1000,106.155425
318.580149,1000,106.953984
186.219069,1000,108.353366
332.946745,1000,109.159046
361.445609,1000,110.56883
357.404782,1000,111.372077
407.917818,1000,112.781698
423.341048,1000,113.589488
376.175255,1000,115.012577
464.218295,1000,115.806092
487.212937,1000,117.211435
486.459766,1000,118.011175
504.545924,1000,119.422531
463.945998,1000,120.221883
598.814834,1000,121.628374
538.10297,1000,122.42829
548.001625,1000,123.849254
599.029801,1000,124.634271
597.114656,1000,126.055902
545.439959,1000,126.839829
580.559225,1000,128.26785
614.015286,1000,129.037872
661.451579,1000,130.473699
620.569403,1000,131.252777
600.918493,1000,132.687525
651.696221,1000,133.468802
506.137179,1000,134.902125
667.038806,1000,135.667422
637.588723,1000,137.116058
583.339912,1000,137.874663
677.308307,1000,139.298383
747.2676,1000,140.056384
709.621935,1000,141.54645
652.277752,1000,142.322571
707.052548,1000,143.123836
743.958399,1000,144.536031
723.520022,1000,145.32752
781.469177,1000,146.745304
639.812176,1000,147.527155
730.673455,1000,148.94332
677.82589,1000,149.743571
584.173686,1000,151.142777
626.237881,1000,151.939008
804.16043,1000,153.356422
747.149585,1000,154.157933
421.943856,1000,155.586674
789.749377,1000,156.375639
794.578452,1000,157.791265
482.201718,1000,158.58522
786.891817,1000,159.99896
800.542707,1000,160.812768
697.824013,1000,162.282598
855.087413,1000,163.067969
816.876171,1000,164.54144
805.618273,1000,165.322663
774.767869,1000,166.747866
809.57979,1000,167.526495
840.696462,1000,168.969374
815.643311,1000,169.753182
847.126509,1000,171.210268
754.104583,1000,171.995076
787.113124,1000,173.496131
517.625068,1000,174.291612
450.611335,1000,175.818553
786.789537,1000,176.628521
780.290915,1000,178.250266
824.941742,1000,179.094162
852.491679,1000,180.628482
885.115165,1000,181.463462
922.424692,1000,183.000117
887.345709,1000,183.786246
912.025805,1000,185.298313
840.154446,1000,186.098233
891.004462,1000,187.588545
680.188137,1000,188.382382
842.494972,1000,189.873734
700.821266,1000,190.710267
909.224805,1000,191.517064
859.24596,1000,193.04534
912.018917,1000,193.885709
908.224238,1000,195.483096
881.572167,1000,196.344069
934.065226,1000,197.984252
908.094822,1000,198.852113
949.41108,1000,200.398456
934.468947,1000,201.25244
904.662133,1000,202.763755
938.001547,1000,203.570978
856.628575,1000,205.100879
932.143759,1000,205.939259
952.856473,1000,207.45556
968.498292,1000,208.270359
727.629326,1000,209.914567
980.010601,1000,210.746792
973.506885,1000,212.409546
962.860562,1000,213.267345
969.983927,1000,214.954085
996.690478,1000,215.796907
987.488388,1000,217.467969
931.118186,1000,218.34348
949.727129,1000,219.919
943.569608,1000,220.755425
967.780323,1000,222.324175
970.925603,1000,223.146138
958.372569,1000,224.699863
944.213412,1000,225.5226
963.811511,1000,227.087003
635.726601,1000,227.914563
963.597098,1000,229.469273
983.961538,1000,230.301868
937.046694,1000,231.849765
818.628738,1000,232.689865
928.323192,1000,234.310137
946.268104,1000,235.156277
877.433671,1000,236.770881
832.802403,1000,237.622181
920.222364,1000,239.338626
892.989823,1000,240.232928
925.369645,1000,241.948319
906.204477,1000,242.831075
868.762432,1000,243.691704
950.829364,1000,245.37595
939.292597,1000,246.255915
858.45712,1000,247.872265
961.496244,1000,248.71944
945.249128,1000,250.386563
886.216436,1000,251.230361
941.935112,1000,252.906112
900.755891,1000,253.775356
996.68284,1000,255.469761
993.624963,1000,256.406633
967.314651,1000,258.196209
1002.037838,1000,259.090613
1021.257421,1000,260.820049
957.285046,1000,261.692376
957.148267,1000,263.460804
1015.321331,1000,264.319831
1004.461605,1000,266.051109
908.392921,1000,266.909181
1060.275507,1000,268.643447
874.187383,1000,269.500094
999.509291,1000,271.212732
992.473028,1000,272.053218
1020.535261,1000,273.779225
969.576052,1000,274.64027
924.554794,1000,276.385835
964.89887,1000,277.232117
970.690648,1000,279.047861
950.824348,1000,279.914371
968.788807,1000,281.762368
984.92861,1000,282.639304
992.418658,1000,284.449441
965.609715,1000,285.337625
964.758929,1000,287.102433
1015.250872,1000,287.968755
965.226097,1000,289.770786
824.460085,1000,290.640155
1025.035088,1000,292.408117
1010.639203,1000,293.277336
998.941885,1000,295.075621
1024.008095,1000,295.937886
1033.504012,1000,296.823054
1030.999832,1000,298.584718
1024.295125,1000,299.45593
1023.895317,1000,301.223854
983.574637,1000,302.11072
1039.981885,1000,303.868722
1033.567609,1000,304.739187
768.203148,1000,306.507594
1111.678865,1000,307.390132
1076.396422,1000,309.174663
1081.44505,1000,310.046409
1048.34948,1000,311.803975
915.083511,1000,312.661639
1047.764411,1000,314.431884
1070.908689,1000,315.292598
889.931369,1000,317.05828
1077.213109,1000,317.91664
868.650787,1000,319.698444
1031.164759,1000,320.570653
1070.222354,1000,322.34573
1078.064586,1000,323.195368
1072.405164,1000,324.99389
621.535214,1000,325.856696
1058.607634,1000,327.642012
1044.274288,1000,328.494224
1058.003702,1000,330.293081
1049.996486,1000,331.163969
1045.458647,1000,332.942489
987.712578,1000,333.78829
1052.954715,1000,335.559454
1095.410739,1000,336.408247
1075.429537,1000,338.176883
1061.036295,1000,339.047879
1083.561227,1000,340.825676
1043.637028,1000,341.68518
1085.361285,1000,343.459546
1088.608951,1000,344.322261
1074.969193,1000,346.104788
1085.660443,1000,346.96391
-48.314623,1000,348.728894
1074.111966,1000,349.579336
1107.872916,1000,351.353914
1077.903295,1000,352.222544
603.882062,1000,353.102234
876.092424,1000,354.849847
548.538461,1000,355.728081
644.903136,1000,357.503243
955.552802,1000,358.368672
1090.427492,1000,360.125619
1053.900033,1000,360.995554
1081.921975,1000,362.735383
915.090638,1000,363.62801
111.263425,1000,365.391534
1029.049059,1000,366.280621
844.210841,1000,368.029219
1041.614316,1000,368.896352
1004.478663,1000,370.646437
1060.133714,1000,371.516617
1044.808987,1000,373.265138
886.589816,1000,374.138296
727.755824,1000,375.896698
1058.013376,1000,376.766031
651.186819,1000,378.500974
1078.232982,1000,379.375033
1002.118793,1000,381.164782
1052.410783,1000,382.045527
983.010323,1000,383.782339
1107.077865,1000,384.65972
629.358623,1000,386.435027
1107.324996,1000,387.304462
1039.396035,1000,389.055065
841.113677,1000,389.935736
963.940956,1000,391.666381
1102.290636,1000,392.548241
735.943225,1000,394.284401
1127.100639,1000,395.151535
1061.076964,1000,396.870564
1098.126584,1000,397.758467
1071.524167,1000,399.450602
1002.691466,1000,400.334371
1052.078434,1000,402.057262
1098.157058,1000,402.952297
1047.209202,1000,404.641766
770.195711,1000,405.533809
845.441015,1000,407.220607
441.688643,1000,408.13258
1061.109045,1000,408.995028
1050.562623,1000,410.739729
1061.521591,1000,411.586168
745.818087,1000,413.293452
306.848985,1000,414.161202
882.85278,1000,415.876622
1059.360098,1000,416.745524
1032.813604,1000,418.45795
912.680172,1000,419.316493
1046.234126,1000,421.035271
-138.55565,1000,421.920464
820.061254,1000,423.606717
680.278342,1000,424.491325
204.23677,1000,426.171176
-173.02106,1000,427.076658
962.772691,1000,428.737935
892.930466,1000,429.644658
392.071114,1000,431.318779
920.787962,1000,432.21462
986.479799,1000,433.934648
399.334084,1000,434.831485
658.161832,1000,436.505572
1052.213374,1000,437.405471
1050.750722,1000,439.058224
127.224949,1000,439.970511
401.021104,1000,441.646877
235.995593,1000,442.559942
292.385794,1000,444.242964
633.735566,1000,445.139859
-174.192228,1000,446.827604
1006.674221,1000,447.713183
-57.854883,1000,449.4298
-189.899984,1000,450.33779
973.363027,1000,452.027276
913.372918,1000,452.903207
-195.767505,1000,454.595968
-193.568572,1000,455.481001
588.400381,1000,457.180676
788.639535,1000,458.058255
-223.646606,1000,459.772197
-183.45923,1000,460.653831
694.346719,1000,462.368272
1011.504852,1000,463.244101
261.91272,1000,464.154446
767.245712,1000,465.854006
574.5698,1000,466.752973
958.737074,1000,468.413896
811.647041,1000,469.313855
898.931237,1000,470.997834
421.648467,1000,471.901372
-173.096768,1000,473.604384
-186.906921,1000,474.502503
524.735365,1000,476.232534
-191.4002,1000,477.149568
1007.34021,1000,478.832432
-157.68418,1000,479.731292
46.263529,1000,481.465065
867.063066,1000,482.368958
-133.503111,1000,484.074771
-134.992782,1000,484.953009
-141.483091,1000,486.668865
-135.80935,1000,487.561158
-113.209533,1000,489.289136
-127.588075,1000,490.192328
-146.121688,1000,491.908821
-122.230895,1000,492.827848
-159.452363,1000,494.539263
-120.962276,1000,495.434533
-121.09669,1000,497.160802
-141.178775,1000,498.052661
-154.875441,1000,499.768593
473.809293,1000,500.650657
-156.33353,1000,502.377724
-164.34557,1000,503.250894
-131.352911,1000,504.971698
163.279995,1000,505.852125
-152.688482,1000,507.572552
-96.621479,1000,508.452265
-132.824774,1000,510.174724
249.851937,1000,511.059575
-166.168049,1000,512.796109
164.370246,1000,513.680063
-154.72531,1000,515.414535
1036.784704,1000,516.307533
-152.152645,1000,518.043111
199.50377,1000,518.91458
-1.947466,1000,519.797249
1075.940513,1000,521.50788
904.686078,1000,522.389285
-141.19895,1000,524.100199
138.868243,1000,524.994131
-27.309654,1000,526.744628
975.494775,1000,527.615165
880.236636,1000,529.313552
823.942178,1000,530.191254
886.65052,1000,531.889955
-155.955346,1000,532.779391
985.407956,1000,534.500171
-137.031081,1000,535.379317
-121.887443,1000,537.137155
-95.120066,1000,538.028582
959.97755,1000,539.751337
-116.996525,1000,540.633408
-134.882936,1000,542.400581
604.143626,1000,543.276749
-134.77437,1000,545.011098
-106.606245,1000,545.889886
-116.626847,1000,547.628355
-84.65982,1000,548.514131
-106.247341,1000,550.273237
-113.988922,1000,551.155168
-81.728622,1000,552.888317
-79.628538,1000,553.785166
-110.732577,1000,555.532845
-96.820195,1000,556.41985
-113.339463,1000,558.180513
-117.417928,1000,559.072552
-111.145285,1000,560.81139
-102.451106,1000,561.690957
-109.969281,1000,563.41687
-121.279159,1000,564.303117
-121.734535,1000,566.055133
-110.188326,1000,566.960258
-131.443315,1000,568.731121
-128.983885,1000,569.626884
-139.061548,1000,571.352145
-120.088038,1000,572.266739
-130.266297,1000,574.016951
-134.156146,1000,574.935478
-120.731495,1000,575.851185
-122.032918,1000,577.596847
-126.881753,1000,578.497669
-117.298691,1000,580.271435
-130.783013,1000,581.188715
-121.034522,1000,582.941495
-118.502678,1000,583.850084
-114.170256,1000,585.589231
-114.249548,1000,586.511735
-107.521896,1000,588.251105
-102.714991,1000,589.189191
-113.302512,1000,590.943751
-107.587152,1000,591.856498
-108.026593,1000,593.601582
-106.998788,1000,594.512845
-95.626064,1000,596.251597
-94.227269,1000,597.177933
-98.383281,1000,598.911905
-91.863086,1000,599.826676
-83.053923,1000,601.587256
-78.61257,1000,602.496755
-83.456807,1000,604.230955
-76.55667,1000,605.15572
-75.503355,1000,606.883884
-81.957854,1000,607.801318
-67.79796,1000,609.550074
-62.848549,1000,610.447185
-62.329415,1000,612.156649
-57.086194,1000,613.08864
-64.203674,1000,614.79916
-51.246027,1000,615.711294
-38.083899,1000,617.448715
-47.966817,1000,618.37143
-50.463008,1000,620.100212
-48.526464,1000,621.008364
-42.563138,1000,622.728131
-46.267824,1000,623.626012
-45.53016,1000,625.35475
-12.369547,1000,626.291798
-16.365138,1000,627.996031
-22.404275,1000,628.918877
-14.820503,1000,629.826764
-14.482159,1000,631.559957
-15.569052,1000,632.472314
15.680031,1000,634.224544
2.811925,1000,635.124567
31.428972,1000,636.857858
60.307479,1000,637.758925
48.616373,1000,639.481345
63.560206,1000,640.379799
74.34368,1000,642.126149
84.496246,1000,643.018204
105.431837,1000,644.727061
116.02555,1000,645.62435
102.911519,1000,647.326071
131.289857,1000,648.218874
170.718036,1000,649.921905
161.358403,1000,650.813289
176.772336,1000,652.525002
170.988261,1000,653.413687
191.753808,1000,655.123286
206.505554,1000,656.01822
233.797207,1000,657.734152
215.863581,1000,658.634514
257.667112,1000,660.357763
313.433262,1000,661.263571
292.763479,1000,662.986887
320.805721,1000,663.886896
306.245597,1000,665.650385
317.115563,1000,666.540095
326.992376,1000,668.254923
346.031895,1000,669.140987
367.492972,1000,670.855707
387.124544,1000,671.753353
382.486754,1000,673.474774
424.76074,1000,674.378973
465.544989,1000,676.097205
487.126282,1000,677.015534
503.977211,1000,678.743349
534.713161,1000,679.654979
486.846424,1000,681.393343
493.056245,1000,682.288757
533.120701,1000,684.002215
550.238418,1000,684.911695
592.027021,1000,685.783114
605.06552,1000,687.545586
627.61794,1000,688.418154
566.451713,1000,690.160939
608.07082,1000,691.038518
511.772971,1000,692.776798
634.933575,1000,693.651952
663.981674,1000,695.363381
633.205766,1000,696.225364
636.691065,1000,697.96661
604.415,1000,698.845955
614.361977,1000,700.591328
683.540154,1000,701.456671
561.836673,1000,703.190169
696.120977,1000,704.059493
734.039434,1000,705.83101
647.415164,1000,706.704717
583.914639,1000,708.482362
648.703715,1000,709.362429
699.044796,1000,711.090866
727.979845,1000,711.968609
656.89486,1000,713.744653
678.234981,1000,714.608443
687.397644,1000,716.363251
728.263062,1000,717.225694
711.234964,1000,718.97444
799.105277,1000,719.8416
808.382795,1000,721.581992
852.257195,1000,722.455062
734.911332,1000,724.184156
783.061703,1000,725.060455
793.004967,1000,726.797856
893.206044,1000,727.664456
904.206523,1000,729.419453
831.401642,1000,730.295017
889.018477,1000,732.028919
931.066685,1000,732.913132
952.611644,1000,734.640044
978.825961,1000,735.517962
973.837538,1000,737.250452
909.479514,1000,738.127423
887.874922,1000,739.82092
988.713223,1000,740.72492
963.3933,1000,741.582787
941.820916,1000,743.338955
1014.503692,1000,744.202313
960.950858,1000,745.954063
1040.825605,1000,746.824257
992.47704,1000,748.553788
1057.884051,1000,749.438434
1061.074602,1000,751.162529
1055.627879,1000,752.030175
1074.66794,1000,753.81453
