# {"t_start": 1557719604.3206022, "env_id": "HalfCheetah-v2"} 
r,l,t
-629.89451,1000,1.562116
-756.176992,1000,2.266137
-586.411023,1000,3.655946
-673.346018,1000,4.33937
-566.496894,1000,5.631728
-523.638082,1000,6.31106
-542.194832,1000,7.600585
-535.951084,1000,8.276882
-545.596049,1000,9.576102
-463.476746,1000,10.253282
-307.813183,1000,11.550432
-479.944934,1000,12.213819
-350.114612,1000,13.510196
-309.01483,1000,14.191028
-452.87415,1000,15.488881
-330.253976,1000,16.166819
-410.187893,1000,17.454555
-631.546411,1000,18.125795
-417.79076,1000,19.428895
-390.213294,1000,20.105207
-360.450116,1000,21.394127
-404.349488,1000,22.069825
-369.316367,1000,23.358871
-258.819608,1000,24.023609
-368.152203,1000,25.331739
-303.947798,1000,26.005798
-250.571585,1000,27.324744
-336.063566,1000,27.992656
-197.064738,1000,29.292649
-285.865298,1000,29.96312
-285.40714,1000,31.262217
-274.506016,1000,31.926164
-267.512513,1000,33.240953
-263.840129,1000,33.913467
-264.835618,1000,35.224011
-219.897766,1000,35.880831
-200.610555,1000,37.186721
-193.574679,1000,37.86853
-181.742041,1000,39.183526
-156.981445,1000,39.858726
-192.864668,1000,41.163593
-143.085559,1000,41.83008
-173.301799,1000,42.588294
-148.62406,1000,43.865042
-112.203623,1000,44.609184
-110.856926,1000,45.921059
-101.507562,1000,46.700772
-100.956224,1000,48.057808
-120.743198,1000,48.858378
-86.351001,1000,50.214756
-132.840864,1000,51.020596
-58.853773,1000,52.354294
-17.532117,1000,53.144021
-67.48281,1000,54.462178
7.700284,1000,55.246423
-68.410447,1000,56.565737
-17.39063,1000,57.345214
17.850006,1000,58.667633
91.008106,1000,59.436527
59.035107,1000,60.75363
80.084743,1000,61.521111
102.937697,1000,62.852921
105.527764,1000,63.607313
107.249744,1000,64.945802
128.03727,1000,65.717618
129.012454,1000,67.049754
164.193985,1000,67.813563
177.825012,1000,69.148297
206.255778,1000,69.927327
225.451855,1000,71.275981
257.357439,1000,72.036776
292.769016,1000,73.378244
319.804204,1000,74.137441
265.816163,1000,75.483175
348.6175,1000,76.234174
343.770527,1000,77.569187
310.686937,1000,78.331113
399.944649,1000,79.688118
415.396967,1000,80.438949
428.402856,1000,81.791174
433.602522,1000,82.539473
418.101778,1000,83.89697
385.854783,1000,84.631988
478.146878,1000,85.97288
475.669779,1000,86.716127
466.666006,1000,87.481037
465.51666,1000,88.825129
489.97786,1000,89.592747
516.950211,1000,90.941047
532.052859,1000,91.687742
510.894835,1000,93.054209
579.496839,1000,93.798669
539.596678,1000,95.135057
567.702379,1000,95.881563
588.353281,1000,97.205996
488.959082,1000,97.965353
450.632976,1000,99.277378
551.098478,1000,100.047099
618.044924,1000,101.367421
526.982131,1000,102.131832
506.365581,1000,103.47827
679.590206,1000,104.241292
511.520364,1000,105.567959
422.441577,1000,106.32977
584.562686,1000,107.653103
612.032959,1000,108.409087
598.122867,1000,109.744563
566.720963,1000,110.507288
622.668774,1000,111.855828
520.182093,1000,112.614491
583.669786,1000,113.956492
544.252057,1000,114.720042
628.71614,1000,116.05118
627.889704,1000,116.810905
492.687317,1000,118.162673
628.549664,1000,118.92836
598.01973,1000,120.26575
648.929341,1000,121.022576
619.168031,1000,122.353126
583.780438,1000,123.130483
580.384267,1000,124.452771
644.896067,1000,125.211492
620.54955,1000,126.54172
624.786096,1000,127.315742
653.248956,1000,128.648468
655.416798,1000,129.419935
673.125632,1000,130.757827
631.964018,1000,131.517809
656.432871,1000,132.237244
305.044219,1000,133.606872
645.996295,1000,134.32725
615.186977,1000,135.695412
662.269058,1000,136.41372
660.812116,1000,137.78689
408.820042,1000,138.517798
729.736976,1000,139.874294
671.683332,1000,140.596139
682.20234,1000,142.023373
650.615593,1000,142.783815
609.044366,1000,144.16873
662.307081,1000,144.953184
696.252996,1000,146.397976
637.111471,1000,147.207172
707.160331,1000,148.6604
644.665075,1000,149.45646
724.066361,1000,150.90871
683.806962,1000,151.686656
733.422685,1000,153.094137
695.224516,1000,153.872942
665.738591,1000,155.318012
667.055184,1000,156.094563
683.568083,1000,157.496988
669.435256,1000,158.279521
620.870888,1000,159.681375
748.307496,1000,160.454101
699.446058,1000,161.880189
648.036203,1000,162.672604
736.991035,1000,164.068771
698.03251,1000,164.832072
663.887435,1000,166.243399
616.453457,1000,167.019371
691.876281,1000,168.43822
740.591034,1000,169.209482
771.486178,1000,170.617854
713.86817,1000,171.383068
708.740338,1000,172.789367
704.269018,1000,173.556349
704.189918,1000,174.982287
651.457258,1000,175.749651
740.065133,1000,177.171746
753.704919,1000,177.950073
727.783872,1000,178.690198
724.464632,1000,180.140628
710.196747,1000,180.907297
760.05252,1000,182.34499
679.982291,1000,183.088025
691.187909,1000,184.51891
781.221424,1000,185.258992
786.544608,1000,186.706583
758.315594,1000,187.457098
692.376017,1000,188.877383
725.061137,1000,189.628473
795.926531,1000,191.058444
753.906022,1000,191.80549
756.836919,1000,193.229369
754.898428,1000,193.998082
773.196358,1000,195.44333
794.486645,1000,196.224303
760.394288,1000,197.664241
728.598017,1000,198.410139
747.480694,1000,199.86768
787.69135,1000,200.611563
757.647786,1000,202.034664
770.951675,1000,202.79198
773.36276,1000,204.233287
708.173194,1000,204.976601
639.65773,1000,206.408085
810.4575,1000,207.167384
743.619777,1000,208.676515
768.689437,1000,209.473409
799.836604,1000,210.940818
809.125182,1000,211.760495
758.847464,1000,213.267064
663.072184,1000,214.117128
816.81639,1000,215.692273
761.56233,1000,216.483455
850.691199,1000,218.057066
826.476912,1000,218.856514
761.524227,1000,220.323339
850.803869,1000,221.128475
799.359227,1000,222.593615
829.234667,1000,223.38748
746.114005,1000,224.856263
821.888815,1000,225.658996
806.008465,1000,226.452793
741.056034,1000,227.94917
843.5496,1000,228.727352
761.819168,1000,230.210681
802.453763,1000,230.999491
838.263115,1000,232.489381
798.607016,1000,233.274106
722.287352,1000,234.757717
839.813567,1000,235.537308
801.258301,1000,237.019447
819.681317,1000,237.808794
729.483551,1000,239.301484
828.777704,1000,240.085378
828.784536,1000,241.567116
816.449974,1000,242.349137
859.473355,1000,243.831023
796.270801,1000,244.608842
868.935589,1000,246.153241
789.508622,1000,246.961972
865.032216,1000,248.494013
812.847341,1000,249.369753
833.56019,1000,251.012511
807.11779,1000,251.870564
815.474678,1000,253.457797
850.915072,1000,254.298435
808.071968,1000,255.934116
860.469524,1000,256.739542
835.447841,1000,258.31548
891.758675,1000,259.130613
817.374738,1000,260.679996
824.411706,1000,261.482104
849.230537,1000,263.032935
824.536946,1000,263.843305
907.019563,1000,265.408753
843.039131,1000,266.244464
838.482849,1000,267.815606
783.436954,1000,268.605033
865.687788,1000,270.181186
879.288261,1000,270.97221
865.458785,1000,272.519549
858.435954,1000,273.327924
819.045657,1000,274.161979
875.664161,1000,275.701778
839.435759,1000,276.514885
849.724952,1000,278.021101
893.42975,1000,278.848036
858.71811,1000,280.379347
886.182354,1000,281.2123
902.039373,1000,282.73434
799.529632,1000,283.575792
884.436273,1000,285.071196
898.653459,1000,285.904899
802.213703,1000,287.417741
899.437588,1000,288.243988
748.016359,1000,289.745894
892.152941,1000,290.584975
880.641223,1000,292.087637
885.782778,1000,292.912554
866.856283,1000,294.412395
881.008306,1000,295.242177
880.868876,1000,296.759737
896.839887,1000,297.594173
914.46158,1000,299.123249
874.064177,1000,299.945204
899.794342,1000,301.46511
822.357656,1000,302.285424
858.458401,1000,303.810638
815.635658,1000,304.621752
768.870747,1000,306.176545
901.645022,1000,307.00097
925.538119,1000,308.588931
870.709163,1000,309.482446
946.817283,1000,311.119126
888.098914,1000,311.999154
906.946577,1000,313.644497
893.029611,1000,314.481808
857.947824,1000,316.125321
828.878548,1000,316.963876
918.459267,1000,318.573628
895.110998,1000,319.419761
878.600604,1000,320.999587
940.920608,1000,321.822576
754.571462,1000,323.437219
870.095875,1000,324.257092
812.504297,1000,325.125269
764.27897,1000,326.671436
762.741813,1000,327.54814
905.111647,1000,329.084801
827.603183,1000,329.969752
848.807392,1000,331.509353
865.994311,1000,332.369777
