# {"t_start": 1557819751.985978, "env_id": "HalfCheetah-v2"} 
r,l,t
-695.669967,1000,1.644161
-723.520374,1000,2.318902
-678.355852,1000,3.671313
-540.392234,1000,4.392172
-529.891681,1000,5.684646
-637.194189,1000,6.367374
-560.025535,1000,7.625685
-324.94935,1000,8.285185
-529.235828,1000,9.554872
-459.754046,1000,10.221684
-490.165077,1000,11.469951
-514.498864,1000,12.13802
-443.07041,1000,13.408841
-433.605137,1000,14.089187
-461.578998,1000,15.326832
-323.891721,1000,16.007874
-445.709365,1000,17.249771
-303.599101,1000,17.953161
-411.774543,1000,19.2043
-298.36859,1000,19.898741
-337.540164,1000,21.14243
-328.564355,1000,21.83491
-361.931043,1000,23.050907
-298.041321,1000,23.750872
-350.620059,1000,24.979403
-346.457359,1000,25.690187
-329.164567,1000,26.937359
-345.619812,1000,27.647957
-315.24275,1000,28.895745
-321.997591,1000,29.608189
-268.489654,1000,30.84705
-307.654287,1000,31.561301
-295.346036,1000,32.782979
-289.704782,1000,33.49928
-277.633465,1000,34.736709
-293.735625,1000,35.461796
-290.844195,1000,36.692945
-254.578349,1000,37.408257
-271.191061,1000,38.63873
-246.585968,1000,39.357391
-251.45619,1000,40.582657
-214.581995,1000,41.307257
-213.298351,1000,41.966647
-225.804759,1000,43.259235
-196.216516,1000,43.929431
-180.101408,1000,45.208808
-175.580191,1000,45.887233
-156.769618,1000,47.160709
-172.031395,1000,47.826996
-167.635185,1000,49.100702
-161.556388,1000,49.781619
-178.910074,1000,51.05569
-168.828658,1000,51.713146
-127.706227,1000,52.961681
-113.204175,1000,53.65139
-93.775839,1000,54.935051
-115.84189,1000,55.626077
-75.545422,1000,56.895958
-126.286244,1000,57.57743
-117.862518,1000,58.818553
-56.529313,1000,59.55978
-66.451617,1000,60.842716
-75.722167,1000,61.551174
-47.166757,1000,62.804235
-24.479911,1000,63.518873
-12.791373,1000,64.869082
-68.625163,1000,65.666811
-41.149459,1000,67.055898
-23.413862,1000,67.805677
0.582894,1000,69.161361
-4.815203,1000,69.943229
9.551796,1000,71.249842
0.074021,1000,71.996921
7.74076,1000,73.314101
47.945477,1000,74.061496
32.866288,1000,75.372274
64.899601,1000,76.118066
50.389934,1000,77.429325
73.266137,1000,78.224115
76.050763,1000,79.562202
68.308301,1000,80.337901
61.211997,1000,81.733094
85.336576,1000,82.544751
108.122826,1000,83.958036
113.74609,1000,84.792847
129.03931,1000,85.557763
154.83568,1000,87.021505
145.235914,1000,87.763628
197.623501,1000,89.151276
131.858011,1000,89.905983
134.623749,1000,91.299121
161.910395,1000,92.048007
161.303106,1000,93.445949
191.772549,1000,94.214858
170.708234,1000,95.620699
177.253806,1000,96.378576
252.409819,1000,97.766855
183.30032,1000,98.522195
235.35167,1000,99.907797
259.01068,1000,100.668019
204.259048,1000,102.126558
254.25633,1000,102.927462
237.150186,1000,104.404339
297.701997,1000,105.223718
300.650425,1000,106.758741
334.800114,1000,107.574732
350.522278,1000,109.066908
168.400229,1000,109.906164
261.094267,1000,111.399442
312.697557,1000,112.205714
321.510268,1000,113.64241
342.271688,1000,114.445328
310.835094,1000,115.887424
392.434407,1000,116.690629
354.828432,1000,118.135845
308.226879,1000,118.948075
419.14968,1000,120.380263
369.210148,1000,121.186977
362.991723,1000,122.640849
419.029759,1000,123.436518
465.450149,1000,124.865208
421.541048,1000,125.67329
423.019145,1000,127.120323
482.668103,1000,127.910289
460.119913,1000,129.357473
514.868685,1000,130.164086
476.391741,1000,131.595114
510.929486,1000,132.384051
444.01474,1000,133.178965
493.443919,1000,134.675138
462.613346,1000,135.460087
536.103851,1000,136.92234
436.279956,1000,137.707542
579.461741,1000,139.205367
541.540598,1000,139.987764
580.213741,1000,141.452593
550.23883,1000,142.237907
617.288171,1000,143.696666
618.016665,1000,144.48395
613.979794,1000,145.942785
625.621046,1000,146.733636
595.699541,1000,148.159454
650.51058,1000,148.948908
657.220741,1000,150.390026
630.929782,1000,151.171965
