# {"t_start": 1557820050.112576, "env_id": "HalfCheetah-v2"} 
r,l,t
-687.907085,1000,1.919177
-641.468899,1000,2.799257
-546.600124,1000,4.500193
-664.389543,1000,5.328763
-610.367849,1000,6.91844
-518.080629,1000,7.753127
-348.861286,1000,9.258734
-618.269127,1000,10.07694
-508.806428,1000,11.625656
-392.186095,1000,12.466855
-478.733701,1000,13.976861
-369.613432,1000,14.843945
-427.05922,1000,16.426023
-446.279816,1000,17.263752
-392.52298,1000,18.899156
-433.922345,1000,19.784829
-384.502902,1000,21.45052
-300.911621,1000,22.331604
-356.079451,1000,23.991899
-408.782169,1000,24.875762
-268.509103,1000,26.447535
-254.295488,1000,27.300734
-313.107628,1000,28.877671
-349.542925,1000,29.71479
-350.688474,1000,31.283725
-305.519012,1000,32.135516
-246.438353,1000,33.69606
-338.528278,1000,34.546042
-262.346653,1000,36.116272
-237.801389,1000,36.966307
-294.94189,1000,38.523293
-267.862194,1000,39.381835
-209.432049,1000,41.047957
-249.310558,1000,41.900237
-244.280308,1000,43.513989
-221.3807,1000,44.447085
-228.928203,1000,46.09181
-219.688226,1000,46.991861
-204.498315,1000,48.68623
-204.790888,1000,49.547192
-195.674004,1000,51.232811
-211.837158,1000,52.10473
-185.548351,1000,52.99092
-187.05608,1000,54.600659
-113.838328,1000,55.48095
-135.807427,1000,57.109645
-156.578606,1000,58.002764
-120.66782,1000,59.651118
-86.148006,1000,60.546142
-68.214421,1000,62.249304
-80.71709,1000,63.172651
-50.026129,1000,64.917103
-76.244592,1000,65.814193
-65.262982,1000,67.501101
-50.762758,1000,68.424346
-42.578032,1000,70.081506
-44.437299,1000,70.99785
9.153743,1000,72.656992
22.104807,1000,73.560955
12.257138,1000,75.240958
78.75699,1000,76.123562
38.162758,1000,77.773128
65.149055,1000,78.659367
106.048216,1000,80.345457
121.505738,1000,81.241059
177.431757,1000,82.949021
154.419785,1000,83.908223
197.70603,1000,85.644656
229.184002,1000,86.556617
180.061136,1000,88.346199
217.179655,1000,89.237357
231.468075,1000,91.01605
229.702677,1000,91.921712
183.459239,1000,93.651204
296.123763,1000,94.529512
294.649397,1000,96.307475
285.599384,1000,97.210171
361.6545,1000,98.952315
378.580584,1000,99.819391
310.202252,1000,101.564598
335.025549,1000,102.442181
401.210486,1000,104.205762
420.023562,1000,105.068523
394.903329,1000,106.791941
365.312121,1000,107.659051
384.119646,1000,108.56386
498.481889,1000,110.269777
444.986999,1000,111.166558
461.090736,1000,112.875663
441.625168,1000,113.759383
500.161285,1000,115.491408
453.33247,1000,116.370155
380.885862,1000,118.106534
456.241245,1000,118.969484
529.912317,1000,120.703931
555.450585,1000,121.572406
578.938447,1000,123.324096
576.939769,1000,124.204884
570.57623,1000,125.945085
578.440761,1000,126.802332
588.287747,1000,128.572274
594.44757,1000,129.451829
627.513764,1000,131.240527
618.52131,1000,132.107873
607.384655,1000,133.86007
593.512563,1000,134.725097
645.89752,1000,136.502875
608.284576,1000,137.375273
643.767625,1000,139.154501
627.628151,1000,140.018551
680.422934,1000,141.780915
652.155713,1000,142.646847
