# {"t_start": 1557719913.3724124, "env_id": "HalfCheetah-v2"} 
r,l,t
-622.794276,1000,1.995943
-741.307877,1000,2.877602
-603.21749,1000,4.614421
-619.476107,1000,5.451676
-592.282851,1000,7.110723
-533.209444,1000,7.935628
-579.005048,1000,9.553587
-563.655852,1000,10.394516
-505.770172,1000,11.989161
-512.986042,1000,12.817189
-455.188739,1000,14.445913
-388.378121,1000,15.269259
-483.535925,1000,16.877251
-414.204841,1000,17.700606
-354.903591,1000,19.321086
-404.831568,1000,20.151632
-374.93429,1000,21.783585
-303.312672,1000,22.611007
-375.669002,1000,24.209983
-435.176983,1000,25.034855
-412.066764,1000,26.656436
-351.903219,1000,27.461635
-318.005048,1000,29.079389
-292.298634,1000,29.895145
-265.516252,1000,31.516885
-293.35801,1000,32.341142
-235.306402,1000,33.952199
-309.965785,1000,34.758274
-151.799409,1000,36.371513
-281.827598,1000,37.190611
-266.979232,1000,38.809421
-265.377563,1000,39.624682
-233.793838,1000,41.222191
-233.078441,1000,42.030934
-228.927467,1000,43.61611
-199.938874,1000,44.421
-192.239863,1000,46.027985
-220.925967,1000,46.849048
-191.35554,1000,48.460028
-160.969817,1000,49.279837
-164.938403,1000,50.901213
-194.289828,1000,51.69981
-146.432032,1000,52.576937
-137.312654,1000,54.126185
-151.925216,1000,54.992667
-123.163518,1000,56.540743
-131.608278,1000,57.41257
-114.158913,1000,58.974432
-97.115544,1000,59.836648
-75.614606,1000,61.40292
-81.032095,1000,62.263703
-98.438462,1000,63.812334
-45.023168,1000,64.682372
-30.948486,1000,66.224749
-108.647848,1000,67.095098
-40.211041,1000,68.652417
-43.806396,1000,69.520656
-19.188805,1000,71.096298
-36.240736,1000,71.960362
21.455844,1000,73.527279
1.499348,1000,74.394946
40.894592,1000,75.939407
85.469347,1000,76.812187
109.106042,1000,78.373919
91.231803,1000,79.238024
110.829078,1000,80.799756
106.885016,1000,81.66777
144.320351,1000,83.21571
213.008752,1000,84.092464
183.439514,1000,85.652175
158.915879,1000,86.499895
243.403017,1000,88.055036
219.478456,1000,88.915675
228.894663,1000,90.463469
244.878827,1000,91.311094
327.944991,1000,92.867042
331.929064,1000,93.734266
350.903152,1000,95.287818
377.357035,1000,96.133626
350.086423,1000,97.72107
262.463094,1000,98.564743
432.503309,1000,100.11198
463.682349,1000,100.999318
442.265682,1000,102.616603
416.032763,1000,103.468513
368.59321,1000,104.316378
395.376039,1000,106.028325
537.710555,1000,106.93495
525.081584,1000,108.611146
484.613969,1000,109.50285
461.051583,1000,111.19154
511.495824,1000,112.059796
538.842144,1000,113.666981
456.670674,1000,114.527822
529.100974,1000,116.140682
538.219178,1000,117.011495
561.177499,1000,118.672474
569.21994,1000,119.52555
513.238567,1000,121.153615
518.097118,1000,122.032042
473.264612,1000,123.634813
580.390415,1000,124.495396
573.995415,1000,126.099065
418.43262,1000,126.966856
533.675828,1000,128.573464
567.765378,1000,129.425424
322.94205,1000,131.031092
607.997123,1000,131.888239
508.83369,1000,133.505672
626.058303,1000,134.364325
603.824003,1000,135.990768
470.831709,1000,136.863621
624.950005,1000,138.468728
613.127278,1000,139.321472
288.035629,1000,140.934791
685.724608,1000,141.804533
661.033761,1000,143.401576
571.246713,1000,144.255955
438.408494,1000,145.865763
514.4093,1000,146.738357
653.892587,1000,148.344151
39.510521,1000,149.21044
717.757255,1000,150.830897
654.984368,1000,151.68659
719.458457,1000,153.288183
602.32994,1000,154.15794
673.820122,1000,155.748204
552.209739,1000,156.622474
547.082656,1000,157.477205
630.261864,1000,159.084057
723.584162,1000,159.926671
458.787607,1000,161.542787
718.00259,1000,162.391726
652.336606,1000,164.003749
762.589668,1000,164.854182
449.186416,1000,166.50744
501.492509,1000,167.350351
726.362059,1000,168.963519
685.491619,1000,169.811722
705.00459,1000,171.437294
695.012063,1000,172.294359
503.962014,1000,173.920353
798.128208,1000,174.777242
788.195893,1000,176.410753
680.023021,1000,177.259145
768.780229,1000,178.885236
803.665285,1000,179.726036
785.047183,1000,181.331137
773.102002,1000,182.174937
359.773873,1000,183.808314
729.385388,1000,184.650347
730.317152,1000,186.277657
760.65202,1000,187.127898
797.293367,1000,188.746815
354.995553,1000,189.593788
766.301857,1000,191.214027
822.06179,1000,192.062228
784.340862,1000,193.709068
785.136639,1000,194.553823
836.677171,1000,196.167515
801.11229,1000,197.01628
757.544051,1000,198.636086
837.61181,1000,199.476665
818.412511,1000,201.099818
797.186497,1000,201.963211
844.220099,1000,203.576059
826.960953,1000,204.446767
836.587932,1000,206.065051
820.984669,1000,206.932745
794.950623,1000,208.563138
831.209046,1000,209.429064
806.900062,1000,210.272321
853.638615,1000,211.873202
