eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,-774.7375685,786,0.008387631,0.115039065,8.469814,-0.022997681,100.72012,-0.005197405815124512,1,2048,2.6037081590002344,2048
1000.0,-685.93551725,824,0.006462852,0.08564453,8.41931,-0.021307062,58.59835,-0.006937503814697266,2,4096,5.087960363000093,4096
1000.0,-654.0644461666667,843,0.007004034,0.090429686,8.370662,-0.023093164,69.12431,-0.002211928367614746,3,6144,7.515935289000481,6144
1000.0,-632.6492976249999,854,0.0074465186,0.10571289,8.318257,-0.028902326,49.99157,0.022871553897857666,4,8192,9.912083353001435,8192
1000.0,-615.2850227,860,0.00815131,0.115234375,8.230111,-0.03101652,43.201183,0.038430869579315186,5,10240,12.2939419000013,10240
1000.0,-598.2904561666666,868,0.0068892105,0.09453125,8.161281,-0.025387427,49.782562,0.034130632877349854,6,12288,14.653846295999756,12288
1000.0,-585.7646856428571,845,0.0070910216,0.09633789,8.113911,-0.02799503,44.51081,0.06902462244033813,7,14336,17.077274188000956,14336
1000.0,-586.6066575,861,0.0068830564,0.093603514,8.067926,-0.025298709,54.72883,0.059806108474731445,8,16384,19.45363079500021,16384
1000.0,-579.8088034444444,858,0.011364707,0.17001954,8.0138235,-0.035049982,42.928467,0.13114416599273682,9,18432,21.840550417000486,18432
1000.0,-579.8120532999999,863,0.0074165575,0.10566406,7.9527497,-0.033038236,49.307556,0.0316920280456543,10,20480,24.2126237020002,20480
1000.0,-576.783746590909,859,0.009627169,0.13740234,7.880235,-0.036168497,46.335876,0.07316559553146362,11,22528,26.596588669000994,22528
1000.0,-562.58346325,872,0.008424,0.11948242,7.817111,-0.029710546,33.812813,0.06865191459655762,12,24576,28.94426709199979,24576
1000.0,-567.7177043846154,871,0.009924047,0.14638671,7.7694497,-0.031628102,51.305305,-0.015158534049987793,13,26624,31.29583959000047,26624
1000.0,-560.7638715,857,0.0077190935,0.10683594,7.7180853,-0.027659351,36.32513,0.14596045017242432,14,28672,33.68425731000025,28672
1000.0,-555.1885187666667,866,0.010222782,0.14003906,7.6337,-0.035285484,34.629364,0.06385999917984009,15,30720,36.04844418100038,30720
1000.0,-550.6099548437501,859,0.008441335,0.12089844,7.5691986,-0.0315193,36.183495,0.11206978559494019,16,32768,38.43086994700025,32768
1000.0,-543.0851776470588,861,0.008158114,0.11967774,7.5417433,-0.031768043,28.559605,0.1754986047744751,17,34816,40.80752541400034,34816
1000.0,-538.9459791666667,855,0.010512497,0.15893555,7.4957604,-0.03820013,27.304861,0.19484812021255493,18,36864,43.200838024000404,36864
1000.0,-531.5298499473685,858,0.008912073,0.12900391,7.4271994,-0.036612473,24.358751,0.17159980535507202,19,38912,45.58559136199983,38912
1000.0,-524.316973625,860,0.010439204,0.15014648,7.359288,-0.03849139,21.447275,0.2461140751838684,20,40960,47.96766917400055,40960
1000.0,-519.2021352790698,859,0.010277355,0.14443359,7.297119,-0.03840458,24.158115,0.15231704711914062,21,43008,50.3514031600007,43008
1000.0,-517.5473892222223,864,0.012076812,0.1762207,7.242379,-0.040726252,29.80889,-0.06080019474029541,22,45056,52.7208584150012,45056
1000.0,-513.2368503617022,874,0.0084390035,0.122998044,7.2079773,-0.032725625,24.689877,0.20082473754882812,23,47104,55.06398833100138,47104
1000.0,-509.092110510204,838,0.0134385135,0.20034179,7.1440516,-0.04522912,16.764906,0.17665302753448486,24,49152,57.50733048500115,49152
1000.0,-504.51808319607835,819,0.008560831,0.12407227,7.100755,-0.03163724,25.151052,0.16978693008422852,25,51200,60.006942879001144,51200
1000.0,-500.5884518679245,802,0.009394781,0.13432617,7.086394,-0.03689764,20.271193,0.23043644428253174,26,53248,62.559980932001054,53248
1000.0,-496.5196885272727,811,0.011149471,0.16352539,7.0611725,-0.039023776,20.46693,0.15827935934066772,27,55296,65.08275623100053,55296
1000.0,-490.19032971929823,818,0.008830817,0.13286133,7.033741,-0.03825851,16.421738,0.2735174894332886,28,57344,67.5867878150002,57344
1000.0,-484.8224187118644,822,0.014046004,0.20786133,6.95452,-0.048887864,11.520476,0.16085952520370483,29,59392,70.07871295800032,59392
1000.0,-480.53248849180324,839,0.01372689,0.2006836,6.874888,-0.043381058,12.80927,0.08420473337173462,30,61440,72.5197899370014,61440
1000.0,-476.5727205555555,828,0.011100888,0.16791992,6.823382,-0.040167287,16.418537,0.17896384000778198,31,63488,74.99173390800024,63488
1000.0,-475.8789473846154,829,0.011402863,0.17109375,6.78897,-0.0395936,27.174526,0.13677382469177246,32,65536,77.4614162400012,65536
1000.0,-471.55257197014924,828,0.010753758,0.16391602,6.7322755,-0.040971454,11.714892,0.26945751905441284,33,67584,79.93486059800125,67584
1000.0,-468.4165624492754,836,0.009937539,0.14565429,6.672334,-0.03632823,24.270784,0.24780797958374023,34,69632,82.38448049700128,69632
1000.0,-464.72220271830986,839,0.011143658,0.16098633,6.6267653,-0.03891024,9.793048,0.27535301446914673,35,71680,84.8250457360009,71680
1000.0,-459.5867750136986,839,0.011590807,0.17075196,6.5697846,-0.03912079,10.657142,0.34835582971572876,36,73728,87.26588177700069,73728
1000.0,-455.0870288,825,0.013033648,0.19047852,6.4933662,-0.04312094,13.758143,0.19309109449386597,37,75776,89.74619703000099,75776
1000.0,-451.08034292207793,848,0.017893165,0.25107422,6.3966093,-0.051839333,6.661789,0.22964102029800415,38,77824,92.1616557010002,77824
1000.0,-446.58800391139243,838,0.013662158,0.18930665,6.3183103,-0.045834046,6.5573907,0.19477134943008423,39,79872,94.60521444000005,79872
1000.0,-442.30538488888885,831,0.011547571,0.16806641,6.2459865,-0.040925514,9.08783,0.1999216079711914,40,81920,97.06854122000004,81920
1000.0,-437.7865686987952,844,0.010229485,0.15014648,6.1995006,-0.04040971,10.899327,0.3389148712158203,41,83968,99.49313895700107,83968
1000.0,-431.2397454418604,832,0.011459054,0.16948242,6.146093,-0.03971357,8.078798,0.2902955412864685,42,86016,101.9542412940009,86016
1000.0,-428.44328053409083,849,0.012939168,0.1987793,6.0986114,-0.03989231,18.250698,0.18083405494689941,43,88064,104.36449662800078,88064
1000.0,-424.3834170111111,849,0.015878092,0.2275879,6.0547113,-0.047492117,6.0195274,0.24848639965057373,44,90112,106.77490886099986,90112
1000.0,-419.25702809782604,836,0.01751302,0.25595704,5.988085,-0.050814398,4.6244802,0.36263102293014526,45,92160,109.22413207300087,92160
1000.0,-413.7375872765957,835,0.01711822,0.24458008,5.9003496,-0.046913512,5.1377454,0.1142498254776001,46,94208,111.67618566500096,94208
1000.0,-410.0757835625,837,0.014469834,0.2099121,5.8186483,-0.044458043,11.383613,0.05861896276473999,47,96256,114.12164359400049,96256
1000.0,-406.40553073469397,833,0.011241831,0.16635743,5.7540298,-0.039903093,11.191516,0.05311894416809082,48,98304,116.57965852500092,98304
1000.0,-402.4452967300001,840,0.017227221,0.24194336,5.6811376,-0.050195247,6.582966,0.18792951107025146,49,100352,119.01800053100123,100352
1000.0,-389.7404719400001,845,0.015708841,0.22841796,5.6117625,-0.04744721,7.325441,0.18914097547531128,50,102400,121.44088494599964,102400
1000.0,-380.78706362000014,846,0.014396928,0.21933594,5.5583954,-0.045198444,5.9441195,0.22171252965927124,51,104448,123.86199621500054,104448
1000.0,-372.0532578300001,838,0.017841194,0.25600585,5.4987116,-0.049782522,4.6499677,0.3256832957267761,52,106496,126.30519203800031,106496
1000.0,-362.57390723000003,842,0.012664693,0.18823242,5.4552765,-0.042824782,7.672097,0.3343493342399597,53,108544,128.73790483500125,108544
1000.0,-355.86984757000005,836,0.017361816,0.2409668,5.3925858,-0.047829233,8.312618,0.07266479730606079,54,110592,131.18661506399985,110592
1000.0,-347.36749676000005,832,0.02079496,0.2770508,5.321541,-0.05154725,5.6592374,0.08425301313400269,55,112640,133.64865658200142,112640
1000.0,-339.54554186,839,0.017160404,0.24648437,5.263707,-0.051324457,5.1326747,0.29722267389297485,56,114688,136.08988988900091,114688
1000.0,-328.59973512,836,0.019696333,0.26777345,5.1812973,-0.050457127,5.4371057,0.13963961601257324,57,116736,138.53803943500134,116736
