% time spent exploring,episodes,mean 100 episode reward,steps
99,5,275.0,481
99,10,466.7,1285
99,15,485.7,1881
99,20,484.2,2438
99,25,458.3,3049
98,30,462.1,3739
98,35,452.9,4568
98,40,469.2,5376
98,45,465.9,5820
97,50,477.6,6617
97,55,481.5,7299
97,60,484.7,8165
97,65,521.9,8800
96,70,515.9,9667
96,75,510.8,10447
96,80,517.7,11130
96,85,522.6,12042
95,90,513.5,12618
95,95,516.0,13001
95,100,504.0,13285
95,105,528.0,13910
95,110,521.0,14616
94,115,543.0,15513
94,120,545.0,16141
94,125,552.0,16807
94,130,567.0,17497
94,135,568.0,18115
93,140,577.0,18771
93,145,590.0,19685
93,150,595.0,20388
93,155,597.0,21017
92,160,614.0,21803
92,165,595.0,22298
92,170,595.0,22730
92,175,599.0,23283
92,180,601.0,23969
91,185,596.0,24588
91,190,612.0,25288
91,195,612.0,25712
91,200,636.0,26271
91,205,611.0,26587
91,210,629.0,27300
90,215,609.0,27899
90,220,610.0,28664
90,225,618.0,29199
90,230,600.0,29723
90,235,623.0,30576
89,240,604.0,30992
89,245,589.0,31450
89,250,580.0,31861
89,255,582.0,32503
89,260,581.0,33114
88,265,593.0,33703
88,270,613.0,34454
88,275,606.0,34939
88,280,603.0,35524
88,285,623.0,36092
88,290,626.0,36641
87,295,632.0,37371
87,300,634.0,37882
87,305,637.0,38353
87,310,637.0,38935
87,315,645.0,39511
86,320,662.0,40265
86,325,681.0,41070
86,330,710.0,41705
86,335,706.0,42511
85,340,719.0,42990
85,345,741.0,43696
85,350,756.0,44380
85,355,762.0,44895
85,360,761.0,45537
84,365,770.0,46237
84,370,767.0,46748
84,375,789.0,47235
84,380,805.0,47840
84,385,786.0,48050
84,390,786.0,48682
83,395,788.0,49163
83,400,791.0,49785
83,405,818.0,50541
83,410,790.0,50747
83,415,807.0,51536
82,420,819.0,52425
82,425,800.0,53118
82,430,785.0,53544
82,435,800.0,54304
82,440,824.0,54968
81,445,823.0,55586
81,450,827.0,56219
81,455,834.0,56786
81,460,839.0,57598
80,465,835.0,58353
80,470,843.0,59033
80,475,857.0,59879
80,480,858.0,60781
79,485,876.0,61463
79,490,885.0,62170
79,495,888.0,62918
79,500,873.0,63291
79,505,878.0,63958
78,510,918.0,64489
78,515,929.0,65484
78,520,927.0,66145
78,525,929.0,66449
78,530,938.0,67069
77,535,927.0,67783
77,540,935.0,68595
77,545,929.0,69171
77,550,931.0,69852
76,555,942.0,70466
76,560,940.0,71140
76,565,957.0,71882
76,570,962.0,72581
76,575,941.0,73088
75,580,940.0,73764
75,585,923.0,74124
75,590,931.0,74705
75,595,935.0,75365
75,600,966.0,76144
74,605,959.0,76783
74,610,936.0,77176
74,615,931.0,77836
74,620,921.0,78313
74,625,938.0,78704
74,630,923.0,79107
73,635,930.0,79672
73,640,906.0,80027
