% time spent exploring,episodes,mean 100 episode reward,steps
99,5,675.0,627
99,10,488.9,1016
99,15,500.0,1794
99,20,526.3,2448
98,25,575.0,3218
98,30,506.9,3937
98,35,508.8,4542
98,40,502.6,5127
98,45,490.9,5713
97,50,487.8,6439
97,55,505.6,7158
97,60,500.0,7849
97,65,490.6,8581
96,70,500.0,9184
96,75,487.8,9794
96,80,497.5,10520
96,85,498.8,11246
96,90,494.4,11927
95,95,501.1,12718
95,100,517.2,13638
95,105,524.0,14350
95,110,545.0,15001
94,115,555.0,15594
94,120,549.0,16306
94,125,536.0,16993
94,130,561.0,17469
94,135,564.0,18133
93,140,571.0,18698
93,145,582.0,19353
93,150,588.0,19980
93,155,585.0,20576
93,160,595.0,21002
92,165,605.0,21868
92,170,599.0,22368
92,175,611.0,22953
92,180,613.0,23530
92,185,606.0,23857
91,190,610.0,24527
91,195,621.0,25320
91,200,612.0,25921
91,205,608.0,26601
91,210,607.0,27153
90,215,599.0,27722
90,220,608.0,28383
90,225,623.0,29078
90,230,612.0,29707
90,235,621.0,30259
89,240,621.0,30660
89,245,613.0,31124
89,250,624.0,31602
89,255,619.0,32044
89,260,619.0,32690
89,265,644.0,33462
88,270,649.0,34066
88,275,672.0,34805
88,280,672.0,35504
88,285,697.0,36101
88,290,701.0,36576
87,295,698.0,37275
87,300,694.0,37697
87,305,708.0,38545
87,310,710.0,38976
87,315,720.0,39597
86,320,723.0,40176
86,325,715.0,40614
86,330,731.0,41137
86,335,727.0,41512
86,340,730.0,42047
86,345,753.0,42739
85,350,749.0,43179
85,355,766.0,43791
85,360,774.0,44601
85,365,753.0,44961
85,370,775.0,45759
84,375,760.0,46239
84,380,768.0,46846
84,385,752.0,47220
84,390,741.0,47458
84,395,743.0,48078
84,400,756.0,48538
83,405,737.0,49067
83,410,733.0,49477
83,415,736.0,49903
83,420,738.0,50425
83,425,734.0,50805
83,430,744.0,51471
83,435,738.0,51833
82,440,750.0,52419
82,445,757.0,53206
82,450,761.0,53802
82,455,741.0,54140
82,460,751.0,54786
81,465,746.0,55154
81,470,735.0,55711
81,475,744.0,56448
81,480,734.0,56850
81,485,743.0,57251
81,490,775.0,57919
80,495,759.0,58273
80,500,753.0,58676
80,505,767.0,59223
80,510,762.0,59545
80,515,774.0,60415
80,520,772.0,60965
79,525,800.0,61766
79,530,801.0,62398
79,535,813.0,62951
79,540,833.0,63935
78,545,827.0,64815
78,550,828.0,65478
78,555,849.0,66134
78,560,822.0,66543
78,565,844.0,67260
77,570,837.0,67751
77,575,824.0,68148
77,580,828.0,68575
77,585,817.0,68903
77,590,825.0,69676
77,595,841.0,70307
76,600,857.0,70957
76,605,856.0,71612
76,610,895.0,72476
76,615,883.0,72966
75,620,894.0,73540
75,625,888.0,74077
75,630,886.0,74529
75,635,888.0,75167
75,640,863.0,75627
75,645,881.0,76299
74,650,877.0,76647
74,655,880.0,77030
74,660,892.0,77386
74,665,895.0,78020
74,670,909.0,78470
74,675,929.0,78981
74,680,941.0,79476
73,685,965.0,80065
73,690,948.0,80589
73,695,943.0,81036
73,700,944.0,81629
73,705,945.0,82199
72,710,945.0,82924
72,715,951.0,83605
72,720,942.0,84034
72,725,945.0,84612
72,730,950.0,85222
71,735,996.0,86166
71,740,1007.0,86704
71,745,1030.0,87651
71,750,1059.0,88262
70,755,1070.0,88882
70,760,1078.0,89369
70,765,1075.0,89864
70,770,1063.0,90217
70,775,1050.0,90585
70,780,1055.0,91128
70,785,1047.0,91501
69,790,1058.0,92049
69,795,1072.0,92657
69,800,1073.0,93152
69,805,1083.0,93670
69,810,1085.0,94477
69,815,1090.0,94871
68,820,1117.0,95467
68,825,1112.0,96018
68,830,1130.0,96702
68,835,1085.0,97202
68,840,1089.0,97810
67,845,1051.0,98325
67,850,1029.0,98870
67,855,997.0,99257
67,860,1002.0,99666
67,865,1026.0,100336
67,870,1042.0,100844
66,875,1048.0,101243
66,880,1051.0,101791
66,885,1073.0,102488
66,890,1061.0,102985
66,895,1089.0,103801
65,900,1095.0,104331
65,905,1089.0,104817
65,910,1075.0,105403
65,915,1080.0,106077
65,920,1095.0,106723
64,925,1095.0,107147
64,930,1080.0,107656
64,935,1084.0,108214
64,940,1102.0,109039
64,945,1099.0,109410
64,950,1096.0,109729
63,955,1130.0,110245
63,960,1152.0,110903
63,965,1115.0,111202
63,970,1109.0,111569
63,975,1130.0,112233
63,980,1150.0,113065
62,985,1156.0,113689
62,990,1175.0,114293
62,995,1140.0,114767
62,1000,1126.0,115242
62,1005,1153.0,115858
61,1010,1180.0,116609
61,1015,1166.0,116960
61,1020,1117.0,117170
61,1025,1126.0,117758
61,1030,1148.0,118658
61,1035,1158.0,119097
60,1040,1166.0,119919
60,1045,1179.0,120620
60,1050,1194.0,121169
60,1055,1224.0,122073
59,1060,1200.0,122726
59,1065,1224.0,123383
59,1070,1241.0,123991
59,1075,1228.0,124438
59,1080,1217.0,125042
58,1085,1223.0,125849
58,1090,1228.0,126442
58,1095,1267.0,127437
58,1100,1294.0,128139
58,1105,1250.0,128349
57,1110,1234.0,129004
57,1115,1266.0,129547
57,1120,1321.0,130322
57,1125,1337.0,131026
56,1130,1321.0,131715
56,1135,1325.0,132247
56,1140,1333.0,133177
56,1145,1344.0,133779
55,1150,1383.0,134707
55,1155,1358.0,135265
55,1160,1368.0,135932
55,1165,1386.0,136641
55,1170,1380.0,137199
55,1175,1391.0,137738
54,1180,1382.0,138175
54,1185,1372.0,138781
54,1190,1355.0,139134
54,1195,1327.0,139579
54,1200,1342.0,140574
53,1205,1401.0,141448
53,1210,1424.0,142443
53,1215,1449.0,143395
52,1220,1456.0,144163
52,1225,1446.0,144763
52,1230,1456.0,145339
52,1235,1464.0,145994
52,1240,1466.0,146680
51,1245,1476.0,147477
51,1250,1444.0,148136
51,1255,1460.0,148851
51,1260,1491.0,149727
50,1265,1480.0,150343
50,1270,1499.0,150999
50,1275,1515.0,151772
50,1280,1553.0,152590
49,1285,1558.0,153297
49,1290,1586.0,153964
49,1295,1612.0,154727
49,1300,1596.0,155402
48,1305,1591.0,156228
48,1310,1580.0,157110
48,1315,1554.0,157798
48,1320,1529.0,158523
47,1325,1547.0,159200
47,1330,1546.0,159852
47,1335,1580.0,160613
47,1340,1562.0,161215
47,1345,1559.0,161906
46,1350,1577.0,162593
46,1355,1582.0,163411
46,1360,1570.0,163977
46,1365,1562.0,164652
46,1370,1572.0,165237
45,1375,1576.0,165910
45,1380,1564.0,166613
45,1385,1595.0,167439
45,1390,1592.0,168126
44,1395,1587.0,168684
44,1400,1601.0,169383
44,1405,1597.0,169985
