% time spent exploring,episodes,mean 100 episode reward,steps
99,5,375.0,638
99,10,344.4,1195
99,15,414.3,2037
99,20,394.7,2659
98,25,412.5,3438
98,30,403.4,3876
98,35,405.9,4574
98,40,428.2,5170
98,45,406.8,5559
97,50,432.7,6295
97,55,438.9,6850
97,60,447.5,7418
97,65,453.1,8107
97,70,442.0,8441
97,75,443.2,8992
96,80,440.5,9719
96,85,460.7,10466
96,90,459.6,11076
96,95,474.5,12071
95,100,477.8,12677
95,105,491.0,13438
95,110,495.0,14133
95,115,506.0,14676
95,120,503.0,15194
94,125,497.0,15676
94,130,502.0,16150
94,135,509.0,16651
94,140,507.0,17291
94,145,517.0,17910
93,150,516.0,18741
93,155,527.0,19556
93,160,541.0,20217
93,165,557.0,20915
92,170,575.0,21645
92,175,578.0,22242
92,180,595.0,22841
92,185,583.0,23386
92,190,595.0,24098
91,195,584.0,24653
91,200,587.0,25256
91,205,589.0,26063
91,210,598.0,26671
91,215,590.0,27230
90,220,613.0,27874
90,225,623.0,28437
90,230,630.0,29128
90,235,637.0,29775
90,240,622.0,30401
89,245,627.0,31035
89,250,627.0,31652
89,255,630.0,32467
89,260,633.0,33126
88,265,618.0,33891
88,270,613.0,34467
88,275,615.0,35087
88,280,609.0,35610
88,285,628.0,36238
87,290,627.0,36877
87,295,630.0,37432
87,300,620.0,37801
87,305,613.0,38341
87,310,629.0,39143
87,315,636.0,39727
86,320,630.0,40318
86,325,644.0,41080
86,330,653.0,41781
86,335,648.0,42358
85,340,670.0,42926
85,345,691.0,43808
85,350,687.0,44379
85,355,672.0,44975
85,360,664.0,45550
84,365,702.0,46331
84,370,724.0,47150
84,375,740.0,48015
84,380,742.0,48727
83,385,735.0,49564
83,390,734.0,50288
83,395,760.0,51158
83,400,779.0,51796
82,405,795.0,52565
82,410,774.0,53113
82,415,772.0,53767
82,420,790.0,54513
82,425,762.0,54807
81,430,750.0,55329
81,435,774.0,56233
81,440,789.0,56956
81,445,775.0,57564
81,450,792.0,58120
80,455,802.0,58809
80,460,810.0,59594
80,465,802.0,60509
79,470,807.0,61355
79,475,793.0,61996
79,480,811.0,62845
79,485,835.0,63795
78,490,851.0,64689
78,495,834.0,65123
78,500,835.0,65706
78,505,816.0,66173
78,510,817.0,66608
77,515,833.0,67350
77,520,832.0,67958
77,525,869.0,68806
77,530,901.0,69570
77,535,892.0,70256
76,540,888.0,70932
76,545,892.0,71659
76,550,881.0,72297
76,555,887.0,72804
76,560,879.0,73377
75,565,859.0,74003
75,570,860.0,74743
75,575,889.0,75608
75,580,888.0,76259
74,585,874.0,76823
74,590,873.0,77392
74,595,876.0,77987
74,600,875.0,78685
74,605,878.0,79265
73,610,896.0,79898
73,615,912.0,80592
73,620,900.0,81097
73,625,898.0,81608
73,630,886.0,82306
72,635,892.0,83019
72,640,886.0,83531
72,645,905.0,84338
72,650,933.0,85063
71,655,944.0,85733
71,660,966.0,86387
71,665,987.0,87127
71,670,980.0,87822
71,675,976.0,88609
70,680,971.0,89249
70,685,956.0,89610
70,690,935.0,89926
70,695,964.0,90546
70,700,974.0,91255
70,705,984.0,91671
69,710,998.0,92353
69,715,982.0,93073
69,720,993.0,93992
69,725,983.0,94662
68,730,1003.0,95510
68,735,993.0,95970
68,740,1011.0,96731
68,745,1001.0,97302
67,750,995.0,98009
67,755,1014.0,98877
67,760,1016.0,99664
