% time spent exploring,episodes,mean 100 episode reward,steps
99,5,300.0,720
99,10,377.8,1459
99,15,392.9,2122
99,20,510.5,2894
99,25,475.0,3601
99,30,469.0,4206
99,35,517.6,5017
99,40,497.4,5518
99,45,529.5,6353
99,50,520.4,7151
98,55,520.4,8015
98,60,510.2,8530
98,65,503.1,9357
98,70,511.6,10059
98,75,513.5,10843
98,80,498.7,11468
98,85,508.3,12222
98,90,513.5,12996
98,95,526.6,13951
98,100,512.1,14807
97,105,518.0,15447
97,110,520.0,16109
97,115,520.0,16676
97,120,496.0,17368
97,125,505.0,17891
97,130,514.0,18582
97,135,510.0,19238
97,140,513.0,19967
97,145,508.0,20756
97,150,507.0,21554
97,155,511.0,22361
97,160,521.0,22917
96,165,536.0,23561
96,170,524.0,23980
96,175,525.0,24874
96,180,545.0,25505
96,185,542.0,26370
96,190,547.0,27121
96,195,539.0,27760
96,200,568.0,28565
96,205,558.0,29002
96,210,569.0,29867
96,215,579.0,30457
95,220,572.0,30802
95,225,585.0,31718
95,230,580.0,32517
95,235,567.0,32971
95,240,585.0,33705
95,245,576.0,34322
95,250,575.0,35031
95,255,572.0,35676
95,260,574.0,36287
95,265,567.0,36865
95,270,582.0,37798
94,275,575.0,38444
94,280,575.0,39108
94,285,567.0,39649
94,290,573.0,40384
94,295,559.0,41064
94,300,555.0,41835
94,305,571.0,42589
94,310,576.0,43279
94,315,582.0,44033
94,320,601.0,44648
94,325,596.0,45365
93,330,590.0,45972
93,335,600.0,46713
93,340,585.0,47260
93,345,577.0,47821
93,350,581.0,48328
93,355,584.0,48809
93,360,584.0,49429
93,365,575.0,49960
93,370,565.0,50557
93,375,577.0,51209
93,380,583.0,51863
93,385,589.0,52533
93,390,572.0,53115
92,395,594.0,53984
92,400,584.0,54585
92,405,579.0,55104
92,410,559.0,55500
92,415,563.0,56256
92,420,554.0,56783
92,425,546.0,57325
92,430,549.0,58037
92,435,564.0,58848
92,440,572.0,59559
92,445,568.0,59951
92,450,567.0,60377
91,455,580.0,61304
91,460,577.0,61922
91,465,593.0,62628
91,470,584.0,63125
91,475,579.0,63630
91,480,567.0,64331
91,485,560.0,64905
91,490,572.0,65464
91,495,562.0,65864
91,500,561.0,66360
91,505,568.0,67000
91,510,584.0,67741
91,515,577.0,68279
91,520,573.0,68699
90,525,595.0,69401
90,530,605.0,69900
90,535,574.0,70230
90,540,583.0,70868
90,545,605.0,71404
90,550,607.0,71808
90,555,599.0,72403
90,560,595.0,72927
90,565,581.0,73438
90,570,596.0,73905
90,575,606.0,74347
90,580,612.0,74983
90,585,631.0,75547
90,590,626.0,76108
90,595,625.0,76530
89,600,645.0,77249
89,605,656.0,77940
89,610,655.0,78558
89,615,667.0,79107
89,620,682.0,79567
89,625,667.0,80155
89,630,683.0,80743
89,635,705.0,81348
89,640,692.0,81897
89,645,693.0,82546
89,650,706.0,83172
89,655,698.0,83659
89,660,698.0,84179
88,665,716.0,84806
88,670,719.0,85318
88,675,714.0,85842
88,680,706.0,86300
88,685,695.0,86794
88,690,696.0,87405
88,695,708.0,88074
88,700,716.0,88904
88,705,696.0,89329
88,710,686.0,89884
88,715,666.0,90479
88,720,658.0,90791
88,725,661.0,91583
87,730,631.0,91953
87,735,620.0,92572
87,740,617.0,93050
87,745,620.0,93790
87,750,619.0,94290
87,755,628.0,94913
87,760,628.0,95402
87,765,623.0,95884
87,770,620.0,96363
87,775,612.0,96773
87,780,621.0,97230
87,785,618.0,97766
87,790,625.0,98444
87,795,621.0,98958
86,800,608.0,99649
86,805,606.0,99993
86,810,601.0,100425
86,815,609.0,100937
86,820,608.0,101374
86,825,613.0,101962
86,830,628.0,102661
86,835,620.0,102975
86,840,629.0,103510
86,845,634.0,104109
86,850,638.0,104871
86,855,643.0,105545
86,860,644.0,105997
86,865,624.0,106441
86,870,629.0,106912
85,875,636.0,107459
85,880,640.0,107989
85,885,663.0,108868
85,890,656.0,109427
85,895,656.0,110047
85,900,642.0,110502
85,905,646.0,110860
85,910,643.0,111200
85,915,650.0,111898
85,920,659.0,112483
85,925,644.0,112939
85,930,644.0,113516
85,935,668.0,114142
85,940,659.0,114479
84,945,658.0,115033
84,950,644.0,115462
84,955,633.0,115930
84,960,645.0,116483
84,965,666.0,117207
84,970,679.0,117938
84,975,668.0,118322
84,980,665.0,118852
84,985,654.0,119361
84,990,648.0,119778
84,995,647.0,120191
84,1000,657.0,120696
84,1005,658.0,121141
84,1010,682.0,121748
84,1015,667.0,122355
83,1020,666.0,122879
83,1025,678.0,123551
83,1030,676.0,124199
83,1035,653.0,124535
83,1040,663.0,125083
83,1045,654.0,125471
83,1050,675.0,126014
83,1055,671.0,126476
83,1060,660.0,126758
83,1065,661.0,127421
83,1070,649.0,128007
83,1075,659.0,128613
83,1080,660.0,129179
83,1085,666.0,130011
82,1090,686.0,130673
82,1095,689.0,131001
82,1100,688.0,131858
82,1105,700.0,132564
82,1110,692.0,133155
82,1115,704.0,133711
82,1120,713.0,134415
82,1125,713.0,135151
82,1130,724.0,135929
82,1135,724.0,136331
82,1140,739.0,136943
82,1145,735.0,137349
81,1150,734.0,137982
81,1155,752.0,138838
81,1160,761.0,139268
81,1165,764.0,139800
81,1170,775.0,140326
81,1175,786.0,140827
81,1180,783.0,141378
81,1185,782.0,141952
81,1190,778.0,142598
81,1195,774.0,143301
81,1200,768.0,143698
81,1205,764.0,144296
81,1210,754.0,144685
81,1215,754.0,145210
80,1220,772.0,146154
80,1225,759.0,146535
80,1230,763.0,147185
80,1235,773.0,147616
80,1240,765.0,148323
80,1245,765.0,148792
80,1250,770.0,149524
80,1255,765.0,149848
80,1260,788.0,150654
80,1265,782.0,151139
80,1270,783.0,151873
80,1275,777.0,152436
79,1280,777.0,153143
79,1285,756.0,153520
79,1290,738.0,153826
79,1295,752.0,154660
79,1300,762.0,155328
79,1305,766.0,155955
79,1310,774.0,156438
79,1315,776.0,156966
79,1320,765.0,157721
79,1325,787.0,158328
79,1330,786.0,158933
79,1335,781.0,159346
79,1340,793.0,160001
79,1345,803.0,160456
78,1350,801.0,161028
78,1355,807.0,161717
78,1360,786.0,162248
78,1365,780.0,162630
78,1370,754.0,162870
78,1375,768.0,163517
78,1380,768.0,164049
78,1385,786.0,164575
78,1390,792.0,164863
78,1395,775.0,165230
78,1400,769.0,165626
78,1405,779.0,166343
78,1410,787.0,166877
78,1415,774.0,167291
78,1420,766.0,167841
77,1425,763.0,168412
77,1430,754.0,168748
77,1435,768.0,169298
77,1440,761.0,169863
77,1445,754.0,170395
77,1450,734.0,170715
77,1455,719.0,171180
77,1460,710.0,171488
77,1465,744.0,172172
77,1470,762.0,172772
77,1475,765.0,173584
77,1480,765.0,174062
77,1485,760.0,174600
77,1490,790.0,175338
77,1495,790.0,175727
76,1500,797.0,176273
76,1505,780.0,176772
76,1510,772.0,177124
76,1515,805.0,177892
76,1520,795.0,178248
76,1525,801.0,178931
76,1530,809.0,179499
76,1535,807.0,180019
76,1540,782.0,180333
76,1545,780.0,180772
76,1550,776.0,181221
76,1555,790.0,181765
76,1560,794.0,182256
76,1565,769.0,182935
76,1570,778.0,183593
75,1575,760.0,183975
75,1580,775.0,184497
75,1585,784.0,184988
75,1590,779.0,185637
75,1595,775.0,185905
75,1600,774.0,186348
75,1605,789.0,187028
75,1610,789.0,187435
75,1615,757.0,187817
75,1620,767.0,188284
75,1625,784.0,189035
75,1630,784.0,189474
75,1635,791.0,190171
75,1640,799.0,190461
75,1645,802.0,190916
75,1650,807.0,191268
74,1655,800.0,191799
74,1660,807.0,192310
74,1665,822.0,192886
74,1670,808.0,193403
74,1675,806.0,193911
74,1680,806.0,194579
74,1685,789.0,194946
74,1690,767.0,195208
74,1695,775.0,195712
74,1700,784.0,196229
74,1705,774.0,196735
74,1710,782.0,197098
74,1715,795.0,197657
74,1720,792.0,198030
74,1725,744.0,198336
73,1730,751.0,199011
73,1735,738.0,199422
73,1740,751.0,199965
73,1745,741.0,200328
73,1750,752.0,200854
73,1755,753.0,201212
73,1760,765.0,201870
