approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
5.8630736e-05,0.0,nan,nan,0.007305622100830078,162,1,1.420496,-0.0010596439,128,0.7869988480015309,128,3757.8887
1.4991439e-05,0.0,200.0,-1146.949204,-0.0013748407363891602,419,2,1.4229745,0.00025501824,256,1.0928468630008865,256,3351.1208
4.972579e-05,0.0,200.0,-1146.949204,0.005846917629241943,415,3,1.4237437,-0.0005243027,384,1.4013310260052094,384,4747.829
0.00013474058,0.001953125,200.0,-1201.1773455,0.002877652645111084,413,4,1.4239644,-0.0030290713,512,1.7112081759987632,512,7680.111
0.00022525014,0.001953125,200.0,-1358.2040773333333,0.0078078508377075195,390,5,1.42385,0.0016026036,640,2.0399730010030908,640,4976.7827
4.7279063e-06,0.0,200.0,-1358.2040773333333,-0.006766915321350098,407,6,1.4239217,-0.00028298656,768,2.3548015320047853,768,4495.292
1.8060173e-06,0.0,200.0,-1322.971497,0.019964873790740967,398,7,1.4237206,-0.0001653023,896,2.6768619930007844,896,2679.0928
6.705004e-07,0.0,200.0,-1256.2373166,0.012868940830230713,409,8,1.4232675,-5.9288926e-05,1024,2.990462074005336,1024,2753.6394
1.0726221e-05,0.0,200.0,-1256.2373166,0.01918613910675049,434,9,1.4221016,-0.00058740797,1152,3.285665126000822,1152,2396.979
3.0173896e-06,0.0,200.0,-1177.8057886666666,0.007413268089294434,397,10,1.4222894,0.00026569434,1280,3.60895469100069,1280,3236.5193
5.8880573e-06,0.0,200.0,-1197.679672,0.013732075691223145,411,11,1.4226038,0.00033277553,1408,3.9201436190051027,1408,4603.4263
4.272723e-05,0.0,200.0,-1197.679672,0.03452432155609131,397,12,1.4225297,4.7930516e-05,1536,4.242976024004747,1536,1735.9001
6.6562075e-07,0.0,200.0,-1134.551719875,0.04420304298400879,403,13,1.4224364,-7.773668e-05,1664,4.5610964610023075,1664,2565.6565
7.224899e-07,0.0,200.0,-1134.551719875,0.03179764747619629,416,14,1.4224334,7.032289e-05,1792,4.869233915000223,1792,4076.7236
1.5465683e-05,0.0,200.0,-1146.0654679999998,0.008581697940826416,441,15,1.4223095,-0.0002864343,1920,5.159994339002878,1920,4841.2427
0.00019297264,0.0,200.0,-1161.1365736,0.042155921459198,383,16,1.4194465,-0.0008798954,2048,5.494084998004837,2048,2799.29
1.5819709e-05,0.0,200.0,-1161.1365736,0.029420852661132812,406,17,1.4178535,-7.732073e-06,2176,5.8100278210040415,2176,2260.2842
2.4715948e-06,0.0,200.0,-1133.1226047272728,0.016088783740997314,395,18,1.4175193,2.850691e-05,2304,6.134330953005701,2304,1703.803
7.084705e-07,0.0,200.0,-1109.2433724166667,0.001125335693359375,431,19,1.4174176,-4.581944e-05,2432,6.431298791001609,2432,2541.5408
0.00011075228,0.001953125,200.0,-1109.2433724166667,-0.002145051956176758,394,20,1.4175249,-0.0027567376,2560,6.756564982002601,2560,3888.952
0.00028226708,0.005859375,200.0,-1107.1314202307692,0.016720235347747803,407,21,1.4180571,0.00089431205,2688,7.072011563999695,2688,2301.6396
1.9089488e-05,0.0,200.0,-1091.7232622857143,0.011050641536712646,426,22,1.4187095,0.00042067305,2816,7.372342930000741,2816,2042.4152
5.378528e-06,0.0,200.0,-1091.7232622857143,0.011040270328521729,414,23,1.4187853,7.6062046e-05,2944,7.681597212998895,2944,2593.4924
5.0184433e-05,0.0,200.0,-1076.7916665333332,0.034840166568756104,406,24,1.4166371,0.0012955606,3072,7.996844970002712,3072,4318.1587
0.00010585256,0.0,200.0,-1109.416446,-0.004861950874328613,428,25,1.4154234,0.00024835416,3200,8.296062163004535,3200,6600.703
2.2561246e-05,0.0,200.0,-1109.416446,-0.0015125274658203125,442,26,1.4127679,-1.086609e-05,3328,8.5858047560032,3328,8610.629
8.637291e-05,0.0,200.0,-1145.1695427058821,0.053533196449279785,412,27,1.4099195,2.8325012e-06,3456,8.896724780999648,3456,4474.656
8.3274885e-05,0.001953125,200.0,-1145.1695427058821,0.0233495831489563,409,28,1.4082987,-0.0018599868,3584,9.209719029000553,3584,3277.1743
0.0003755837,0.009765625,200.0,-1135.215524111111,0.03347736597061157,396,29,1.4061103,-0.0011038881,3712,9.532663607002178,3712,2999.515
0.00019570219,0.001953125,200.0,-1127.9161707894737,0.03018254041671753,403,30,1.4046819,0.0012998651,3840,9.85143988400523,3840,3305.1855
2.6111571e-05,0.0,200.0,-1127.9161707894737,-0.0013060569763183594,393,31,1.4047505,6.828422e-05,3968,10.177271758002462,3968,8681.642
0.00012130523,0.0,200.0,-1158.7500173499998,0.00016671419143676758,426,32,1.4046224,-0.0010747598,4096,10.477902357000858,4096,4279.309
0.0010754754,0.05859375,200.0,-1166.5002346190474,0.048957884311676025,425,33,1.4046212,0.0037492665,4224,10.779376276004768,4224,3879.575
0.00012923367,0.0,200.0,-1166.5002346190474,0.010294020175933838,431,34,1.405253,-0.00054644526,4352,11.07627458999923,4352,3754.453
0.00015767591,0.001953125,200.0,-1162.3416684545455,0.027088284492492676,409,35,1.4077071,-0.0015596044,4480,11.389898487002938,4480,5191.301
0.0002930377,0.0,200.0,-1178.0816014782608,0.028551101684570312,409,36,1.4107149,0.0012341229,4608,11.70315464700252,4608,5574.6235
1.2220902e-05,0.0,200.0,-1178.0816014782608,0.03235357999801636,428,37,1.4120505,0.00018639048,4736,12.00235815600172,4736,2426.5857
0.00015035566,0.0,200.0,-1171.8767227083333,0.036538124084472656,410,38,1.4123368,-3.7641264e-05,4864,12.314772076999361,4864,4657.086
0.00015790279,0.0,200.0,-1171.8767227083333,0.013987183570861816,428,39,1.4143602,-0.0015491989,4992,12.614216893998673,4992,6623.4775
0.00026674368,0.00390625,200.0,-1188.3072492000001,-0.015392899513244629,448,40,1.4154235,-5.6037097e-05,5120,12.900203486002283,5120,2807.8904
5.0792845e-05,0.0,200.0,-1182.161782846154,0.01583641767501831,398,41,1.4149414,0.00011016382,5248,13.222231381005258,5248,3208.2563
0.00052819774,0.01953125,200.0,-1182.161782846154,0.008061230182647705,412,42,1.4141003,-7.684133e-05,5376,13.532774639999843,5376,3915.558
5.1698782e-05,0.0,200.0,-1181.6292331481482,0.021342873573303223,386,43,1.4130455,0.0006393037,5504,13.86437649000436,5504,5308.826
3.145104e-05,0.0,200.0,-1190.4195580357143,-0.011278867721557617,423,44,1.4130619,0.00024819537,5632,14.167028866999317,5632,3955.2805
