# {"t_start": 1557694893.6372983, "env_id": "Pendulum-v0"} 
r,l,t
-967.664586,200,5.011786
-1563.750435,200,5.628432
-1198.928394,200,6.12476
-1431.238193,200,6.700759
-1629.098014,200,7.184415
-1171.675682,200,7.799432
-1529.395857,200,8.301414
-1630.982578,200,8.902677
-1372.410013,200,9.521258
-1587.67635,200,10.000925
-884.653552,200,10.596402
-750.465459,200,11.08968
-875.237556,200,11.670766
-1193.53701,200,12.146045
-880.523751,200,12.73971
-874.611618,200,13.236452
-1287.214066,200,13.817131
-1022.161243,200,14.42194
-1080.85477,200,14.89185
-1327.209863,200,15.474498
-969.148796,200,15.97283
-1558.54917,200,16.580038
-1470.344237,200,17.071368
-1486.268207,200,17.645697
-882.65976,200,18.228144
-861.714407,200,18.704983
-1617.198315,200,19.310521
-1430.282683,200,19.81089
-1003.251201,200,20.422389
-1677.816507,200,20.924726
-1233.675386,200,21.527957
-1080.792094,200,22.04496
-1131.115703,200,22.644826
-1322.930461,200,23.221878
-1080.034699,200,23.71181
-1106.705718,200,24.293759
-1544.723818,200,24.778072
-1726.351336,200,25.360353
-1584.914546,200,25.87542
-1075.095581,200,26.460372
-1520.865492,200,27.039982
-995.507265,200,27.526312
-1064.732627,200,28.129086
-1205.63482,200,28.634002
-1323.590537,200,29.246958
-1571.721427,200,29.748328
-1068.432127,200,30.349141
-1193.346344,200,30.810504
-1712.642227,200,31.374757
-948.570464,200,31.974577
-1628.278626,200,32.463355
-1216.536019,200,33.012604
-1214.65012,200,33.439696
-1277.874136,200,34.026012
-1693.591378,200,34.515377
-1595.342338,200,35.110532
-940.301562,200,35.708567
-1356.992246,200,36.192374
-1204.114668,200,36.762599
-1338.026424,200,37.225242
-1338.132668,200,37.793644
-1273.137988,200,38.267985
-1173.757543,200,38.858152
-1499.352616,200,39.323581
-1332.297542,200,39.919917
-956.32137,200,40.514237
-1643.685532,200,40.982317
-1171.929663,200,41.55264
-1696.861493,200,42.021116
-1446.045019,200,42.605807
-1428.984834,200,43.088155
-1063.698577,200,43.691265
-1700.214065,200,44.280606
-1079.860144,200,44.760393
-1302.521549,200,45.352085
-963.059767,200,45.811438
-1164.793221,200,46.339655
-1385.564094,200,46.817359
-1146.037894,200,47.38551
-1165.941491,200,47.876474
-1014.863726,200,48.491761
-1142.202308,200,49.052191
-1469.085268,200,49.549623
-1136.689389,200,50.145691
-1247.389522,200,50.64201
-1728.059479,200,51.239936
-1364.118942,200,51.724462
-1737.81605,200,52.325291
-1139.992169,200,52.930286
-1169.510012,200,53.4137
-1533.567979,200,54.014047
-1125.608532,200,54.5232
-1671.343902,200,55.093652
-1189.698728,200,55.575004
-1220.364911,200,56.133162
-1586.638218,200,56.620319
-1722.061594,200,57.222908
-1703.474008,200,57.822894
-1125.66923,200,58.277674
-1565.38529,200,58.849078
-1174.963734,200,59.308345
-1695.667864,200,59.912651
-1450.533449,200,60.396777
-1547.332383,200,60.951143
-1475.619009,200,61.525966
-1422.207327,200,61.995959
-1501.535049,200,62.58101
-1286.362183,200,63.036568
-1321.421155,200,63.607461
-1300.880921,200,64.08826
-1105.208951,200,64.695675
-1334.523831,200,65.190018
-1334.896037,200,65.767971
-1182.325613,200,66.347085
-1251.039888,200,66.825097
-1319.545528,200,67.414899
-1661.009821,200,67.887167
-1637.286246,200,68.463574
-1338.813444,200,68.918408
-1271.443484,200,69.49082
-1151.364552,200,70.091489
-1205.943607,200,70.601596
-1056.045781,200,71.205239
-1320.724541,200,71.670167
-1310.057602,200,72.213634
-1360.270408,200,72.703842
-1650.979404,200,73.276261
-1304.438337,200,73.750468
-1337.920898,200,74.320528
-995.168714,200,74.894534
-1585.909741,200,75.366577
-1660.544655,200,75.981848
-1586.296713,200,76.47111
-1268.721561,200,77.064133
-980.433519,200,77.530948
-1384.259933,200,78.100617
-1170.630746,200,78.65306
-1308.882147,200,79.126076
-1183.446429,200,79.659814
-1517.984469,200,80.09874
-1290.299988,200,80.65667
-1341.830995,200,81.145993
-1386.118656,200,81.681335
-1631.684123,200,82.117709
-1400.904403,200,82.682108
-1227.012428,200,83.267483
-1406.931036,200,83.769287
-937.240215,200,84.347161
-1477.902746,200,84.744599
-1165.180987,200,85.275123
-1067.624431,200,85.695287
-1510.639203,200,86.248518
-1109.013814,200,86.761543
-1459.433099,200,87.214973
-1499.465346,200,87.786214
-939.652583,200,88.257438
-1510.905573,200,88.862325
-1457.782635,200,89.381807
-1184.61943,200,89.973307
-1496.679287,200,90.45063
-1486.843676,200,91.014484
-1484.14692,200,91.588949
-1193.145107,200,92.096317
-1329.324689,200,92.698774
-1272.927808,200,93.191287
-1601.164279,200,93.763255
-1223.709366,200,94.229821
-1297.311765,200,94.791564
-1499.410635,200,95.381199
-1494.343706,200,95.881671
-1417.097727,200,96.446611
-1381.178445,200,96.945712
