# {"t_start": 1557698894.6135397, "env_id": "Pendulum-v0"} 
r,l,t
-1751.057675,200,4.439555
-893.58473,200,4.817008
-1301.127349,200,5.210575
-1744.755439,200,5.606109
-1431.810455,200,5.989277
-1659.191991,200,6.357751
-756.9711,200,6.733519
-1335.676195,200,7.095717
-1553.141606,200,7.431906
-971.599154,200,7.796262
-863.876457,200,8.440536
-866.728503,200,8.82191
-920.114552,200,9.218219
-884.939762,200,9.599117
-1242.651516,200,9.985534
-1362.38708,200,10.37904
-1577.675462,200,10.755651
-1286.947359,200,11.098488
-1522.396398,200,11.488194
-1646.733013,200,11.870486
-1329.322296,200,12.347245
-1271.620401,200,12.712169
-1492.694306,200,13.075029
-974.904364,200,13.439625
-1396.331761,200,13.803017
-1026.871601,200,14.159235
-754.099252,200,14.526584
-1500.962019,200,14.910246
-1416.656145,200,15.26552
-1263.697059,200,15.631946
-1783.589287,200,16.182581
-1170.256646,200,16.539776
-880.358453,200,16.925148
-1096.110658,200,17.300242
-1371.109497,200,17.684385
-1435.466868,200,18.035475
-1562.70416,200,18.395633
-1309.494502,200,18.801586
-923.345214,200,19.172975
-1150.911013,200,19.508072
-870.900682,200,20.010175
-871.517466,200,20.379595
-1745.662093,200,20.758611
-1343.931538,200,21.120671
-1045.846512,200,21.479733
-1804.364598,200,21.84211
-892.769794,200,22.200178
-1383.368055,200,22.56631
-1571.89843,200,22.967086
-1675.986551,200,23.313042
-1545.693415,200,23.688548
-1166.739312,200,24.16879
-942.080083,200,24.555104
-1700.474906,200,24.888671
-891.450039,200,25.221127
-1535.715978,200,25.570066
-877.672325,200,25.873138
-755.348464,200,26.1844
-1721.745262,200,26.494918
-1845.185348,200,26.827488
-876.590898,200,27.130542
-1637.424078,200,27.606376
-1616.522719,200,27.948822
-1088.93346,200,28.315449
-1104.679069,200,28.678381
-854.808034,200,29.040595
-868.013661,200,29.403857
-1477.497439,200,29.716436
-862.382433,200,30.125739
-1068.735346,200,30.527817
-1824.689351,200,30.876206
-1322.663198,200,31.401571
-1691.634574,200,31.777932
-1639.384239,200,32.141088
-862.720147,200,32.505463
-1215.893439,200,32.882514
-1616.60602,200,33.255897
-987.44627,200,33.61178
-1167.84305,200,33.93645
-1322.605838,200,34.312311
-1305.224489,200,34.669846
-1238.666209,200,35.221491
-1705.329009,200,35.598942
-1333.204405,200,35.96753
-967.405555,200,36.326997
-1163.420044,200,36.683984
-1251.284911,200,37.024102
-995.802737,200,37.364109
-1477.922019,200,37.723237
-858.383634,200,38.053677
-1222.712935,200,38.414333
-1068.954021,200,38.780118
-1438.270306,200,39.297403
-1532.299701,200,39.654567
-885.5852,200,40.02922
-865.580109,200,40.399401
-873.353388,200,40.778955
-902.24517,200,41.127527
-1501.404156,200,41.486185
-1070.96294,200,41.830199
-1285.590372,200,42.209022
-1610.632203,200,42.573899
-1161.629204,200,43.081052
-1605.703054,200,43.459285
-1157.656965,200,43.807325
-1252.616959,200,44.172949
-1413.410572,200,44.541415
-1764.625175,200,44.913528
-1182.158467,200,45.280028
-1136.446128,200,45.645578
-865.516984,200,46.014166
-1533.66796,200,46.374714
-1621.905214,200,46.896091
-949.604024,200,47.248289
-1408.863441,200,47.583004
-1125.835662,200,47.938209
-887.814729,200,48.260101
-968.163011,200,48.617039
-629.003735,200,48.986339
-899.959932,200,49.355539
-981.755536,200,49.730888
-1285.034303,200,50.110102
-1063.515858,200,50.640566
-1393.311425,200,51.011073
-964.227713,200,51.386757
-977.218267,200,51.755444
-1067.563148,200,52.119629
-1305.024241,200,52.490184
-1282.142188,200,52.872471
-1600.057125,200,53.245931
-991.362812,200,53.604024
-1294.826169,200,53.968692
-968.432982,200,54.335489
-965.904664,200,54.866831
-1323.765514,200,55.243479
-1137.668444,200,55.60816
-852.292375,200,55.957187
-1366.252264,200,56.280344
-963.120545,200,56.649156
-871.684035,200,57.022278
-1066.774499,200,57.396244
-743.9226,200,57.762595
-1354.456825,200,58.13464
-1675.25963,200,58.674024
-1687.463525,200,59.053019
-1664.328103,200,59.428741
-1368.307547,200,59.80326
-1649.903105,200,60.146635
-987.880939,200,60.503737
-1184.700269,200,60.842049
-954.034117,200,61.215122
-958.013678,200,61.554507
-1301.686285,200,61.921049
-798.767849,200,62.416678
-1648.713094,200,62.781149
-1831.982789,200,63.154158
-973.163916,200,63.528592
-1701.623197,200,63.880655
-1012.09407,200,64.287726
-1186.500356,200,64.674935
-1350.340063,200,65.051204
-1341.300095,200,65.425573
-1177.810542,200,65.785144
-1080.139976,200,66.288372
-1063.75415,200,66.673012
-945.416962,200,67.033069
-1335.769977,200,67.423296
-1448.931442,200,67.810579
-1588.082241,200,68.182159
-961.770855,200,68.572408
-1176.330585,200,68.93539
-1700.404682,200,69.2887
-1665.536361,200,69.639297
