# {"t_start": 1557699012.2148602, "env_id": "Pendulum-v0"} 
r,l,t
-1544.978227,200,4.476165
-1301.208028,200,4.84887
-1358.628489,200,5.24731
-1681.460719,200,5.607332
-772.029202,200,5.98577
-1328.177135,200,6.353445
-1073.083928,200,6.723887
-1513.659782,200,7.08758
-1395.964793,200,7.458159
-1533.381282,200,7.80497
-1524.907014,200,8.431286
-1149.320365,200,8.799794
-967.119267,200,9.162347
-1671.31033,200,9.522365
-875.483575,200,9.877181
-974.498772,200,10.2502
-1084.556089,200,10.61942
-957.554105,200,10.981256
-1673.875997,200,11.351815
-1523.846883,200,11.728021
-908.809814,200,12.256619
-1359.006754,200,12.604302
-898.311537,200,12.969197
-1172.509157,200,13.338296
-885.51043,200,13.707867
-790.841992,200,14.094586
-1056.516043,200,14.454419
-1069.85398,200,14.798247
-1443.878818,200,15.152611
-1758.460442,200,15.50427
-963.982564,200,16.003963
-1295.527504,200,16.378455
-880.622653,200,16.729376
-769.366846,200,17.08995
-1664.804382,200,17.446899
-847.257025,200,17.809829
-971.55913,200,18.174899
-1336.29204,200,18.53678
-884.876133,200,18.914679
-1427.956835,200,19.275476
-1516.341079,200,19.790937
-1513.809621,200,20.161664
-880.584314,200,20.49943
-1443.564065,200,20.841691
-1402.691852,200,21.203593
-1077.84561,200,21.5609
-1559.548866,200,21.916328
-1424.914482,200,22.274243
-942.19178,200,22.635035
-958.647611,200,22.987274
-1199.662267,200,23.353261
-779.83186,200,23.836205
-1692.769024,200,24.211149
-1537.981275,200,24.555571
-1024.515332,200,24.9046
-1293.089531,200,25.294581
-1682.082203,200,25.663675
-819.360125,200,26.032579
-894.842751,200,26.408798
-1037.449968,200,26.77675
-1531.827673,200,27.142766
-1431.392506,200,27.675433
-963.145734,200,28.021805
-879.571064,200,28.349792
-978.270541,200,28.707125
-1194.734399,200,29.079965
-1071.946877,200,29.433672
-958.700888,200,29.77205
-1249.195174,200,30.138846
-1075.257777,200,30.476416
-1755.380195,200,30.84409
-1335.179191,200,31.341442
-1437.701991,200,31.698825
-1435.096398,200,32.061332
-1350.850444,200,32.393713
-1108.545929,200,32.735175
-1085.007563,200,33.092918
-954.590441,200,33.46465
-1015.329232,200,33.806895
-1196.477156,200,34.176274
-897.097498,200,34.539836
-969.00875,200,35.036498
-1035.142492,200,35.397454
-1744.542513,200,35.756901
-996.534064,200,36.103245
-1378.090646,200,36.47818
-965.360924,200,36.804616
-883.508718,200,37.169935
-1743.728403,200,37.514879
-1202.745137,200,37.866923
-915.716745,200,38.240873
-1389.781629,200,38.613992
-1497.297132,200,39.11051
-1068.191424,200,39.46534
-755.827141,200,39.820442
-1579.957719,200,40.176454
-1156.250127,200,40.527748
-1621.223893,200,40.857826
-990.955846,200,41.222928
-748.634135,200,41.589157
-1234.211148,200,41.96729
-1290.904572,200,42.339077
-1010.90294,200,42.812535
-868.823966,200,43.197651
-1223.338745,200,43.502191
-1654.136953,200,43.86758
-1294.544787,200,44.172479
-1495.920714,200,44.533798
-1461.942473,200,44.855439
-935.251408,200,45.225638
-1504.629671,200,45.575347
-921.186744,200,45.904618
-965.667354,200,46.347125
-1594.715294,200,46.658887
-1018.345344,200,46.957255
-1031.415256,200,47.250685
-1191.502385,200,47.54692
-878.628913,200,47.876072
-983.963498,200,48.192748
-887.128874,200,48.497302
-963.880994,200,48.835834
-1384.935241,200,49.181352
-808.06644,200,49.678341
-965.532747,200,50.034132
-900.676456,200,50.380382
-1647.026333,200,50.749932
-877.796164,200,51.082431
-1031.289912,200,51.455541
-1082.641124,200,51.809561
-1167.699085,200,52.158579
-862.716186,200,52.488344
-939.9603,200,52.832348
-1186.482053,200,53.170722
-889.529637,200,53.65319
-1664.666236,200,53.990197
-862.880284,200,54.345012
-1386.880483,200,54.698417
-996.089764,200,55.052212
-1006.361381,200,55.434307
-1334.663683,200,55.782348
-892.083713,200,56.123634
-902.983572,200,56.497746
-1172.481601,200,56.843772
-896.00681,200,57.341275
-1825.552209,200,57.692627
-1293.560213,200,58.026581
-1171.622005,200,58.388676
-1472.780308,200,58.730607
-1170.824627,200,59.100686
-1226.594503,200,59.457041
-1005.839959,200,59.795473
-1125.165165,200,60.124499
-1297.414344,200,60.439867
-1446.437446,200,60.92006
-1510.938223,200,61.263445
-797.242139,200,61.583481
-871.182889,200,61.912396
-1001.790495,200,62.257358
-1688.468363,200,62.575625
-870.142282,200,62.907693
-1351.612608,200,63.215016
-1073.584895,200,63.522683
-1180.611198,200,63.813936
-1087.725621,200,64.254144
-1419.91974,200,64.616701
-1097.615887,200,64.959939
-1427.022218,200,65.306664
-1794.671855,200,65.646381
-1713.147493,200,65.994295
-1321.229015,200,66.340452
-898.875901,200,66.708442
-1711.298959,200,67.070597
-774.748779,200,67.411679
-1664.099527,200,67.777284
-871.788722,200,68.246825
-1061.524549,200,68.58222
-1191.648012,200,68.941381
-1104.184363,200,69.287883
-902.155393,200,69.617535
-889.670959,200,69.945344
-1394.079936,200,70.290726
-920.612653,200,70.647606
-879.242533,200,70.97541
-1294.030113,200,71.293361
-1385.5304,200,71.79524
-998.241074,200,72.137886
-1552.987878,200,72.482436
-990.392525,200,72.809293
-871.149748,200,73.145407
-875.497969,200,73.506712
-1164.422417,200,73.850186
-1321.721473,200,74.182649
-884.33692,200,74.527801
-843.78023,200,74.921462
-1611.039545,200,75.397583
-1317.466112,200,75.740189
-1098.396473,200,76.086294
-1159.367768,200,76.429449
-641.203772,200,76.762954
-864.86667,200,77.104566
-1192.976301,200,77.438355
-1515.713584,200,77.788597
-1526.26798,200,78.126833
-1740.437563,200,78.45949
-1374.898601,200,78.942549
-1525.243315,200,79.284143
-1182.070084,200,79.609293
-1810.985499,200,79.96334
-1410.743273,200,80.305756
-962.917206,200,80.646981
-1401.782311,200,80.984046
-1197.287763,200,81.329911
-1069.498317,200,81.669728
-1290.376535,200,82.024653
-1073.66271,200,82.375832
-1345.524014,200,82.832253
-906.283877,200,83.159017
-1758.87237,200,83.479178
-1509.401006,200,83.81912
-1864.231478,200,84.140912
-1349.616774,200,84.464709
-1000.418669,200,84.81247
-909.557764,200,85.144309
-796.886576,200,85.502793
-1488.836786,200,85.862715
-1071.943604,200,86.300394
-1183.110036,200,86.626326
-1650.041819,200,86.976006
-1593.270471,200,87.324972
-816.579427,200,87.666775
-982.607996,200,87.999515
-1276.109476,200,88.310071
-1010.026817,200,88.649194
-1293.13087,200,88.974223
-862.641576,200,89.331326
-1491.236185,200,89.75042
-966.675128,200,90.071088
-800.84246,200,90.396348
-940.075991,200,90.74322
-1551.963789,200,91.081188
-1740.799306,200,91.428242
-1628.984568,200,91.75441
-891.516733,200,92.086724
-1178.794871,200,92.41675
-1176.278768,200,92.739537
-861.566161,200,93.196912
-1744.186219,200,93.555075
-1300.698184,200,93.909418
-975.146027,200,94.266716
-1022.902374,200,94.614662
-1048.053685,200,94.921084
-1042.838554,200,95.25441
-861.040876,200,95.591821
-1071.060984,200,95.935428
-1191.604033,200,96.265578
-887.989564,200,96.589809
-1068.928009,200,97.087283
-1063.19799,200,97.430145
-1327.024257,200,97.770419
-1396.009839,200,98.091823
-1146.298627,200,98.432889
-919.828328,200,98.78847
-880.885396,200,99.144099
