% time spent exploring,episodes,mean 100 episode reward,steps
99,5,225.0,184
99,10,155.6,429
99,15,164.3,674
99,20,652.6,916
99,25,550.0,1161
99,30,479.3,1406
99,35,417.6,1651
99,40,392.3,1896
99,45,361.4,2141
99,50,342.9,2386
98,55,327.8,2631
98,60,303.4,2876
98,65,289.1,3121
98,70,276.8,3366
98,75,262.2,3611
98,80,263.3,3856
98,85,261.9,4101
98,90,257.3,4346
98,95,253.2,4591
98,100,246.5,4836
97,105,241.0,5081
97,110,238.0,5326
97,115,236.0,5571
97,120,150.0,5816
97,125,146.0,6061
97,130,253.0,6305
97,135,268.0,6541
97,140,270.0,6786
97,145,370.0,7015
97,150,366.0,7260
97,155,358.0,7505
96,160,365.0,7750
96,165,369.0,7995
96,170,377.0,8240
96,175,384.0,8485
96,180,381.0,8730
96,185,377.0,8975
96,190,383.0,9220
96,195,380.0,9465
96,200,379.0,9710
96,205,377.0,9955
95,210,383.0,10200
95,215,388.0,10445
95,220,385.0,10690
95,225,385.0,10935
95,230,284.0,11180
95,235,281.0,11425
95,240,277.0,11670
95,245,179.0,11915
95,250,185.0,12155
95,255,186.0,12400
94,260,182.0,12645
94,265,184.0,12890
94,270,180.0,13135
94,275,178.0,13380
94,280,181.0,13610
94,285,180.0,13855
94,290,174.0,14100
94,295,183.0,14345
94,300,283.0,14577
94,305,282.0,14822
94,310,293.0,15052
93,315,290.0,15297
93,320,286.0,15542
93,325,294.0,15787
93,330,287.0,16032
93,335,283.0,16277
93,340,282.0,16522
93,345,283.0,16746
93,350,288.0,16977
93,355,296.0,17207
93,360,298.0,17452
92,365,298.0,17697
92,370,393.0,17937
92,375,397.0,18177
92,380,397.0,18422
92,385,406.0,18660
92,390,513.0,18895
92,395,512.0,19140
92,400,414.0,19385
92,405,413.0,19630
92,410,405.0,19875
92,415,502.0,20120
91,420,504.0,20365
91,425,509.0,20595
91,430,509.0,20840
91,435,513.0,21082
91,440,521.0,21327
91,445,525.0,21572
91,450,530.0,21805
91,455,635.0,22022
91,460,644.0,22257
91,465,639.0,22502
90,470,546.0,22747
90,475,544.0,22992
90,480,544.0,23237
90,485,538.0,23482
90,490,533.0,23725
90,495,540.0,23965
90,500,541.0,24210
90,505,555.0,24455
90,510,555.0,24700
90,515,457.0,24945
90,520,463.0,25190
89,525,458.0,25435
89,530,466.0,25680
89,535,468.0,25908
89,540,464.0,26153
89,545,566.0,26384
89,550,557.0,26629
89,555,456.0,26874
89,560,456.0,27119
89,565,552.0,27364
89,570,561.0,27597
88,575,563.0,27842
88,580,562.0,28087
88,585,564.0,28332
88,590,471.0,28577
88,595,472.0,28815
88,600,479.0,29037
88,605,475.0,29282
88,610,475.0,29527
88,615,478.0,29749
88,620,477.0,29984
88,625,492.0,30219
87,630,496.0,30459
