% time spent exploring,episodes,mean 100 episode reward,steps
99,5,200.0,155
99,10,133.3,350
99,15,121.4,545
99,20,110.5,740
99,25,95.8,935
99,30,103.4,1130
99,35,102.9,1325
99,40,94.9,1520
99,45,100.0,1715
99,50,100.0,1910
99,55,101.9,2105
99,60,110.2,2300
99,65,109.4,2495
98,70,110.1,2690
98,75,106.8,2885
98,80,108.9,3080
98,85,107.1,3275
98,90,106.7,3470
98,95,103.2,3665
98,100,105.1,3860
98,105,203.0,4053
98,110,212.0,4248
98,115,214.0,4443
98,120,215.0,4638
98,125,218.0,4833
98,130,215.0,5028
97,135,213.0,5223
97,140,217.0,5418
97,145,219.0,5613
97,150,225.0,5808
97,155,222.0,6003
97,160,222.0,6198
97,165,229.0,6392
97,170,236.0,6587
97,175,240.0,6782
97,180,240.0,6977
97,185,240.0,7172
97,190,237.0,7367
97,195,240.0,7562
96,200,241.0,7757
96,205,141.0,7952
96,210,139.0,8147
96,215,140.0,8342
96,220,144.0,8537
96,225,147.0,8732
96,230,146.0,8927
96,235,155.0,9122
96,240,161.0,9317
96,245,153.0,9512
96,250,147.0,9707
96,255,150.0,9902
96,260,151.0,10097
95,265,143.0,10292
95,270,140.0,10487
95,275,145.0,10682
95,280,138.0,10877
95,285,143.0,11072
95,290,155.0,11267
95,295,159.0,11462
95,300,154.0,11657
95,305,153.0,11852
95,310,151.0,12047
95,315,148.0,12242
95,320,141.0,12437
94,325,136.0,12632
94,330,141.0,12827
94,335,140.0,13022
94,340,131.0,13217
94,345,139.0,13412
94,350,142.0,13607
94,355,140.0,13802
94,360,136.0,13997
94,365,140.0,14192
94,370,140.0,14387
94,375,129.0,14582
94,380,234.0,14776
94,385,237.0,14967
93,390,231.0,15162
93,395,226.0,15357
93,400,229.0,15552
93,405,234.0,15747
93,410,231.0,15942
93,415,234.0,16137
93,420,242.0,16326
93,425,241.0,16521
93,430,239.0,16716
93,435,238.0,16911
93,440,246.0,17106
93,445,242.0,17301
93,450,243.0,17496
92,455,245.0,17691
92,460,242.0,17886
92,465,246.0,18081
92,470,238.0,18276
92,475,242.0,18471
92,480,146.0,18666
92,485,245.0,18842
92,490,243.0,19037
92,495,241.0,19232
92,500,239.0,19427
92,505,231.0,19622
92,510,332.0,19813
92,515,329.0,20008
91,520,327.0,20203
91,525,328.0,20398
91,530,334.0,20588
91,535,324.0,20783
91,540,321.0,20978
91,545,326.0,21173
91,550,326.0,21368
91,555,329.0,21563
91,560,333.0,21758
91,565,330.0,21953
91,570,338.0,22148
91,575,348.0,22343
91,580,546.0,22526
91,585,444.0,22721
90,590,444.0,22916
90,595,447.0,23111
90,600,453.0,23306
90,605,462.0,23501
90,610,362.0,23696
90,615,367.0,23891
90,620,370.0,24086
90,625,372.0,24281
90,630,369.0,24476
90,635,376.0,24671
90,640,373.0,24866
90,645,378.0,25061
89,650,371.0,25256
89,655,370.0,25451
89,660,368.0,25646
89,665,365.0,25841
89,670,359.0,26036
89,675,354.0,26231
89,680,154.0,26426
89,685,146.0,26621
89,690,247.0,26813
89,695,251.0,27008
89,700,345.0,27200
89,705,436.0,27391
89,710,435.0,27586
88,715,529.0,27779
88,720,519.0,27974
88,725,522.0,28169
88,730,524.0,28364
88,735,529.0,28559
88,740,536.0,28754
88,745,526.0,28949
88,750,528.0,29144
88,755,520.0,29339
88,760,519.0,29534
88,765,513.0,29729
88,770,519.0,29924
88,775,511.0,30119
87,780,505.0,30314
87,785,505.0,30509
87,790,404.0,30704
87,795,405.0,30899
87,800,314.0,31090
87,805,217.0,31285
87,810,215.0,31480
87,815,114.0,31675
87,820,114.0,31870
87,825,113.0,32061
87,830,104.0,32256
87,835,92.0,32451
87,840,80.0,32646
86,845,76.0,32841
86,850,72.0,33036
86,855,83.0,33231
86,860,178.0,33422
86,865,180.0,33617
86,870,170.0,33812
86,875,170.0,34007
86,880,171.0,34202
86,885,270.0,34385
86,890,366.0,34564
86,895,357.0,34759
86,900,357.0,34947
86,905,353.0,35142
86,910,450.0,35336
85,915,452.0,35531
85,920,456.0,35726
85,925,452.0,35921
85,930,552.0,36109
85,935,655.0,36296
85,940,655.0,36491
85,945,655.0,36686
85,950,757.0,36863
85,955,750.0,37058
85,960,750.0,37242
85,965,748.0,37437
85,970,754.0,37632
85,975,952.0,37821
84,980,952.0,38016
84,985,853.0,38211
84,990,752.0,38406
84,995,856.0,38597
84,1000,843.0,38792
84,1005,941.0,38978
84,1010,940.0,39170
84,1015,936.0,39365
84,1020,1032.0,39556
84,1025,1129.0,39750
84,1030,1228.0,39918
84,1035,1125.0,40113
84,1040,1128.0,40308
83,1045,1131.0,40503
83,1050,1131.0,40693
83,1055,1228.0,40877
83,1060,1129.0,41072
83,1065,1133.0,41267
83,1070,1329.0,41452
83,1075,1130.0,41647
83,1080,1128.0,41842
83,1085,1130.0,42037
83,1090,1129.0,42232
83,1095,1125.0,42420
83,1100,1226.0,42604
83,1105,1228.0,42795
82,1110,1328.0,42982
82,1115,1432.0,43172
82,1120,1431.0,43365
82,1125,1433.0,43559
82,1130,1232.0,43754
82,1135,1432.0,43931
82,1140,1432.0,44126
82,1145,1430.0,44321
82,1150,1330.0,44516
82,1155,1230.0,44711
82,1160,1330.0,44902
82,1165,1329.0,45097
82,1170,1229.0,45268
81,1175,1329.0,45458
81,1180,1429.0,45650
81,1185,1426.0,45845
81,1190,1428.0,46040
81,1195,1332.0,46235
81,1200,1232.0,46430
81,1205,1133.0,46625
81,1210,934.0,46820
81,1215,831.0,47015
81,1220,831.0,47209
81,1225,729.0,47404
81,1230,731.0,47599
81,1235,531.0,47794
80,1240,528.0,47989
80,1245,526.0,48184
80,1250,525.0,48379
80,1255,528.0,48574
80,1260,428.0,48769
80,1265,426.0,48964
80,1270,326.0,49159
80,1275,227.0,49354
80,1280,127.0,49549
80,1285,129.0,49744
80,1290,128.0,49939
80,1295,124.0,50134
80,1300,124.0,50329
79,1305,121.0,50524
79,1310,120.0,50719
79,1315,119.0,50914
79,1320,22.0,51109
79,1325,23.0,51304
79,1330,22.0,51499
79,1335,29.0,51694
79,1340,34.0,51889
79,1345,36.0,52084
79,1350,37.0,52279
79,1355,36.0,52474
79,1360,50.0,52669
79,1365,54.0,52864
78,1370,59.0,53059
78,1375,63.0,53254
78,1380,70.0,53449
78,1385,71.0,53644
78,1390,75.0,53839
78,1395,82.0,54034
78,1400,86.0,54229
78,1405,94.0,54424
78,1410,99.0,54619
78,1415,102.0,54814
78,1420,106.0,55009
78,1425,109.0,55204
78,1430,116.0,55399
77,1435,113.0,55594
77,1440,117.0,55789
77,1445,117.0,55984
77,1450,118.0,56179
77,1455,123.0,56374
77,1460,116.0,56569
77,1465,117.0,56764
77,1470,115.0,56959
77,1475,116.0,57154
77,1480,116.0,57349
77,1485,124.0,57544
77,1490,125.0,57739
77,1495,130.0,57934
76,1500,136.0,58129
76,1505,135.0,58324
76,1510,139.0,58519
76,1515,148.0,58714
76,1520,148.0,58909
76,1525,156.0,59104
76,1530,159.0,59299
76,1535,169.0,59494
76,1540,169.0,59689
76,1545,177.0,59884
76,1550,184.0,60079
76,1555,184.0,60274
76,1560,187.0,60469
75,1565,190.0,60664
75,1570,196.0,60859
75,1575,197.0,61054
75,1580,195.0,61249
75,1585,190.0,61444
75,1590,188.0,61639
75,1595,182.0,61834
75,1600,177.0,62029
75,1605,183.0,62224
75,1610,175.0,62419
75,1615,176.0,62614
75,1620,174.0,62809
75,1625,166.0,63004
74,1630,155.0,63199
