% time spent exploring,episodes,mean 100 episode reward,steps
47,6115,68.0,238088,,,,
99,5,225.0,184
99,10,155.6,429
99,15,164.3,674
99,20,652.6,916
99,25,550.0,1161
99,30,479.3,1406
99,35,417.6,1651
99,40,392.3,1896
99,45,361.4,2141
99,50,342.9,2386
99,55,327.8,2631
99,60,303.4,2876
99,65,289.1,3121
99,70,276.8,3366
99,75,260.8,3611
99,80,262.0,3856
99,85,258.3,4101
99,90,251.7,4346
98,95,247.9,4591
98,100,241.4,4836
98,105,236.0,5081
98,110,233.0,5326
98,115,231.0,5571
98,120,144.0,5816
98,125,140.0,6061
98,130,246.0,6305
98,135,261.0,6544
98,140,263.0,6789
98,145,363.0,7015
98,150,359.0,7260
98,155,351.0,7505
98,160,357.0,7750
98,165,360.0,7995
98,170,366.0,8240
98,175,372.0,8485
98,180,368.0,8730
98,185,365.0,8975
97,190,373.0,9220
97,195,369.0,9465
97,200,367.0,9710
97,205,365.0,9955
97,210,371.0,10200
97,215,376.0,10445
97,220,372.0,10690
97,225,370.0,10935
97,230,267.0,11180
97,235,264.0,11425
97,240,256.0,11670
97,245,157.0,11915
97,250,161.0,12160
97,255,163.0,12405
97,260,157.0,12650
97,265,158.0,12895
97,270,154.0,13140
97,275,152.0,13385
97,280,157.0,13630
96,285,154.0,13875
96,290,143.0,14120
96,295,250.0,14365
96,300,251.0,14610
96,305,253.0,14855
96,310,256.0,15098
96,315,249.0,15343
96,320,252.0,15588
96,325,257.0,15833
96,330,255.0,16078
96,335,250.0,16323
96,340,250.0,16568
96,345,250.0,16813
96,350,259.0,17057
96,355,261.0,17302
96,360,264.0,17547
96,365,264.0,17792
96,370,263.0,18037
95,375,264.0,18282
95,380,256.0,18527
95,385,271.0,18766
95,390,275.0,19011
95,395,173.0,19256
95,400,171.0,19501
95,405,169.0,19746
95,410,264.0,19965
95,415,269.0,20210
95,420,258.0,20455
95,425,263.0,20682
95,430,266.0,20927
95,435,271.0,21172
95,440,273.0,21417
95,445,274.0,21662
95,450,270.0,21907
95,455,373.0,22142
95,460,376.0,22387
95,465,369.0,22632
94,470,364.0,22877
94,475,358.0,23122
94,480,357.0,23367
94,485,338.0,23612
94,490,436.0,23842
94,495,436.0,24087
94,500,438.0,24332
94,505,443.0,24577
94,510,341.0,24822
94,515,334.0,25067
94,520,335.0,25312
94,525,327.0,25557
94,530,417.0,25779
94,535,409.0,26024
94,540,407.0,26269
94,545,406.0,26514
94,550,495.0,26745
94,555,491.0,26976
94,560,585.0,27215
93,565,584.0,27460
93,570,590.0,27705
93,575,593.0,27950
93,580,595.0,28195
93,585,603.0,28440
93,590,507.0,28685
93,595,503.0,28930
93,600,503.0,29175
93,605,500.0,29420
93,610,498.0,29665
93,615,505.0,29910
93,620,519.0,30149
93,625,523.0,30394
