% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,195
99,10,44.4,440
99,15,57.1,685
99,20,73.7,930
99,25,116.7,1175
99,30,127.6,1420
99,35,141.2,1665
99,40,130.8,1910
99,45,131.8,2155
99,50,134.7,2400
98,55,127.8,2645
98,60,123.7,2890
98,65,126.6,3135
98,70,130.4,3380
98,75,137.8,3625
98,80,138.0,3870
98,85,141.7,4115
98,90,144.9,4360
98,95,150.0,4605
98,100,153.5,4850
97,105,158.0,5095
97,110,158.0,5340
97,115,162.0,5585
97,120,166.0,5830
97,125,159.0,6075
97,130,155.0,6320
97,135,153.0,6565
97,140,153.0,6810
97,145,156.0,7055
97,150,154.0,7300
97,155,157.0,7545
96,160,161.0,7790
96,165,163.0,8035
96,170,158.0,8280
96,175,152.0,8525
96,180,151.0,8770
96,185,153.0,9015
96,190,158.0,9260
96,195,154.0,9505
96,200,151.0,9750
96,205,152.0,9995
95,210,153.0,10240
95,215,151.0,10485
95,220,152.0,10730
95,225,151.0,10975
95,230,147.0,11220
95,235,149.0,11465
95,240,155.0,11710
95,245,146.0,11955
95,250,150.0,12200
95,255,155.0,12443
94,260,153.0,12688
94,265,147.0,12933
94,270,156.0,13172
94,275,153.0,13417
94,280,150.0,13662
94,285,142.0,13907
94,290,131.0,14152
94,295,133.0,14397
94,300,132.0,14642
94,305,137.0,14887
94,310,147.0,15123
93,315,152.0,15368
93,320,147.0,15613
93,325,153.0,15858
93,330,160.0,16103
93,335,151.0,16348
93,340,146.0,16593
93,345,159.0,16838
93,350,164.0,17083
93,355,161.0,17328
93,360,161.0,17573
92,365,165.0,17818
92,370,159.0,18063
92,375,168.0,18308
92,380,170.0,18553
92,385,176.0,18798
92,390,183.0,19043
92,395,180.0,19288
92,400,185.0,19533
92,405,179.0,19778
92,410,177.0,20009
91,415,174.0,20254
91,420,172.0,20499
91,425,176.0,20723
91,430,173.0,20968
91,435,175.0,21213
91,440,181.0,21458
91,445,175.0,21703
91,450,167.0,21948
91,455,163.0,22193
91,460,259.0,22426
91,465,259.0,22671
90,470,261.0,22908
90,475,257.0,23153
90,480,253.0,23398
90,485,251.0,23643
90,490,244.0,23888
90,495,244.0,24133
90,500,244.0,24378
90,505,241.0,24623
90,510,233.0,24868
90,515,226.0,25113
89,520,327.0,25347
89,525,317.0,25592
89,530,321.0,25829
89,535,328.0,26074
89,540,322.0,26319
89,545,327.0,26564
89,550,334.0,26789
89,555,430.0,27021
89,560,334.0,27266
89,565,334.0,27511
89,570,325.0,27756
88,575,325.0,28001
88,580,333.0,28246
88,585,338.0,28491
88,590,348.0,28736
88,595,350.0,28981
88,600,348.0,29226
88,605,357.0,29471
88,610,359.0,29716
88,615,358.0,29961
88,620,271.0,30199
87,625,272.0,30444
87,630,271.0,30689
87,635,269.0,30934
87,640,272.0,31179
87,645,277.0,31419
87,650,268.0,31664
87,655,184.0,31897
87,660,186.0,32137
87,665,187.0,32382
87,670,197.0,32627
86,675,205.0,32865
86,680,215.0,33084
86,685,217.0,33329
86,690,205.0,33574
86,695,212.0,33819
86,700,209.0,34064
86,705,305.0,34299
86,710,320.0,34544
86,715,330.0,34789
86,720,327.0,35018
86,725,337.0,35253
85,730,342.0,35498
85,735,347.0,35743
85,740,352.0,35988
85,745,353.0,36218
85,750,368.0,36449
85,755,381.0,36689
85,760,387.0,36934
85,765,390.0,37179
85,770,489.0,37410
85,775,491.0,37655
84,780,495.0,37895
84,785,484.0,38140
84,790,500.0,38359
84,795,505.0,38604
84,800,515.0,38849
84,805,428.0,39094
84,810,423.0,39339
84,815,427.0,39584
84,820,435.0,39792
84,825,531.0,40033
84,830,531.0,40278
83,835,640.0,40513
83,840,641.0,40758
83,845,638.0,41003
83,850,738.0,41248
83,855,737.0,41473
83,860,742.0,41718
83,865,755.0,41946
83,870,667.0,42191
83,875,763.0,42409
83,880,759.0,42654
83,885,866.0,42888
82,890,868.0,43132
82,895,863.0,43377
82,900,873.0,43593
82,905,870.0,43838
82,910,877.0,44075
82,915,881.0,44300
82,920,869.0,44545
82,925,767.0,44775
82,930,771.0,45019
82,935,657.0,45264
81,940,655.0,45494
81,945,644.0,45739
81,950,541.0,45984
81,955,621.0,46228
81,960,812.0,46424
81,965,892.0,46653
81,970,1074.0,46890
81,975,1160.0,47112
81,980,1147.0,47357
81,985,1336.0,47571
81,990,1416.0,47813
80,995,1600.0,48053
80,1000,1676.0,48294
80,1005,1764.0,48538
80,1010,1940.0,48758
80,1015,2135.0,48984
80,1020,2232.0,49215
80,1025,2421.0,49453
80,1030,2404.0,49698
80,1035,2498.0,49939
80,1040,2787.0,50156
80,1045,2885.0,50398
79,1050,2968.0,50639
79,1055,3161.0,50859
79,1060,2952.0,51104
79,1065,2948.0,51333
79,1070,2947.0,51560
79,1075,3148.0,51760
79,1080,3245.0,51989
79,1085,3245.0,52190
79,1090,3345.0,52404
79,1095,3245.0,52633
79,1100,3342.0,52869
78,1105,3239.0,53114
78,1110,3539.0,53293
78,1115,3428.0,53532
78,1120,3425.0,53766
78,1125,3326.0,54001
78,1130,3726.0,54192
78,1135,3924.0,54405
78,1140,3829.0,54637
78,1145,3927.0,54868
78,1150,3828.0,55113
78,1155,3627.0,55349
77,1160,3826.0,55572
77,1165,3926.0,55802
77,1170,4024.0,56004
77,1175,3823.0,56223
77,1180,3820.0,56461
77,1185,3821.0,56679
77,1190,3622.0,56924
77,1195,3722.0,57150
77,1200,3923.0,57356
77,1205,4220.0,57571
77,1210,3922.0,57786
77,1215,3822.0,58031
76,1220,3917.0,58259
76,1225,3820.0,58504
76,1230,3620.0,58739
76,1235,3620.0,58922
76,1240,3616.0,59148
76,1245,3615.0,59379
76,1250,3815.0,59604
76,1255,3816.0,59831
76,1260,3816.0,60047
76,1265,3917.0,60267
76,1270,3820.0,60472
75,1275,3721.0,60706
75,1280,3921.0,60883
75,1285,3921.0,61098
75,1290,4121.0,61330
75,1295,4421.0,61529
75,1300,4220.0,61755
75,1305,4220.0,61970
75,1310,4319.0,62193
75,1315,4717.0,62365
75,1320,4917.0,62530
75,1325,5213.0,62724
75,1330,5314.0,62961
74,1335,5319.0,63160
74,1340,5218.0,63397
74,1345,5118.0,63632
74,1350,5017.0,63870
74,1355,5216.0,64077
74,1360,5217.0,64286
74,1365,5018.0,64531
74,1370,5215.0,64739
74,1375,5214.0,64973
74,1380,5314.0,65131
74,1385,5314.0,65349
74,1390,5213.0,65584
73,1395,5213.0,65792
73,1400,5313.0,65956
73,1405,5313.0,66169
73,1410,5314.0,66366
73,1415,5114.0,66583
73,1420,5114.0,66744
73,1425,5014.0,66958
73,1430,5116.0,67162
73,1435,5014.0,67377
73,1440,5018.0,67617
73,1445,5120.0,67848
73,1450,5320.0,68062
72,1455,5020.0,68307
72,1460,5019.0,68530
72,1465,4918.0,68775
72,1470,4618.0,69012
72,1475,4518.0,69257
72,1480,4119.0,69502
72,1485,3820.0,69747
72,1490,3721.0,69992
72,1495,3221.0,70237
