% time spent exploring,episodes,mean 100 episode reward,steps
100,5,0.0,795
100,10,-33.3,1611
100,15,-35.7,2568
100,20,-26.3,3563
100,25,-20.8,4470
100,30,-24.1,5368
100,35,-20.6,6363
100,40,-17.9,7358
100,45,-18.2,8292
100,50,-20.4,9146
100,55,-18.5,10141
100,60,-18.6,11128
100,65,-18.8,12035
100,70,-18.8,12864
100,75,-17.6,13788
100,80,-19.0,14604
100,85,-19.0,15424
100,90,-18.0,16419
100,95,-20.2,17052
100,100,-22.2,17892
100,105,-22.0,18887
100,110,-19.0,19882
100,115,-17.0,20877
100,120,-17.0,21860
100,125,-17.0,22855
100,130,-15.0,23850
100,135,-15.0,24845
100,140,-15.0,25840
100,145,-14.0,26835
100,150,-11.0,27830
100,155,-12.0,28679
100,160,-12.0,29607
100,165,-11.0,30602
100,170,-10.0,31597
100,175,-10.0,32592
100,180,-8.0,33587
100,185,-8.0,34457
100,190,-9.0,35356
100,195,-6.0,36351
100,200,-4.0,37224
100,205,-5.0,38176
100,210,-7.0,39030
100,215,-9.0,39960
100,220,-9.0,40955
100,225,-10.0,41875
100,230,-11.0,42731
100,235,-11.0,43726
100,240,-11.0,44721
100,245,-11.0,45716
100,250,-13.0,46662
100,255,-12.0,47657
100,260,-12.0,48596
100,265,-12.0,49591
100,270,-13.0,50551
100,275,-13.0,51546
100,280,-13.0,52463
100,285,-12.0,53458
100,290,-11.0,54453
100,295,-14.0,55291
100,300,-12.0,56286
100,305,-11.0,57268
100,310,-11.0,58086
100,315,-10.0,59039
100,320,-12.0,59871
100,325,-13.0,60642
100,330,-13.0,61526
100,335,-13.0,62521
100,340,-13.0,63516
100,345,-14.0,64499
100,350,-13.0,65494
100,355,-13.0,66440
100,360,-12.0,67352
100,365,-13.0,68256
100,370,-11.0,69251
100,375,-11.0,70246
100,380,-12.0,71221
100,385,-14.0,71999
100,390,-14.0,72994
100,395,-11.0,73989
100,400,-12.0,74984
100,405,-11.0,75979
100,410,-10.0,76845
100,415,-10.0,77771
100,420,-8.0,78766
100,425,-5.0,79761
100,430,-5.0,80749
100,435,-5.0,81744
100,440,-5.0,82654
100,445,-5.0,83639
100,450,-9.0,84508
100,455,-11.0,85260
100,460,-11.0,86255
100,465,-11.0,87158
100,470,-11.0,88153
100,475,-12.0,89125
100,480,-12.0,90115
100,485,-13.0,90991
100,490,-13.0,91986
100,495,-13.0,92981
100,500,-14.0,93900
100,505,-14.0,94895
100,510,-13.0,95890
100,515,-12.0,96885
100,520,-13.0,97876
100,525,-15.0,98815
100,530,-16.0,99762
100,535,-18.0,100640
100,540,-18.0,101517
100,545,-18.0,102363
100,550,-14.0,103358
100,555,-13.0,104350
100,560,-15.0,105166
100,565,-14.0,106074
100,570,-16.0,106971
100,575,-15.0,107966
100,580,-14.0,108961
100,585,-11.0,109956
100,590,-12.0,110830
100,595,-14.0,111589
100,600,-15.0,112448
100,605,-17.0,113394
100,610,-18.0,114355
100,615,-20.0,115290
100,620,-19.0,116285
100,625,-18.0,117280
100,630,-16.0,118275
100,635,-16.0,119101
100,640,-16.0,120096
100,645,-14.0,121091
100,650,-17.0,121824
100,655,-16.0,122819
100,660,-17.0,123601
100,665,-19.0,124487
100,670,-18.0,125345
100,675,-21.0,126058
100,680,-21.0,127053
100,685,-21.0,128033
100,690,-21.0,128979
100,695,-19.0,129974
100,700,-18.0,130881
100,705,-15.0,131876
100,710,-16.0,132582
100,715,-15.0,133484
100,720,-15.0,134479
100,725,-16.0,135399
100,730,-18.0,136254
100,735,-17.0,137138
100,740,-19.0,138060
100,745,-20.0,139055
100,750,-17.0,140050
100,755,-17.0,141035
100,760,-16.0,141941
100,765,-16.0,142877
100,770,-16.0,143872
100,775,-15.0,144715
100,780,-15.0,145710
100,785,-15.0,146705
100,790,-16.0,147628
100,795,-16.0,148623
100,800,-16.0,149599
100,805,-21.0,150487
100,810,-20.0,151372
100,815,-20.0,152325
100,820,-21.0,153287
100,825,-19.0,154282
100,830,-17.0,155268
100,835,-17.0,156200
100,840,-15.0,157195
100,845,-15.0,158175
100,850,-16.0,159098
100,855,-18.0,159916
100,860,-17.0,160904
100,865,-15.0,161899
100,870,-14.0,162894
100,875,-11.0,163889
100,880,-11.0,164884
100,885,-11.0,165879
100,890,-11.0,166769
100,895,-11.0,167764
100,900,-10.0,168759
100,905,-7.0,169754
100,910,-6.0,170715
100,915,-5.0,171710
100,920,-5.0,172671
100,925,-6.0,173666
100,930,-8.0,174607
100,935,-9.0,175469
100,940,-9.0,176392
100,945,-10.0,177327
100,950,-9.0,178322
100,955,-9.0,179045
100,960,-8.0,179958
100,965,-8.0,180918
100,970,-12.0,181619
100,975,-13.0,182614
100,980,-13.0,183609
100,985,-13.0,184532
100,990,-9.0,185527
100,995,-10.0,186417
100,1000,-10.0,187412
100,1005,-10.0,188367
100,1010,-10.0,189362
100,1015,-11.0,190182
100,1020,-10.0,191177
100,1025,-11.0,192105
100,1030,-10.0,193099
100,1035,-8.0,194049
100,1040,-8.0,195044
100,1045,-7.0,196033
100,1050,-7.0,197028
100,1055,-4.0,198023
100,1060,-4.0,199018
100,1065,-4.0,199975
100,1070,-1.0,200970
100,1075,-3.0,201787
100,1080,-3.0,202782
100,1085,-5.0,203692
100,1090,-8.0,204658
100,1095,-9.0,205445
100,1100,-11.0,206357
100,1105,-11.0,207351
100,1110,-12.0,208257
100,1115,-10.0,209252
100,1120,-9.0,210247
100,1125,-8.0,211242
100,1130,-9.0,212132
100,1135,-10.0,213057
100,1140,-10.0,214046
100,1145,-9.0,215041
100,1150,-11.0,215793
100,1155,-12.0,216788
100,1160,-13.0,217693
100,1165,-14.0,218579
100,1170,-14.0,219574
100,1175,-13.0,220557
100,1180,-14.0,221425
100,1185,-13.0,222264
100,1190,-12.0,223183
100,1195,-12.0,223981
100,1200,-10.0,224976
100,1205,-10.0,225971
100,1210,-10.0,226861
100,1215,-12.0,227838
100,1220,-14.0,228681
100,1225,-15.0,229636
100,1230,-13.0,230631
100,1235,-13.0,231574
100,1240,-15.0,232419
100,1245,-15.0,233414
100,1250,-14.0,234396
100,1255,-14.0,235391
100,1260,-14.0,236381
100,1265,-13.0,237376
100,1270,-14.0,238328
100,1275,-13.0,239323
100,1280,-13.0,240239
100,1285,-13.0,241227
100,1290,-14.0,242142
100,1295,-13.0,243021
100,1300,-15.0,243832
100,1305,-16.0,244724
100,1310,-15.0,245719
100,1315,-14.0,246714
100,1320,-16.0,247463
100,1325,-17.0,248427
100,1330,-18.0,249378
100,1335,-17.0,250304
100,1340,-15.0,251299
100,1345,-17.0,252253
100,1350,-18.0,253203
100,1355,-19.0,254090
100,1360,-19.0,255077
100,1365,-19.0,256001
100,1370,-18.0,256996
100,1375,-17.0,257991
100,1380,-16.0,258986
100,1385,-16.0,259933
100,1390,-16.0,260773
100,1395,-15.0,261734
100,1400,-13.0,262729
100,1405,-12.0,263724
100,1410,-13.0,264566
100,1415,-13.0,265561
100,1420,-11.0,266480
100,1425,-10.0,267342
100,1430,-10.0,268101
100,1435,-11.0,269022
100,1440,-11.0,270017
100,1445,-10.0,271012
100,1450,-8.0,272007
100,1455,-6.0,273002
100,1460,-5.0,273996
100,1465,-6.0,274904
100,1470,-8.0,275816
100,1475,-12.0,276733
100,1480,-12.0,277728
100,1485,-13.0,278603
100,1490,-13.0,279585
100,1495,-14.0,280481
100,1500,-14.0,281476
100,1505,-16.0,282277
100,1510,-16.0,283153
100,1515,-16.0,284148
100,1520,-16.0,285024
100,1525,-15.0,285977
100,1530,-16.0,286797
100,1535,-16.0,287754
100,1540,-16.0,288661
100,1545,-16.0,289656
100,1550,-16.0,290651
100,1555,-20.0,291394
100,1560,-20.0,292389
100,1565,-20.0,293264
100,1570,-19.0,294133
100,1575,-17.0,294985
100,1580,-20.0,295753
100,1585,-19.0,296622
100,1590,-19.0,297487
100,1595,-18.0,298482
100,1600,-19.0,299331
100,1605,-17.0,300326
100,1610,-16.0,301321
100,1615,-17.0,302287
100,1620,-16.0,303282
100,1625,-16.0,304277
100,1630,-14.0,305213
100,1635,-13.0,306208
100,1640,-12.0,307097
100,1645,-12.0,308092
100,1650,-12.0,309087
100,1655,-9.0,310082
100,1660,-10.0,310983
100,1665,-11.0,311963
100,1670,-11.0,312942
100,1675,-10.0,313937
100,1680,-7.0,314932
100,1685,-6.0,315927
100,1690,-5.0,316922
100,1695,-5.0,317917
100,1700,-4.0,318912
100,1705,-5.0,319907
100,1710,-5.0,320902
100,1715,-4.0,321807
100,1720,-4.0,322782
100,1725,-4.0,323777
100,1730,-5.0,324647
100,1735,-5.0,325642
100,1740,-7.0,326607
100,1745,-11.0,327294
100,1750,-13.0,328116
100,1755,-13.0,329111
100,1760,-13.0,330074
100,1765,-11.0,331069
100,1770,-10.0,332064
100,1775,-11.0,332959
100,1780,-12.0,333841
100,1785,-12.0,334807
100,1790,-12.0,335802
100,1795,-13.0,336748
100,1800,-13.0,337743
100,1805,-12.0,338738
100,1810,-13.0,339627
100,1815,-13.0,340622
100,1820,-14.0,341541
100,1825,-14.0,342536
100,1830,-13.0,343513
100,1835,-14.0,344460
100,1840,-15.0,345321
100,1845,-13.0,346187
100,1850,-11.0,347114
100,1855,-13.0,348039
100,1860,-13.0,348941
100,1865,-13.0,349936
100,1870,-13.0,350931
100,1875,-13.0,351832
100,1880,-14.0,352701
100,1885,-14.0,353696
100,1890,-14.0,354691
100,1895,-13.0,355686
100,1900,-14.0,356558
100,1905,-15.0,357552
100,1910,-14.0,358547
100,1915,-14.0,359458
100,1920,-14.0,360433
100,1925,-15.0,361287
100,1930,-15.0,362199
100,1935,-14.0,363194
100,1940,-12.0,364189
100,1945,-10.0,365184
100,1950,-9.0,366179
100,1955,-7.0,367082
100,1960,-5.0,368077
100,1965,-5.0,369072
100,1970,-6.0,370061
100,1975,-6.0,371027
100,1980,-4.0,372022
100,1985,-4.0,373017
100,1990,-6.0,373997
100,1995,-6.0,374992
100,2000,-6.0,375921
100,2005,-8.0,376699
100,2010,-8.0,377694
100,2015,-8.0,378689
100,2020,-8.0,379613
100,2025,-8.0,380478
100,2030,-9.0,381331
100,2035,-10.0,382266
100,2040,-10.0,383261
100,2045,-10.0,384256
100,2050,-12.0,385164
100,2055,-13.0,386144
100,2060,-14.0,387139
100,2065,-15.0,388010
100,2070,-14.0,389005
100,2075,-13.0,390000
100,2080,-14.0,390927
100,2085,-14.0,391922
100,2090,-14.0,392795
100,2095,-14.0,393790
100,2100,-14.0,394720
100,2105,-11.0,395608
100,2110,-12.0,396492
100,2115,-13.0,397429
100,2120,-13.0,398352
100,2125,-15.0,399108
100,2130,-15.0,400095
100,2135,-14.0,401090
100,2140,-14.0,402085
100,2145,-15.0,402988
100,2150,-14.0,403983
100,2155,-13.0,404978
100,2160,-15.0,405889
100,2165,-15.0,406881
100,2170,-16.0,407773
100,2175,-17.0,408610
100,2180,-16.0,409605
100,2185,-15.0,410600
100,2190,-14.0,411521
100,2195,-15.0,412448
100,2200,-16.0,413276
100,2205,-17.0,414222
100,2210,-15.0,415217
100,2215,-14.0,416212
100,2220,-13.0,417207
100,2225,-11.0,418195
100,2230,-10.0,419190
100,2235,-11.0,420090
100,2240,-11.0,421085
100,2245,-11.0,421991
100,2250,-11.0,422981
100,2255,-13.0,423822
100,2260,-11.0,424817
100,2265,-11.0,425685
100,2270,-10.0,426680
100,2275,-11.0,427525
100,2280,-12.0,428408
100,2285,-13.0,429403
100,2290,-12.0,430398
100,2295,-12.0,431355
100,2300,-10.0,432350
100,2305,-9.0,433345
100,2310,-10.0,434340
100,2315,-10.0,435335
100,2320,-10.0,436317
100,2325,-9.0,437312
100,2330,-9.0,438066
100,2335,-9.0,438967
100,2340,-9.0,439962
100,2345,-9.0,440939
100,2350,-9.0,441934
100,2355,-9.0,442807
100,2360,-9.0,443802
100,2365,-8.0,444797
100,2370,-10.0,445742
100,2375,-8.0,446623
100,2380,-5.0,447618
100,2385,-6.0,448514
100,2390,-6.0,449509
100,2395,-5.0,450504
100,2400,-6.0,451381
100,2405,-7.0,452323
100,2410,-7.0,453318
100,2415,-8.0,454200
100,2420,-8.0,455164
100,2425,-9.0,456105
100,2430,-12.0,456887
100,2435,-11.0,457882
100,2440,-11.0,458877
100,2445,-11.0,459833
100,2450,-12.0,460809
100,2455,-11.0,461768
100,2460,-12.0,462703
100,2465,-13.0,463679
100,2470,-11.0,464674
100,2475,-11.0,465669
100,2480,-13.0,466664
100,2485,-12.0,467659
100,2490,-12.0,468654
100,2495,-13.0,469554
100,2500,-12.0,470549
100,2505,-14.0,471270
100,2510,-15.0,472207
100,2515,-14.0,473202
100,2520,-16.0,474154
100,2525,-14.0,475149
100,2530,-14.0,475905
100,2535,-13.0,476875
100,2540,-14.0,477768
100,2545,-13.0,478763
100,2550,-13.0,479703
100,2555,-13.0,480581
100,2560,-12.0,481570
100,2565,-12.0,482441
100,2570,-14.0,483280
100,2575,-15.0,484239
100,2580,-14.0,485230
100,2585,-13.0,486225
100,2590,-12.0,487220
100,2595,-12.0,488133
100,2600,-12.0,489128
100,2605,-10.0,490081
100,2610,-9.0,491076
100,2615,-8.0,492071
100,2620,-7.0,493032
100,2625,-9.0,494008
100,2630,-8.0,494940
100,2635,-9.0,495935
100,2640,-7.0,496930
100,2645,-8.0,497769
100,2650,-7.0,498655
100,2655,-6.0,499629
100,2660,-7.0,500520
100,2665,-5.0,501515
100,2670,-4.0,502467
100,2675,-4.0,503351
100,2680,-7.0,504237
100,2685,-8.0,505232
100,2690,-9.0,506227
100,2695,-9.0,507175
100,2700,-10.0,508152
100,2705,-10.0,509125
100,2710,-10.0,510120
100,2715,-11.0,510994
100,2720,-12.0,511897
100,2725,-13.0,512734
100,2730,-13.0,513687
100,2735,-14.0,514650
100,2740,-14.0,515645
100,2745,-13.0,516510
100,2750,-14.0,517413
100,2755,-14.0,518408
100,2760,-15.0,519245
100,2765,-17.0,520142
100,2770,-18.0,520925
100,2775,-17.0,521920
100,2780,-17.0,522779
100,2785,-17.0,523774
100,2790,-18.0,524627
100,2795,-18.0,525517
100,2800,-17.0,526512
100,2805,-16.0,527507
100,2810,-17.0,528486
100,2815,-17.0,529481
100,2820,-15.0,530476
100,2825,-13.0,531471
100,2830,-11.0,532466
100,2835,-10.0,533461
100,2840,-11.0,534456
100,2845,-12.0,535382
100,2850,-12.0,536318
100,2855,-13.0,537183
100,2860,-11.0,538178
100,2865,-10.0,539173
100,2870,-8.0,540168
100,2875,-8.0,541163
100,2880,-6.0,542158
100,2885,-6.0,543115
100,2890,-4.0,544110
100,2895,-6.0,544832
100,2900,-7.0,545786
100,2905,-7.0,546781
100,2910,-5.0,547776
100,2915,-4.0,548771
100,2920,-5.0,549690
100,2925,-5.0,550685
100,2930,-6.0,551624
100,2935,-8.0,552540
100,2940,-9.0,553476
100,2945,-9.0,554403
100,2950,-8.0,555398
100,2955,-8.0,556304
100,2960,-8.0,557299
100,2965,-10.0,558122
100,2970,-12.0,559010
100,2975,-11.0,560005
100,2980,-12.0,560964
100,2985,-12.0,561959
100,2990,-15.0,562900
100,2995,-12.0,563895
100,3000,-11.0,564878
100,3005,-11.0,565873
100,3010,-14.0,566738
100,3015,-15.0,567733
100,3020,-17.0,568460
100,3025,-18.0,569335
100,3030,-17.0,570330
100,3035,-17.0,571192
100,3040,-19.0,571988
100,3045,-19.0,572851
100,3050,-20.0,573746
100,3055,-19.0,574738
100,3060,-20.0,575630
100,3065,-18.0,576625
100,3070,-16.0,577620
100,3075,-18.0,578359
100,3080,-18.0,579237
100,3085,-17.0,580232
100,3090,-15.0,581227
100,3095,-17.0,582145
100,3100,-19.0,583095
100,3105,-21.0,583991
100,3110,-19.0,584986
100,3115,-19.0,585981
100,3120,-17.0,586811
100,3125,-16.0,587806
100,3130,-17.0,588797
100,3135,-15.0,589792
100,3140,-12.0,590787
100,3145,-12.0,591663
100,3150,-12.0,592552
100,3155,-13.0,593538
100,3160,-14.0,594473
100,3165,-15.0,595431
100,3170,-17.0,596400
100,3175,-17.0,597276
100,3180,-16.0,598271
100,3185,-17.0,599266
100,3190,-19.0,600060
100,3195,-17.0,601055
100,3200,-15.0,602050
100,3205,-13.0,603045
100,3210,-14.0,603984
100,3215,-14.0,604979
100,3220,-12.0,605974
100,3225,-13.0,606965
100,3230,-14.0,607739
100,3235,-13.0,608725
100,3240,-14.0,609599
100,3245,-14.0,610493
100,3250,-13.0,611488
100,3255,-12.0,612483
100,3260,-10.0,613478
100,3265,-10.0,614436
100,3270,-8.0,615352
100,3275,-7.0,616347
100,3280,-7.0,617342
100,3285,-8.0,618242
100,3290,-7.0,619124
100,3295,-7.0,620119
100,3300,-7.0,621114
100,3305,-7.0,622075
100,3310,-6.0,623070
100,3315,-7.0,623933
100,3320,-9.0,624877
100,3325,-8.0,625860
100,3330,-8.0,626680
100,3335,-10.0,627636
100,3340,-9.0,628631
100,3345,-7.0,629626
100,3350,-8.0,630567
100,3355,-8.0,631562
100,3360,-8.0,632557
